ID_XBXXZ	level_XBXXZ	name_XBXXZ	yield_XBXXZ	updata_XBXXZ	capcity_XBXXZ	time_XBXXZ	add_XBXXZ	servantlimit_XBXXZ	cost_XBXXZ
1	1	1级灵脉	0	900	90	15	1	1	10
2	2	2级灵脉	0	1800	180	30	1	1	10
3	3	3级灵脉	0	2700	270	45	1	1	10
4	4	4级灵脉	0	3600	360	60	1	1	10
5	5	5级灵脉	0	4500	450	75	1	1	10
6	6	6级灵脉	0	5400	540	90	1	1	10
7	7	7级灵脉	0	6300	630	105	1	1	10
8	8	8级灵脉	0	7200	720	120	1	1	10
9	9	9级灵脉	0	8100	810	135	1	1	10
10	10	10级灵脉	0	18000	1800	150	1	2	10
11	11	11级灵脉	0	19800	1980	165	1	2	10
12	12	12级灵脉	0	21600	2160	180	1	2	10
13	13	13级灵脉	0	23400	2340	195	1	2	10
14	14	14级灵脉	0	25200	2520	210	1	2	10
15	15	15级灵脉	0	27000	2700	225	1	2	10
16	16	16级灵脉	0	28800	2880	240	1	2	10
17	17	17级灵脉	0	30600	3060	255	1	2	10
18	18	18级灵脉	0	32400	3240	270	1	2	10
19	19	19级灵脉	0	34200	3420	285	1	2	10
20	20	20级灵脉	0	54000	5400	300	1	3	10
21	21	21级灵脉	0	56700	5670	315	1	3	10
22	22	22级灵脉	0	59400	5940	330	1	3	10
23	23	23级灵脉	0	62100	6210	345	1	3	10
24	24	24级灵脉	0	64800	6480	360	1	3	10
25	25	25级灵脉	0	67500	6750	375	1	3	10
26	26	26级灵脉	0	70200	7020	390	1	3	10
27	27	27级灵脉	0	72900	7290	405	1	3	10
28	28	28级灵脉	0	75600	7560	420	1	3	10
29	29	29级灵脉	0	78300	7830	435	1	3	10
30	30	30级灵脉	0	108000	10800	450	1	4	10
31	31	31级灵脉	0	111600	11160	465	1	4	10
32	32	32级灵脉	0	115200	11520	480	1	4	10
33	33	33级灵脉	0	118800	11880	495	1	4	10
34	34	34级灵脉	0	122400	12240	510	1	4	10
35	35	35级灵脉	0	126000	12600	525	1	4	10
36	36	36级灵脉	0	129600	12960	540	1	4	10
37	37	37级灵脉	0	133200	13320	555	1	4	10
38	38	38级灵脉	0	136800	13680	570	1	4	10
39	39	39级灵脉	0	140400	14040	585	1	4	10
40	40	40级灵脉	0	180000	18000	600	1	5	10
41	41	41级灵脉	0	184500	18450	615	1	5	10
42	42	42级灵脉	0	189000	18900	630	1	5	10
43	43	43级灵脉	0	193500	19350	645	1	5	10
44	44	44级灵脉	0	198000	19800	660	1	5	10
45	45	45级灵脉	0	202500	20250	675	1	5	10
46	46	46级灵脉	0	207000	20700	690	1	5	10
47	47	47级灵脉	0	211500	21150	705	1	5	10
48	48	48级灵脉	0	216000	21600	720	1	5	10
49	49	49级灵脉	0	220500	22050	735	1	5	10
50	50	50级灵脉	0	270000	27000	750	1	6	10
51	51	51级灵脉	0	275400	27540	765	1	6	10
52	52	52级灵脉	0	280800	28080	780	1	6	10
53	53	53级灵脉	0	286200	28620	795	1	6	10
54	54	54级灵脉	0	291600	29160	810	1	6	10
55	55	55级灵脉	0	297000	29700	825	1	6	10
56	56	56级灵脉	0	302400	30240	840	1	6	10
57	57	57级灵脉	0	307800	30780	855	1	6	10
58	58	58级灵脉	0	313200	31320	870	1	6	10
59	59	59级灵脉	0	318600	31860	885	1	6	10
60	60	60级灵脉	0	378000	37800	900	1	7	10
61	61	61级灵脉	0	384300	38430	915	1	7	10
62	62	62级灵脉	0	390600	39060	930	1	7	10
63	63	63级灵脉	0	396900	39690	945	1	7	10
64	64	64级灵脉	0	403200	40320	960	1	7	10
65	65	65级灵脉	0	409500	40950	975	1	7	10
66	66	66级灵脉	0	415800	41580	990	1	7	10
67	67	67级灵脉	0	422100	42210	1005	1	7	10
68	68	68级灵脉	0	428400	42840	1020	1	7	10
69	69	69级灵脉	0	434700	43470	1035	1	7	10
70	70	70级灵脉	0	504000	50400	1050	1	8	10
71	71	71级灵脉	0	511200	51120	1065	1	8	10
72	72	72级灵脉	0	518400	51840	1080	1	8	10
73	73	73级灵脉	0	525600	52560	1095	1	8	10
