quality_XBXXZ	name_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ	levelexp_XBXXZ	percent_XBXXZ	paper1_XBXXZ	paperpercent1_XBXXZ	paper2_XBXXZ	paperpercent2_XBXXZ	paper3_XBXXZ	paperpercent3_XBXXZ	paper4_XBXXZ	paperpercent4_XBXXZ	paper5_XBXXZ	paperpercent5_XBXXZ	paper6_XBXXZ	paperpercent6_XBXXZ	paper7_XBXXZ	paperpercent7_XBXXZ	paper8_XBXXZ	paperpercent8_XBXXZ	paper9_XBXXZ	paperpercent9_XBXXZ	paper10_XBXXZ	paperpercent10_XBXXZ	paper11_XBXXZ	paperpercent11_XBXXZ	paper12_XBXXZ	paperpercent12_XBXXZ	paper13_XBXXZ	paperpercent13_XBXXZ	paper14_XBXXZ	paperpercent14_XBXXZ	paper15_XBXXZ	paperpercent15_XBXXZ
1	炼器学徒	1	3	64	1																														
2	一品炼器师	2	6	256	1000	40	500	1	100	4	100	5	100	14	100	15	100	32	100	33	100														
3	二品炼器师	3	7	480	500	41	10	1	100	6	100	7	100	16	100	17	100	34	100	35	100	32	100	33	100										
4	三品炼器师	4	8	1152	200	42	10	2	100	8	100	9	100	18	100	19	100	36	100	37	100	34	100	35	100										
5	四品炼器师	5	9	2688	100	43	10	2	100	10	100	11	100	20	100	21	100	38	100	39	100	38	100	39	100										
6	五品炼器师	6	10	4608	50	44	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
7	六品炼器师	7	11	9776	20	45	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
8	七品炼器师	8	12	22960	20	46	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
9	八品炼器师	9	13	51384	20	47	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
10	九品炼器师	10	14	94992	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
11	一品仙器师	11	15	142488	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
12	二品仙器师	12	16	213732	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
13	三品仙器师	13	17	320598	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
14	四品仙器师	14	18	480897	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
15	五品仙器师	15	19	721346	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
16	六品仙器师	16	20	1082018	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
17	七品仙器师	17	21	1623027	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
18	八品仙器师	18	22	2434541	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
19	九品仙器师	19	23	3651812	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
20	器皇	20	24	5477717	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
21	器圣	21	25	8216576	20	48	10	3	100	12	100	13	100	22	100	23	100	38	100	39	100	43	10	2	100	10	100	11	100	20	100				
