dan_XBXXZ	name_XBXXZ	quality_XBXXZ	itemid_XBXXZ	minnum_XBXXZ	maxnum_XBXXZ	needitemid1_XBXXZ	needitemnum1_XBXXZ	needitemid2_XBXXZ	needitemnum2_XBXXZ	needitemid3_XBXXZ	needitemnum3_XBXXZ	exp_XBXXZ
1	筑基丹	1	1	1	5	72	10	79	5	73	1	0
2	金元丹	2	2	1	5	72	15	79	7	73	2	0
3	元婴丹	3	3	1	5	72	20	79	10	73	5	0
4	出窍丹	4	4	1	5	72	40	79	20	73	10	1
5	分神丹	4	5	1	5	72	60	79	30	74	5	1
6	合体丹	4	6	1	5	72	80	79	40	74	10	1
7	洞虚丹	5	7	1	5	72	100	79	50	75	5	2
8	大乘丹	5	8	1	5	79	60	71	10	75	10	2
9	洞真丹	5	9	1	5	79	80	71	20	76	5	2
10	一品仙丹	6	10	1	3	79	100	71	30	76	10	3
11	二品仙丹	6	11	1	3	79	120	71	40	77	5	3
12	三品仙丹	6	12	1	3	79	140	71	50	77	10	3
13	四品仙丹	7	13	1	3	79	160	71	60	78	5	4
14	五品仙丹	7	14	1	2	79	180	71	70	78	10	4
15	六品仙丹	7	15	1	2	106	1	105	640	78	20	4
16	一转金丹	1	28	1	2	107	1	105	10	75	20	0
17	二转金丹	2	29	1	2	107	10	105	20	75	40	0
18	三转金丹	3	30	1	2	107	100	105	40	75	80	0
19	四转金丹	4	31	1	2	108	1	106	40	75	80	1
20	五转金丹	5	32	1	2	108	10	106	60	75	120	2
21	六转金丹	6	33	1	2	108	100	106	80	75	160	3
22	七转金丹	7	34	1	3	109	500	106	100	75	200	4
23	一品洗髓丹	1	19	1	5	73	30	72	10	74	5	0
24	一品浑天丹	1	20	1	5	74	30	72	10	79	5	0
25	一品体魄丹	1	21	1	5	79	30	72	20			0
26	一品灵动丹	1	22	1	5	73	30	72	10			0
27	一品血煞丹	1	23	1	5	72	50					0
28	一品雷元丹	1	24	1	5	72	50					0
29	一品风行丹	1	25	1	5	72	50					0
30	一品天罡丹	1	26	1	5	79	30	72	20			0
31	一品镇妖丹	1	27	1	5	79	30	72	20			0
32	二品洗髓丹	2	110	1	5	73	60	72	20	74	10	0
33	二品浑天丹	2	111	1	5	74	60	72	20	79	10	0
34	二品体魄丹	2	112	1	5	79	60	72	30			0
35	二品灵动丹	2	113	1	5	73	60	72	20			0
36	二品血煞丹	2	114	1	5	72	80					0
37	二品雷元丹	2	115	1	5	72	80					0
38	二品风行丹	2	116	1	5	72	80					0
39	二品天罡丹	2	117	1	5	79	60	72	30			0
40	二品镇妖丹	2	118	1	5	79	60	72	30			0
41	三品洗髓丹	3	119	1	4	73	90	72	30	74	15	0
42	三品浑天丹	3	120	1	4	74	90	72	30	79	15	0
43	三品体魄丹	3	121	1	4	79	90	72	40			0
44	三品灵动丹	3	122	1	4	73	90	72	30			0
45	三品血煞丹	3	123	1	4	72	110					0
46	三品雷元丹	3	124	1	4	72	110					0
47	三品风行丹	3	125	1	4	72	110					0
48	三品天罡丹	3	126	1	4	79	90	72	40			0
49	三品镇妖丹	3	127	1	4	79	90	72	40			0
50	四品洗髓丹	4	128	1	4	73	120	72	40	74	20	1
51	四品浑天丹	4	129	1	4	74	120	72	40	79	20	1
52	四品体魄丹	4	130	1	4	79	120	72	50			1
53	四品灵动丹	4	131	1	4	73	120	72	40			1
54	四品血煞丹	4	132	1	4	72	140					1
55	四品雷元丹	4	133	1	4	72	140					1
56	四品风行丹	4	134	1	4	72	140					1
57	四品天罡丹	4	135	1	4	79	120	72	50			1
58	四品镇妖丹	4	136	1	4	79	120	72	50			1
59	五品洗髓丹	5	137	1	3	73	150	72	50	74	25	2
60	五品浑天丹	5	138	1	3	74	150	72	50	79	25	2
61	五品体魄丹	5	139	1	3	79	150	72	60			2
62	五品灵动丹	5	140	1	3	73	150	72	50			2
63	五品血煞丹	5	141	1	3	72	170					2
64	五品雷元丹	5	142	1	3	72	170					2
65	五品风行丹	5	143	1	3	72	170					2
66	五品天罡丹	5	144	1	3	79	150	72	60			2
67	五品镇妖丹	5	145	1	3	79	150	72	60			2
68	六品洗髓丹	6	146	1	3	73	180	72	60	74	30	3
69	六品浑天丹	6	147	1	3	74	180	72	60	79	30	3
70	六品体魄丹	6	148	1	3	79	180	72	70			3
71	六品灵动丹	6	149	1	3	73	180	72	60			3
72	六品血煞丹	6	150	1	3	72	200					3
73	六品雷元丹	6	151	1	3	72	200					3
74	六品风行丹	6	152	1	3	72	200					3
75	六品天罡丹	6	153	1	3	79	180	72	70			3
76	六品镇妖丹	6	154	1	3	79	180	72	70			3
77	七品洗髓丹	7	155	1	2	73	210	72	70	74	35	4
78	七品浑天丹	7	156	1	2	74	210	72	70	79	35	4
79	七品体魄丹	7	157	1	2	79	210	72	80			4
80	七品灵动丹	7	158	1	2	73	210	72	70			4
81	七品血煞丹	7	159	1	2	72	230					4
82	七品雷元丹	7	160	1	2	72	230					4
83	七品风行丹	7	161	1	2	72	230					4
84	七品天罡丹	7	162	1	2	79	210	72	80			4
85	七品镇妖丹	7	163	1	2	79	210	72	80			4
86	八品洗髓丹	8	164	1	2	73	240	72	80	74	40	5
87	八品浑天丹	8	165	1	2	74	240	72	80	79	40	5
88	八品体魄丹	8	166	1	2	79	240	72	90			5
89	八品灵动丹	8	167	1	2	73	240	72	80			5
90	八品血煞丹	8	168	1	2	72	260					5
91	八品雷元丹	8	169	1	2	72	260					5
92	八品风行丹	8	170	1	2	72	260					5
93	八品天罡丹	8	171	1	2	79	240	72	90			5
94	八品镇妖丹	8	172	1	2	79	240	72	90			5
95	九品洗髓丹	9	173	1	2	73	270	72	90	74	45	6
96	九品浑天丹	9	174	1	2	74	270	72	90	79	45	6
97	九品体魄丹	9	175	1	2	79	270	72	100			6
98	九品灵动丹	9	176	1	2	73	270	72	90			6
99	九品血煞丹	9	177	1	2	72	290					6
100	九品雷元丹	9	178	1	2	72	290					6
101	九品风行丹	9	179	1	2	72	290					6
102	九品天罡丹	9	180	1	2	79	270	72	100			6
103	九品镇妖丹	9	181	1	2	79	270	72	100			6
104	养魂丹	4	271	1	2	105	5	72	100	73	50	1
105	一品洗髓仙丹	10	5001	1	2	106	200	71	999	74	999	7
106	一品浑天仙丹	10	5002	1	2	106	200	71	999	74	999	7
107	一品体魄仙丹	10	5003	1	2	106	200	71	999	74	999	7
108	一品灵动仙丹	10	5004	1	2	106	200	71	999	74	999	7
109	一品血煞仙丹	10	5005	1	2	106	200	71	999			7
110	一品雷元仙丹	10	5006	1	2	106	200	71	999			7
111	一品风行仙丹	10	5007	1	2	106	200	71	999			7
112	一品天罡仙丹	10	5008	1	2	106	200	71	999			7
113	一品镇妖仙丹	10	5009	1	2	106	200	71	999			7
114	二品洗髓仙丹	11	5010	1	2	106	400	73	999	75	999	8
115	二品浑天仙丹	11	5011	1	2	106	400	73	999	75	999	8
116	二品体魄仙丹	11	5012	1	2	106	400	73	999	75	999	8
117	二品灵动仙丹	11	5013	1	2	106	400	73	999	75	999	8
118	二品血煞仙丹	11	5014	1	2	106	400	73	999			8
119	二品雷元仙丹	11	5015	1	2	106	400	73	999			8
120	二品风行仙丹	11	5016	1	2	106	400	73	999			8
121	二品天罡仙丹	11	5017	1	2	106	400	73	999			8
122	二品镇妖仙丹	11	5018	1	2	106	400	73	999			8
123	三品洗髓仙丹	12	5019	1	2	106	600	74	999	76	999	9
124	三品浑天仙丹	12	5020	1	2	106	600	74	999	76	999	9
125	三品体魄仙丹	12	5021	1	2	106	600	74	999	76	999	9
126	三品灵动仙丹	12	5022	1	2	106	600	74	999	76	999	9
127	三品血煞仙丹	12	5023	1	2	106	600	74	999			9
128	三品雷元仙丹	12	5024	1	2	106	600	74	999			9
129	三品风行仙丹	12	5025	1	2	106	600	74	999			9
130	三品天罡仙丹	12	5026	1	2	106	600	74	999			9
131	三品镇妖仙丹	12	5027	1	2	106	600	74	999			9
132	四品洗髓仙丹	13	5028	1	2	107	200	71	999	74	999	10
133	四品浑天仙丹	13	5029	1	2	107	200	71	999	74	999	10
134	四品体魄仙丹	13	5030	1	2	107	200	71	999	74	999	10
