level_XBXXZ	doomname_XBXXZ	difficult_XBXXZ	maxpercent_XBXXZ	needitem_XBXXZ	addpercent_XBXXZ	failexp_XBXXZ
1	1重天劫	110	100	1	5	1020 
2	2重天劫	140	80	1	5	1790 
3	3重天劫	160	80	1	5	2781 
4	4重天劫	180	80	1	5	3978 
5	5重天劫	200	80	1	5	5387 
6	6重天劫	220	80	1	5	7012 
7	7重天劫	240	80	1	5	8860 
8	8重天劫	260	80	1	5	10935 
9	9重天劫	280	80	1	5	13244 
10	10重天劫	300	80	1	5	17226 
11	11重天劫	320	80	2	5	23227 
12	12重天劫	385	60	2	5	39312 
13	13重天劫	418	60	2	5	64071 
14	14重天劫	451	60	2	5	94392 
15	15重天劫	484	60	2	5	130410 
16	16重天劫	517	60	2	5	172260 
17	17重天劫	550	60	2	5	220077 
18	18重天劫	583	60	2	5	273996 
19	19重天劫	616	60	2	5	334152 
20	20重天劫	649	60	2	5	486540 
21	21重天劫	756	50	3	5	663201 
22	22重天劫	804	50	3	5	933300 
23	23重天劫	852	50	3	5	1252017 
24	24重天劫	900	50	3	5	1620432 
25	25重天劫	948	50	3	5	2039625 
26	26重天劫	996	50	3	5	2510676 
27	27重天劫	1044	50	3	5	3034665 
28	28重天劫	1092	50	3	5	3612672 
29	29重天劫	1140	50	3	5	4245777 
30	30重天劫	1188	50	3	5	5281380 
31	31重天劫	1352	40	4	5	6426729 
32	32重天劫	1417	40	4	5	8187102 
33	33重天劫	1482	40	4	5	10174500 
34	34重天劫	1547	40	4	5	12393459 
35	35重天劫	1612	40	4	5	14848515 
36	36重天劫	1677	40	4	5	17544204 
37	37重天劫	1742	40	4	5	20485062 
38	38重天劫	1807	40	4	5	23675625 
39	39重天劫	1872	40	4	5	27120429 
40	40重天劫	1937	40	4	5	32572890 
41	41重天劫	2170	30	5	5	38526840 
42	42重天劫	2254	30	5	5	47420190 
43	43重天劫	2338	30	5	5	57299814 
44	44重天劫	2422	30	5	5	68183856 
45	45重天劫	2506	30	5	5	80090460 
46	46重天劫	2590	30	5	5	93037770 
47	47重天劫	2674	30	5	5	107043930 
48	48重天劫	2758	30	5	5	122127084 
49	49重天劫	2842	30	5	5	138305376 
50	50重天劫	2926	30	5	5	163653750 
51	51重天劫	3240	30	6	5	191154222 
52	52重天劫	3345	30	6	5	218980548 
53	53重天劫	3450	30	6	5	248698593 
54	54重天劫	3555	30	6	5	280338597 
55	55重天劫	3660	30	6	5	313930800 
56	56重天劫	3765	30	6	5	349505442 
57	57重天劫	3870	30	6	5	387092763 
58	58重天劫	3975	30	6	5	426723003 
59	59重天劫	4080	30	6	5	468426402 
60	60重天劫	4185	30	6	5	512233200 
61	61重天劫	4592	30	7	5	558173637 
62	62重天劫	4720	30	7	5	606277953 
63	63重天劫	4848	30	7	5	656576388 
64	64重天劫	4976	30	7	5	709099182 
65	65重天劫	5104	30	7	5	763876575 
66	66重天劫	5232	30	7	5	820938807 
67	67重天劫	5360	30	7	5	880316118 
68	68重天劫	5488	30	7	5	942038748 
69	69重天劫	5616	30	7	5	1006136937 
70	70重天劫	5744	30	7	5	1072640925 
71	71重天劫	6256	30	8	5	1141580952 
72	72重天劫	6409	30	8	5	1212987258 
73	73重天劫	6562	30	8	5	1286890083 
74	74重天劫	6715	30	8	5	1363319667 
75	75重天劫	6868	30	8	5	1442306250 
76	76重天劫	7021	30	8	5	1523880072 
77	77重天劫	7174	30	8	5	1608071373 
78	78重天劫	7327	30	8	5	1694910393 
79	79重天劫	7480	30	8	5	1784427372 
80	80重天劫	7633	30	8	5	1876652550 
81	81重天劫	8262	30	9	5	1960723260 
82	82重天劫	8442	30	9	5	2046608370 
83	83重天劫	8622	30	9	5	2134307880 
84	84重天劫	8802	30	9	5	2223821790 
85	85重天劫	8982	30	9	5	2315150100 
86	86重天劫	9162	30	9	5	2408292810 
87	87重天劫	9342	30	9	5	2503249920 
88	88重天劫	9522	30	9	5	2600021430 
89	89重天劫	9702	30	9	5	2698607340 
90	90重天劫	9882	30	9	5	2799007650 
91	91重天劫	10621	30	10	5	2901222360 
92	92重天劫	10811	30	10	5	3005251470 
93	93重天劫	11001	30	10	5	3111094980 
94	94重天劫	11191	30	10	5	3218752890 
95	95重天劫	11381	30	10	5	3328225200 
96	96重天劫	11571	30	10	5	3439511910 
97	97重天劫	11761	30	10	5	3552613020 
98	98重天劫	11951	30	10	5	3667528530 
99	99重天劫	12141	30	10	5	3784258440 
100	100重天劫	12331	30	10	5	3902802750 
101	101重天劫	13180	30	11	5	4023161460 
102	102重天劫	13380	30	11	5	4145334570 
103	103重天劫	13580	30	11	5	4269322080 
104	104重天劫	13780	30	11	5	4395123990 
105	105重天劫	13980	30	11	5	4522740300 
106	106重天劫	14180	30	11	5	4652171010 
107	107重天劫	14380	30	11	5	4783416120 
108	108重天劫	14580	30	11	5	4916475630 
109	109重天劫	14780	30	11	5	5051349540 
110	110重天劫	14980	30	11	5	5188037850 
111	111重天劫	15180	30	12	5	5326540560 
112	112重天劫	15380	30	12	5	5466857670 
113	113重天劫	15580	30	12	5	5608989180 
114	114重天劫	15780	30	12	5	5752935090 
115	115重天劫	15980	30	12	5	5898695400 
116	116重天劫	16180	30	12	5	6046270110 
117	117重天劫	16380	30	12	5	6195659220 
118	118重天劫	16580	30	12	5	6346862730 
119	119重天劫	16780	30	12	5	6499880640 
