index_XBXXZ	itemid_XBXXZ	itemnum_XBXXZ	text_XBXXZ	Level_XBXXZ	BodyLevel_XBXXZ	LianDan_XBXXZ	LianQi_XBXXZ	Doom_XBXXZ	Speed_XBXXZ	dodge_XBXXZ	GoldSpirit_XBXXZ	WoodSpirit_XBXXZ	WaterdSpirit_XBXXZ	FiredSpirit_XBXXZ	MudSpirit_XBXXZ
1			【{0}】{1}在昆仑山苦寻了一年，什么也没得到！												
2	68	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1块：空冥石，喜不自胜！												
3	69	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1块：金岭砂，欣喜若狂！												
4	70	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1块：陨母，道心激荡！												
5	71	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1株：清灵草，心念通达！												
6	72	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1株：千年人参，聊胜于无！												
7	73	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1株：千年何首乌，聊胜于无！												
8	74	1	【{0}】{1}在昆仑山苦寻了一年，路上找到了1株：血精草，喜上眉梢！												
9			【{0}】{1}在昆仑山苦寻了一年，遇到别的道友匆匆而过。												
10			【{0}】{1}在昆仑山苦寻了一年，找到了一些龙脉的线索。												
11	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见修真前辈，前辈随手送了10个灵石。												
12			【{0}】{1}在昆仑山苦寻了一年，遇到一处迷阵，幸好没有深入。												
13			【{0}】{1}在昆仑山苦寻了一年，发现一颗奇怪的蛋，可惜旁边有大妖守卫。（修为不足，无法获取。）												
14			【{0}】{1}在昆仑山苦寻了一年，发现一处隐秘的洞府，可能是前辈遗留。（阵法不足，但已记下方位。）												
15	4	1	【{0}】{1}在昆仑山苦寻了一年，捡到了个破损的储物袋，搜出了一枚出窍丹												
16	5	1	【{0}】{1}在昆仑山苦寻了一年，捡到了个破损的储物袋，搜出了一枚分神丹												
17	6	1	【{0}】{1}在昆仑山苦寻了一年，捡到了个破损的储物袋，搜出了一枚合体丹												
18			【{0}】{1}在昆仑山苦寻了一年，发现一个储物袋，却已被其他道友捷足先登。												
19			【{0}】{1}在昆仑山苦寻了一年，发现一具尸骸，储物袋已经消失不见了。												
20			【{0}】{1}在昆仑山苦寻了一年，路遇凡夫俗子，凡人跪地磕头。												
21			【{0}】{1}在昆仑山苦寻了一年，遇见高人，满脸遗憾的看了看你！（灵根不足，无法获取）												
22			【{0}】{1}在昆仑山苦寻了一年，遇见高人，满脸遗憾的看了看你！（肉身不足，无法获取）												
23			【{0}】{1}在昆仑山苦寻了一年，遇见高人，满脸遗憾的看了看你！（修为不足，无法获取）												
24			【{0}】{1}在昆仑山苦寻了一年，遇见高人，满脸遗憾的看了看你！（炼丹术不足，无法获取）												
25			【{0}】{1}在昆仑山苦寻了一年，遇见高人，满脸遗憾的看了看你！（炼器术不足，无法获取）												
26			【{0}】{1}在昆仑山苦寻了一年，遇见高人，满脸遗憾的看了看你！（奇门遁甲不足，无法获取）												
27			【{0}】{1}在昆仑山苦寻了一年，遇见仙人飞过，仙人没有回头。（修为不足，无法获取）												
28			【{0}】{1}在昆仑山苦寻了一年，遇见魔王，撒腿就跑。（逃跑成功）												
29			【{0}】{1}在昆仑山苦寻了一年，遇见妖王，撒腿就跑。（逃跑成功）												
30			【{0}】{1}在昆仑山苦寻了一年，遇见鬼王，撒腿就跑。（逃跑成功）												
31			【{0}】{1}在昆仑山苦寻了一年，遇见魔王，险被斩杀。（逃跑成功）												
32			【{0}】{1}在昆仑山苦寻了一年，遇见妖王，险被斩杀。（逃跑成功）												
33			【{0}】{1}在昆仑山苦寻了一年，遇见鬼王，险被斩杀。（逃跑成功）												
34			【{0}】{1}在昆仑山苦寻了一年，发现一颗奇怪的蛋，可惜旁边有恶魔守卫。（修为不足，无法获取。）												
35			【{0}】{1}在昆仑山苦寻了一年，发现一颗奇怪的蛋，可惜旁边有恶鬼守卫。（修为不足，无法获取。）												
36			【{0}】{1}在昆仑山苦寻了一年，发现一颗奇怪的蛋，没有御剑飞行术无法取得。（功法不足，无法获取。）												
37			【{0}】{1}在昆仑山苦寻了一年，遇见仙子飞过，仙子没有回头。（修为不足，无法获取）												
38	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的金系灵根！随手给了你一点小奖励！												
39	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的木系灵根！随手给了你一点小奖励！												
40	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的水系灵根！随手给了你一点小奖励！												
41	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的火系灵根！随手给了你一点小奖励！												
42	38	10	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的土系灵根！随手给了你一点小奖励！												
43	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的金系灵根！随手给了你一点小奖励！												
44	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的木系灵根！随手给了你一点小奖励！												
45	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的水系灵根！随手给了你一点小奖励！												
46	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的火系灵根！随手给了你一点小奖励！												
47	38	12	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的土系灵根！随手给了你一点小奖励！												
48	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的金系灵根！随手给了你一点小奖励！												
49	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的木系灵根！随手给了你一点小奖励！												
50	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的水系灵根！随手给了你一点小奖励！												
51	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的火系灵根！随手给了你一点小奖励！												
52	38	15	【{0}】{1}在昆仑山苦寻了一年，遇见高人，检查了下你的土系灵根！随手给了你一点小奖励！												
53	30	1	【{0}】{1}在昆仑山苦寻了一年，遇见丹道大师，对你的资质很满意，随手送你1颗三转金丹！												
54			【{0}】{1}在昆仑山苦寻了一年，得到一缕龙气，真龙已离此不远了。												
55	82	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了炼丹炉一个。												
56	68	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2块：空冥石，喜不自胜！												
57	69	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2块：金岭砂，欣喜若狂！												
58	70	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2块：陨母，道心激荡！												
59	71	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2株：清灵草，心念通达！												
60	72	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2株：千年人参，聊胜于无！												
61	73	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2株：千年何首乌，聊胜于无！												
62	74	2	【{0}】{1}在昆仑山苦寻了一年，路上找到了2株：血精草，喜上眉梢！												
63			【{0}】{1}在昆仑山苦寻了一年，遇到一处宝地雷光四射。（雷抗不足，无法获取。）												
64			【{0}】{1}在昆仑山苦寻了一年，遇到一只幼兽逃窜。（速度不足，无法获取。）												
65			【{0}】{1}在昆仑山苦寻了一年，遇到一处隐秘洞府，门外大阵凶险万分，无法进入。（奇门遁甲不足，无法获取。）												
66	38	50	【{0}】{1}在昆仑山苦寻了一年，路上遇见修真前辈，前辈随手送了50个灵石。												
67	90	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了炼器炉一个。												
68	201	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了丹方一份。												
69	202	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了丹方一份。												
70	203	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了丹方一份。												
71	601	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了图纸一份。												
72	633	1	【{0}】{1}在昆仑山苦寻了一年，偶遇前辈高人，检查你的资质，奖励了图纸一份。												
73	38	300	【{0}】{1}在昆仑山苦寻了一年，遇到一处低级宝地雷光四射。强行搜索后，捡到300灵石。												
