index_XBXXZ	itemid_XBXXZ	itemnum_XBXXZ	dragon_XBXXZ	attackfactor_XBXXZ	text_XBXXZ	Level_XBXXZ	BodyLevel_XBXXZ	LianDan_XBXXZ	LianQi_XBXXZ	Doom_XBXXZ	Speed_XBXXZ	dodge_XBXXZ	GoldSpirit_XBXXZ	WoodSpirit_XBXXZ	WaterdSpirit_XBXXZ	FiredSpirit_XBXXZ	MudSpirit_XBXXZ
1					【{0}】{1}在昆仑山追杀龙，什么也没得到！												
2	68	1			【{0}】{1}在昆仑山追杀龙，路上找到了1块：空冥石，喜不自胜！												
3	69	1			【{0}】{1}在昆仑山追杀龙，路上找到了1块：金岭砂，欣喜若狂！												
4	70	1			【{0}】{1}在昆仑山追杀龙，路上找到了1块：陨母，道心激荡！												
5	71	1			【{0}】{1}在昆仑山追杀龙，路上找到了1株：清灵草，心念通达！												
6	72	1			【{0}】{1}在昆仑山追杀龙，路上找到了1株：千年人参，聊胜于无！												
7	73	1			【{0}】{1}在昆仑山追杀龙，路上找到了1株：千年何首乌，聊胜于无！												
8	74	1			【{0}】{1}在昆仑山追杀龙，路上找到了1株：血精草，喜上眉梢！												
9					【{0}】{1}在昆仑山追杀龙，路上遇到别的道友匆匆而过。												
10					【{0}】{1}在昆仑山追杀龙，路上找到了一些龙脉的线索。												
11	38	10			【{0}】{1}在昆仑山追杀龙，路上遇见修真前辈，前辈随手送了10个灵石。												
12					【{0}】{1}在昆仑山追杀龙，路上遇到一处迷阵，幸好没有深入。												
13					【{0}】{1}在昆仑山追杀龙，路上发现一颗奇怪的蛋，可惜旁边有大妖守卫。（修为不足，无法获取。）												
14					【{0}】{1}在昆仑山追杀龙，路上发现一处隐秘的洞府，可能是前辈遗留。（阵法不足，无法进入。）												
15	4	1			【{0}】{1}在昆仑山追杀龙，路上捡到了个破损的储物袋，搜出了一枚出窍丹												
16	5	1			【{0}】{1}在昆仑山追杀龙，路上捡到了个破损的储物袋，搜出了一枚分神丹												
17	6	1			【{0}】{1}在昆仑山追杀龙，路上捡到了个破损的储物袋，搜出了一枚合体丹												
18					【{0}】{1}在昆仑山追杀龙，路上发现一个储物袋，却已被其他道友捷足先登。												
