level_XBXXZ	name_XBXXZ	neednum_XBXXZ	spiritstone_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ
0	凡人之躯	25	250	0	0
1	凡人之躯1阶	50	500	8	19
2	凡人之躯2阶	75	750	9	21
3	凡人之躯3阶	100	1000	10	23
4	凡人之躯4阶	125	1250	12	27
5	凡人之躯5阶	150	1500	14	31
6	凡人之躯6阶	175	1750	16	35
7	凡人之躯7阶	200	2000	18	39
8	凡人之躯8阶	225	2250	20	43
9	凡人之躯9阶	275	2750	22	47
10	凡人之躯10阶	325	3250	24	51
11	钢筋铁骨1阶	375	3750	26	55
12	钢筋铁骨2阶	425	4250	28	59
13	钢筋铁骨3阶	475	4750	30	63
14	钢筋铁骨4阶	525	5250	50	80
15	钢筋铁骨5阶	575	5750	60	120
16	钢筋铁骨6阶	625	6250	70	160
17	钢筋铁骨7阶	675	6750	80	200
18	钢筋铁骨8阶	725	7250	90	240
19	钢筋铁骨9阶	800	8000	100	280
20	钢筋铁骨10阶	875	8750	110	320
21	力抵百牛1阶	950	9500	120	360
22	力抵百牛2阶	1025	10250	130	400
23	力抵百牛3阶	1100	11000	140	440
24	力抵百牛4阶	1175	11750	160	520
25	力抵百牛5阶	1250	12500	180	600
26	力抵百牛6阶	1325	13250	200	680
27	力抵百牛7阶	1400	14000	220	760
28	力抵百牛8阶	1475	14750	240	840
29	力抵百牛9阶	1575	15750	260	920
30	力抵百牛10阶	1675	16750	280	1000
31	铜骨之躯1阶	1775	17750	300	1080
32	铜骨之躯2阶	1875	18750	320	1160
33	铜骨之躯3阶	1975	19750	340	1240
34	铜骨之躯4阶	2075	20750	390	1400
35	铜骨之躯5阶	2175	21750	440	1560
36	铜骨之躯6阶	2275	22750	490	1720
37	铜骨之躯7阶	2375	23750	540	1880
38	铜骨之躯8阶	2475	24750	590	2040
39	铜骨之躯9阶	2600	26000	640	2200
40	铜骨之躯10阶	2725	27250	690	2360
41	银骨之躯1阶	2850	28500	740	2520
42	银骨之躯2阶	2975	29750	790	2680
43	银骨之躯3阶	3100	31000	840	2840
44	银骨之躯4阶	3225	32250	940	3160
45	银骨之躯5阶	3350	33500	1040	3480
46	银骨之躯6阶	3475	34750	1140	3800
47	银骨之躯7阶	3600	36000	1240	4120
48	银骨之躯8阶	3725	37250	1340	4440
49	银骨之躯9阶	3875	38750	1440	4760
50	银骨之躯10阶	4025	40250	1540	5080
51	金身之躯1阶	4175	41750	1640	5400
52	金身之躯2阶	4325	43250	1740	5720
53	金身之躯3阶	4475	44750	1840	6040
54	金身之躯4阶	4625	46250	1990	6240
55	金身之躯5阶	4775	47750	2140	6440
56	金身之躯6阶	4925	49250	2290	6640
57	金身之躯7阶	5075	50750	2440	6840
58	金身之躯8阶	5225	52250	2590	7040
59	金身之躯9阶	5425	54250	2740	7240
60	金身之躯10阶	5625	56250	2890	7440
61	万象之力1阶	5825	58250	3040	7640
62	万象之力2阶	6025	60250	3190	7840
63	万象之力3阶	6225	62250	3340	8040
64	万象之力4阶	6425	64250	3490	8240
65	万象之力5阶	6625	66250	3640	8440
66	万象之力6阶	6825	68250	3790	8640
67	万象之力7阶	7025	70250	3940	8840
68	万象之力8阶	7225	72250	4090	9040
69	万象之力9阶	7475	74750	4240	9240
70	万象之力10阶	7725	77250	4390	9440
71	千山之力1阶	7975	79750	4540	9640
72	千山之力2阶	8225	82250	4690	9840
