level_XBXXZ	name_XBXXZ	normalnum_XBXXZ	percentnum_XBXXZ	itemid_XBXXZ	itemnum_XBXXZ	percent_XBXXZ
0	凡品境	100	100	271	1	100
1	懵懂境第一重	101	101	271	1	100
2	懵懂境第二重	102	102	271	1	100
3	懵懂境第三重	103	103	271	1	100
4	懵懂境第四重	104	104	271	1	100
5	懵懂境第五重	105	105	271	1	100
6	懵懂境第六重	106	106	271	1	100
7	懵懂境第七重	107	107	271	1	100
8	懵懂境第八重	108	108	271	1	100
9	懵懂境第九重	109	109	271	1	100
10	懵懂境第十重	110	110	271	2	100
11	感知境第一重	111	111	271	2	100
12	感知境第二重	112	112	271	2	100
13	感知境第三重	113	113	271	2	100
14	感知境第四重	114	114	271	2	100
15	感知境第五重	115	115	271	2	100
16	感知境第六重	116	116	271	2	100
17	感知境第七重	117	117	271	2	100
18	感知境第八重	118	118	271	2	100
19	感知境第九重	119	119	271	2	100
20	感知境第十重	120	120	271	3	100
21	清明境第一重	121	121	271	3	100
22	清明境第二重	122	122	271	3	100
23	清明境第三重	123	123	271	3	100
24	清明境第四重	124	124	271	3	100
25	清明境第五重	125	125	271	3	100
26	清明境第六重	126	126	271	3	100
27	清明境第七重	127	127	271	3	100
28	清明境第八重	128	128	271	3	100
29	清明境第九重	129	129	271	3	100
30	清明境第十重	130	130	271	4	100
31	超凡境第一重	131	131	271	4	100
32	超凡境第二重	132	132	271	4	100
33	超凡境第三重	133	133	271	4	100
34	超凡境第四重	134	134	271	4	100
35	超凡境第五重	135	135	271	4	100
36	超凡境第六重	136	136	271	4	100
37	超凡境第七重	137	137	271	4	100
38	超凡境第八重	138	138	271	4	100
39	超凡境第九重	139	139	271	4	100
40	超凡境第十重	140	140	271	5	100
41	灵虚境第一重	141	141	271	5	100
42	灵虚境第二重	142	142	271	5	100
43	灵虚境第三重	143	143	271	5	100
44	灵虚境第四重	144	144	271	5	100
45	灵虚境第五重	145	145	271	5	100
46	灵虚境第六重	146	146	271	5	100
47	灵虚境第七重	147	147	271	5	100
48	灵虚境第八重	148	148	271	5	100
49	灵虚境第九重	149	149	271	5	100
50	灵虚境第十重	150	150	271	7	100
51	太虚境第一重	151	151	271	7	100
52	太虚境第二重	152	152	271	7	100
53	太虚境第三重	153	153	271	7	100
54	太虚境第四重	154	154	271	7	100
55	太虚境第五重	155	155	271	7	100
56	太虚境第六重	156	156	271	7	100
57	太虚境第七重	157	157	271	7	100
58	太虚境第八重	158	158	271	7	100
59	太虚境第九重	159	159	271	7	100
60	太虚境第十重	160	160	271	9	100
61	不灭境第一重	161	161	271	9	100
62	不灭境第二重	162	162	271	9	100
63	不灭境第三重	163	163	271	9	100
64	不灭境第四重	164	164	271	9	100
65	不灭境第五重	165	165	271	9	100
66	不灭境第六重	166	166	271	9	100
67	不灭境第七重	167	167	271	9	100
68	不灭境第八重	168	168	271	9	100
69	不灭境第九重	169	169	271	9	100
70	不灭境第十重	170	170	271	11	100
71	超脱境第一重	171	171	271	11	100
72	超脱境第二重	172	172	271	11	100
73	超脱境第三重	173	173	271	11	100
74	超脱境第四重	174	174	271	11	100
75	超脱境第五重	175	175	271	11	100
76	超脱境第六重	176	176	271	11	100
77	超脱境第七重	177	177	271	11	100
78	超脱境第八重	178	178	271	11	100
79	超脱境第九重	179	179	271	11	100
80	超脱境第十重	180	180	271	13	100
81	自在境第一重	181	181	271	13	100
82	自在境第二重	182	182	271	13	100
83	自在境第三重	183	183	271	13	100
84	自在境第四重	184	184	271	13	100
85	自在境第五重	185	185	271	13	100
86	自在境第六重	186	186	271	13	100
87	自在境第七重	187	187	271	13	100
88	自在境第八重	188	188	271	13	100
89	自在境第九重	189	189	271	13	100
90	自在境第十重	190	190	271	15	100
91	大自在第一重	191	191	271	15	100
92	大自在第二重	192	192	271	15	100
93	大自在第三重	193	193	271	15	100
94	大自在第四重	194	194	271	15	100
95	大自在第五重	195	195	271	15	100
96	大自在第六重	196	196	271	15	100
97	大自在第七重	197	197	271	15	100
98	大自在第八重	198	198	271	15	100
99	大自在第九重	199	199	271	15	100
100	大自在第十重	200	200	271	18	100
101	仙魂境第一重	201	201	271	18	100
102	仙魂境第二重	202	202	271	18	100
103	仙魂境第三重	203	203	271	18	100
104	仙魂境第四重	204	204	271	18	100
105	仙魂境第五重	205	205	271	18	100
106	仙魂境第六重	206	206	271	18	100
107	仙魂境第七重	207	207	271	18	100
108	仙魂境第八重	208	208	271	18	100
109	仙魂境第九重	209	209	271	18	100
110	仙魂境第十重	210	210	271	21	100
111	上仙境第一重	211	211	271	21	100
112	上仙境第二重	212	212	271	21	100
113	上仙境第三重	213	213	271	21	100
114	上仙境第四重	214	214	271	21	100
115	上仙境第五重	215	215	271	21	100
116	上仙境第六重	216	216	271	21	100
117	上仙境第七重	217	217	271	21	100
118	上仙境第八重	218	218	271	21	100
119	上仙境第九重	219	219	271	21	100
120	上仙境第十重	220	220	271	24	100
121	金仙境第一重	221	221	271	24	100
122	金仙境第二重	222	222	271	24	100
123	金仙境第三重	223	223	271	24	100
124	金仙境第四重	224	224	271	24	100
125	金仙境第五重	225	225	271	24	100
126	金仙境第六重	226	226	271	24	100
127	金仙境第七重	227	227	271	24	100
128	金仙境第八重	228	228	271	24	100
129	金仙境第九重	229	229	271	24	100
130	金仙境第十重	230	230	271	27	100
131	仙帝境第一重	231	231	271	27	100
132	仙帝境第二重	232	232	271	27	100
133	仙帝境第三重	233	233	271	27	100
134	仙帝境第四重	234	234	271	27	100
135	仙帝境第五重	235	235	271	27	100
136	仙帝境第六重	236	236	271	27	100
137	仙帝境第七重	237	237	271	27	100
138	仙帝境第八重	238	238	271	27	100
139	仙帝境第九重	239	239	271	27	100
140	仙帝境第十重	240	240	271	30	100
141	长生境第一重	241	241	271	30	100
142	长生境第二重	242	242	271	30	100
143	长生境第三重	243	243	271	30	100
144	长生境第四重	244	244	271	30	100
145	长生境第五重	245	245	271	30	100
146	长生境第六重	246	246	271	30	100
147	长生境第七重	247	247	271	30	100
148	长生境第八重	248	248	271	30	100
149	长生境第九重	249	249	271	30	100
150	长生境第十重	250	250	271	35	100
151	圣人境第一重	251	251	271	35	100
152	圣人境第二重	252	252	271	35	100
153	圣人境第三重	253	253	271	35	100
154	圣人境第四重	254	254	271	35	100
155	圣人境第五重	255	255	271	35	100
156	圣人境第六重	256	256	271	35	100
157	圣人境第七重	257	257	271	35	100
158	圣人境第八重	258	258	271	35	100
159	圣人境第九重	259	259	271	35	100
160	圣人境第十重	260	260	271	40	100
161	神魂境第一重	261	261	271	40	100
162	神魂境第二重	262	262	271	40	100
163	神魂境第三重	263	263	271	40	100
164	神魂境第四重	264	264	271	40	100
165	神魂境第五重	265	265	271	40	100
166	神魂境第六重	266	266	271	40	100
167	神魂境第七重	267	267	271	40	100
168	神魂境第八重	268	268	271	40	100
169	神魂境第九重	269	269	271	40	100
170	神魂境第十重	270	270	271	45	100
171	真神境第一重	271	271	271	45	100
172	真神境第二重	272	272	271	45	100
173	真神境第三重	273	273	271	45	100
174	真神境第四重	274	274	271	45	100
175	真神境第五重	275	275	271	45	100
176	真神境第六重	276	276	271	45	100
177	真神境第七重	277	277	271	45	100
178	真神境第八重	278	278	271	45	100
179	真神境第九重	279	279	271	45	100
180	真神境第十重	280	280	271	50	100
181	天元境第一重	281	281	271	50	100
182	天元境第二重	282	282	271	50	100
183	天元境第三重	283	283	271	50	100
184	天元境第四重	284	284	271	50	100
185	天元境第五重	285	285	271	50	100
186	天元境第六重	286	286	271	50	100
187	天元境第七重	287	287	271	50	100
188	天元境第八重	288	288	271	50	100
189	天元境第九重	289	289	271	50	100
190	天元境第十重	290	290	271	60	100
191	圣元境第一重	291	291	271	60	100
192	圣元境第二重	292	292	271	60	100
193	圣元境第三重	293	293	271	60	100
194	圣元境第四重	294	294	271	60	100
195	圣元境第五重	295	295	271	60	100
196	圣元境第六重	296	296	271	60	100
197	圣元境第七重	297	297	271	60	100
198	圣元境第八重	298	298	271	60	100
199	圣元境第九重	299	299	271	60	100
200	圣元境第十重	300	300	271	70	100
201	太元境第一重	301	301	271	70	100
202	太元境第二重	302	302	271	70	100
203	太元境第三重	303	303	271	70	100
204	太元境第四重	304	304	271	70	100
205	太元境第五重	305	305	271	70	100
206	太元境第六重	306	306	271	70	100
