Level_XBXXZ	Name_XBXXZ	Yield_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	Limit_XBXXZ	Time_XBXXZ
1	1级聚灵阵	1	45	36	72	360	60
2	2级聚灵阵	2	90	72	144	720	120
3	3级聚灵阵	3	135	108	216	1080	180
4	4级聚灵阵	4	180	144	288	1440	240
5	5级聚灵阵	5	225	180	360	1800	300
6	6级聚灵阵	6	270	216	432	2160	360
7	7级聚灵阵	7	315	252	504	2520	420
8	8级聚灵阵	8	360	288	576	2880	480
9	9级聚灵阵	9	405	324	648	3240	540
10	10级聚灵阵	10	450	360	720	3600	600
11	11级聚灵阵	11	495	396	792	3960	660
12	12级聚灵阵	12	540	432	864	4320	720
13	13级聚灵阵	13	585	468	936	4680	780
14	14级聚灵阵	14	630	504	1008	5040	840
15	15级聚灵阵	15	675	540	1080	5400	900
16	16级聚灵阵	16	720	576	1152	5760	960
17	17级聚灵阵	17	765	612	1224	6120	1020
18	18级聚灵阵	18	810	648	1296	6480	1080
19	19级聚灵阵	19	855	684	1368	6840	1140
20	20级聚灵阵	20	900	720	1440	7200	1200
21	21级聚灵阵	21	945	756	1512	7560	1260
22	22级聚灵阵	22	990	792	1584	7920	1320
23	23级聚灵阵	23	1035	828	1656	8280	1380
24	24级聚灵阵	24	1080	864	1728	8640	1440
25	25级聚灵阵	25	1125	900	1800	9000	1500
26	26级聚灵阵	26	1170	936	1872	9360	1560
27	27级聚灵阵	27	1215	972	1944	9720	1620
28	28级聚灵阵	28	1260	1008	2016	10080	1680
29	29级聚灵阵	29	1305	1044	2088	10440	1740
30	30级聚灵阵	30	1350	1080	2160	10800	1800
31	31级聚灵阵	31	1395	1116	2232	11160	1860
32	32级聚灵阵	32	1440	1152	2304	11520	1920
33	33级聚灵阵	33	1485	1188	2376	11880	1980
34	34级聚灵阵	34	1530	1224	2448	12240	2040
35	35级聚灵阵	35	1575	1260	2520	12600	2100
36	36级聚灵阵	36	1620	1296	2592	12960	2160
37	37级聚灵阵	37	1665	1332	2664	13320	2220
38	38级聚灵阵	38	1710	1368	2736	13680	2280
39	39级聚灵阵	39	1755	1404	2808	14040	2340
40	40级聚灵阵	40	1800	1440	2880	14400	2400
41	41级聚灵阵	41	1845	1476	2952	14760	2460
42	42级聚灵阵	42	1890	1512	3024	15120	2520
43	43级聚灵阵	43	1935	1548	3096	15480	2580
44	44级聚灵阵	44	1980	1584	3168	15840	2640
45	45级聚灵阵	45	2025	1620	3240	16200	2700
46	46级聚灵阵	46	2070	1656	3312	16560	2760
47	47级聚灵阵	47	2115	1692	3384	16920	2820
48	48级聚灵阵	48	2160	1728	3456	17280	2880
49	49级聚灵阵	49	2205	1764	3528	17640	2940
50	50级聚灵阵	51	2295	1836	3672	18360	3000
51	51级聚灵阵	53	2385	1908	3816	19080	3060
52	52级聚灵阵	55	2475	1980	3960	19800	3120
53	53级聚灵阵	57	2565	2052	4104	20520	3180
54	54级聚灵阵	59	2655	2124	4248	21240	3240
55	55级聚灵阵	61	2745	2196	4392	21960	3300
56	56级聚灵阵	63	2835	2268	4536	22680	3360
57	57级聚灵阵	65	2925	2340	4680	23400	3420
58	58级聚灵阵	67	3015	2412	4824	24120	3480
59	59级聚灵阵	69	3105	2484	4968	24840	3540
60	60级聚灵阵	71	3195	2556	5112	25560	3600
61	61级聚灵阵	73	3285	2628	5256	26280	3660
62	62级聚灵阵	75	3375	2700	5400	27000	3720
63	63级聚灵阵	77	3465	2772	5544	27720	3780
64	64级聚灵阵	79	3555	2844	5688	28440	3840
65	65级聚灵阵	81	3645	2916	5832	29160	3900
66	66级聚灵阵	83	3735	2988	5976	29880	3960
67	67级聚灵阵	85	3825	3060	6120	30600	4020
68	68级聚灵阵	87	3915	3132	6264	31320	4080
69	69级聚灵阵	89	4005	3204	6408	32040	4140
70	70级聚灵阵	91	4095	3276	6552	32760	4200
71	71级聚灵阵	93	4185	3348	6696	33480	4260
72	72级聚灵阵	95	4275	3420	6840	34200	4320
73	73级聚灵阵	97	4365	3492	6984	34920	4380
74	74级聚灵阵	99	4455	3564	7128	35640	4440
75	75级聚灵阵	101	4545	3636	7272	36360	4500
76	76级聚灵阵	103	4635	3708	7416	37080	4560
77	77级聚灵阵	105	4725	3780	7560	37800	4620
78	78级聚灵阵	107	4815	3852	7704	38520	4680
79	79级聚灵阵	109	4905	3924	7848	39240	4740
80	80级聚灵阵	111	4995	3996	7992	39960	4800
81	81级聚灵阵	113	5085	4068	8136	40680	4860
82	82级聚灵阵	115	5175	4140	8280	41400	4920
83	83级聚灵阵	117	5265	4212	8424	42120	4980
84	84级聚灵阵	119	5355	4284	8568	42840	5040
85	85级聚灵阵	121	5445	4356	8712	43560	5100
86	86级聚灵阵	123	5535	4428	8856	44280	5160
87	87级聚灵阵	125	5625	4500	9000	45000	5220
88	88级聚灵阵	127	5715	4572	9144	45720	5280
89	89级聚灵阵	129	5805	4644	9288	46440	5340
90	90级聚灵阵	131	5895	4716	9432	47160	5400
91	91级聚灵阵	133	5985	4788	9576	47880	5460
92	92级聚灵阵	135	6075	4860	9720	48600	5520
93	93级聚灵阵	137	6165	4932	9864	49320	5580
94	94级聚灵阵	139	6255	5004	10008	50040	5640
95	95级聚灵阵	141	6345	5076	10152	50760	5700
96	96级聚灵阵	143	6435	5148	10296	51480	5760
97	97级聚灵阵	145	6525	5220	10440	52200	5820
98	98级聚灵阵	147	6615	5292	10584	52920	5880
99	99级聚灵阵	149	6705	5364	10728	53640	5940
100	100级聚灵阵	154	13860	11088	22176	55440	6000
101	101级聚灵阵	159	14310	11448	22896	57240	6060
102	102级聚灵阵	164	14760	11808	23616	59040	6120
103	103级聚灵阵	169	15210	12168	24336	60840	6180
104	104级聚灵阵	174	15660	12528	25056	62640	6240
105	105级聚灵阵	179	16110	12888	25776	64440	6300
106	106级聚灵阵	184	16560	13248	26496	66240	6360
107	107级聚灵阵	189	17010	13608	27216	68040	6420
108	108级聚灵阵	194	17460	13968	27936	69840	6480
109	109级聚灵阵	199	17910	14328	28656	71640	6540
110	110级聚灵阵	204	18360	14688	29376	73440	6600
111	111级聚灵阵	209	18810	15048	30096	75240	6660
112	112级聚灵阵	214	19260	15408	30816	77040	6720
113	113级聚灵阵	219	19710	15768	31536	78840	6780
114	114级聚灵阵	224	20160	16128	32256	80640	6840
115	115级聚灵阵	229	20610	16488	32976	82440	6900
116	116级聚灵阵	234	21060	16848	33696	84240	6960
117	117级聚灵阵	239	21510	17208	34416	86040	7020
118	118级聚灵阵	244	21960	17568	35136	87840	7080
119	119级聚灵阵	249	22410	17928	35856	89640	7140
120	120级聚灵阵	254	22860	18288	36576	91440	7200
121	121级聚灵阵	259	23310	18648	37296	93240	7260
122	122级聚灵阵	264	23760	19008	38016	95040	7320
123	123级聚灵阵	269	24210	19368	38736	96840	7380
124	124级聚灵阵	274	24660	19728	39456	98640	7440
125	125级聚灵阵	279	25110	20088	40176	100440	7500
126	126级聚灵阵	284	25560	20448	40896	102240	7560
127	127级聚灵阵	289	26010	20808	41616	104040	7620
128	128级聚灵阵	294	26460	21168	42336	105840	7680
129	129级聚灵阵	299	26910	21528	43056	107640	7740
130	130级聚灵阵	304	27360	21888	43776	109440	7800
131	131级聚灵阵	309	27810	22248	44496	111240	7860
132	132级聚灵阵	314	28260	22608	45216	113040	7920
133	133级聚灵阵	319	28710	22968	45936	114840	7980
134	134级聚灵阵	324	29160	23328	46656	116640	8040
135	135级聚灵阵	329	29610	23688	47376	118440	8100
136	136级聚灵阵	334	30060	24048	48096	120240	8160
137	137级聚灵阵	339	30510	24408	48816	122040	8220
138	138级聚灵阵	344	30960	24768	49536	123840	8280
139	139级聚灵阵	349	31410	25128	50256	125640	8340
140	140级聚灵阵	354	31860	25488	50976	127440	8400
141	141级聚灵阵	359	32310	25848	51696	129240	8460
142	142级聚灵阵	364	32760	26208	52416	131040	8520
143	143级聚灵阵	369	33210	26568	53136	132840	8580
144	144级聚灵阵	374	33660	26928	53856	134640	8640
145	145级聚灵阵	379	34110	27288	54576	136440	8700
146	146级聚灵阵	384	34560	27648	55296	138240	8760
147	147级聚灵阵	389	35010	28008	56016	140040	8820
148	148级聚灵阵	394	35460	28368	56736	141840	8880
149	149级聚灵阵	399	35910	28728	57456	143640	8940
150	150级聚灵阵	404	72720	58176	116352	145440	9000
151	151级聚灵阵	414	74520	59616	119232	149040	9060
152	152级聚灵阵	424	76320	61056	122112	152640	9120
153	153级聚灵阵	434	78120	62496	124992	156240	9180
154	154级聚灵阵	444	79920	63936	127872	159840	9240
155	155级聚灵阵	454	81720	65376	130752	163440	9300
156	156级聚灵阵	464	83520	66816	133632	167040	9360
157	157级聚灵阵	474	85320	68256	136512	170640	9420
158	158级聚灵阵	484	87120	69696	139392	174240	9480
159	159级聚灵阵	494	88920	71136	142272	177840	9540
160	160级聚灵阵	504	90720	72576	145152	181440	9600
161	161级聚灵阵	514	92520	74016	148032	185040	9660
162	162级聚灵阵	524	94320	75456	150912	188640	9720
163	163级聚灵阵	534	96120	76896	153792	192240	9780
164	164级聚灵阵	544	97920	78336	156672	195840	9840
165	165级聚灵阵	554	99720	79776	159552	199440	9900
166	166级聚灵阵	564	101520	81216	162432	203040	9960
167	167级聚灵阵	574	103320	82656	165312	206640	10020
168	168级聚灵阵	584	105120	84096	168192	210240	10080
169	169级聚灵阵	594	106920	85536	171072	213840	10140
170	170级聚灵阵	604	108720	86976	173952	217440	10200
171	171级聚灵阵	614	110520	88416	176832	221040	10260
172	172级聚灵阵	624	112320	89856	179712	224640	10320
173	173级聚灵阵	634	114120	91296	182592	228240	10380
174	174级聚灵阵	644	115920	92736	185472	231840	10440
175	175级聚灵阵	654	117720	94176	188352	235440	10500
176	176级聚灵阵	664	119520	95616	191232	239040	10560
177	177级聚灵阵	674	121320	97056	194112	242640	10620
178	178级聚灵阵	684	123120	98496	196992	246240	10680
179	179级聚灵阵	694	124920	99936	199872	249840	10740
180	180级聚灵阵	704	126720	101376	202752	253440	10800
181	181级聚灵阵	714	128520	102816	205632	257040	10860
182	182级聚灵阵	724	130320	104256	208512	260640	10920
183	183级聚灵阵	734	132120	105696	211392	264240	10980
184	184级聚灵阵	744	133920	107136	214272	267840	11040
185	185级聚灵阵	754	135720	108576	217152	271440	11100
186	186级聚灵阵	764	137520	110016	220032	275040	11160
187	187级聚灵阵	774	139320	111456	222912	278640	11220
188	188级聚灵阵	784	141120	112896	225792	282240	11280
189	189级聚灵阵	794	142920	114336	228672	285840	11340
190	190级聚灵阵	804	144720	115776	231552	289440	11400
191	191级聚灵阵	814	146520	117216	234432	293040	11460
192	192级聚灵阵	824	148320	118656	237312	296640	11520
193	193级聚灵阵	834	150120	120096	240192	300240	11580
194	194级聚灵阵	844	151920	121536	243072	303840	11640
195	195级聚灵阵	854	153720	122976	245952	307440	11700
196	196级聚灵阵	864	155520	124416	248832	311040	11760
197	197级聚灵阵	874	157320	125856	251712	314640	11820
198	198级聚灵阵	884	159120	127296	254592	318240	11880
199	199级聚灵阵	894	160920	128736	257472	321840	11940
200	200级聚灵阵	904	162720	130176	260352	325440	12000
201	201级聚灵阵	934	184932	141221	285804	336240	12060
202	202级聚灵阵	964	190872	145757	294984	347040	12120
203	203级聚灵阵	994	196812	150293	304164	357840	12180
204	204级聚灵阵	1024	202752	154829	313344	368640	12240
205	205级聚灵阵	1054	208692	159365	322524	379440	12300
206	206级聚灵阵	1084	214632	163901	331704	390240	12360
207	207级聚灵阵	1114	220572	168437	340884	401040	12420
208	208级聚灵阵	1144	226512	172973	350064	411840	12480
209	209级聚灵阵	1174	232452	177509	359244	422640	12540
210	210级聚灵阵	1204	238392	182045	368424	433440	12600
211	211级聚灵阵	1234	244332	186581	377604	444240	12660
212	212级聚灵阵	1264	250272	191117	386784	455040	12720
213	213级聚灵阵	1294	256212	195653	395964	465840	12780
214	214级聚灵阵	1324	262152	200189	405144	476640	12840
215	215级聚灵阵	1354	268092	204725	414324	487440	12900
216	216级聚灵阵	1384	274032	209261	423504	498240	12960
217	217级聚灵阵	1414	279972	213797	432684	509040	13020
218	218级聚灵阵	1444	285912	218333	441864	519840	13080
219	219级聚灵阵	1474	291852	222869	451044	530640	13140
220	220级聚灵阵	1504	297792	227405	460224	541440	13200
221	221级聚灵阵	1534	303732	231941	469404	552240	13260
222	222级聚灵阵	1564	309672	236477	478584	563040	13320
223	223级聚灵阵	1594	315612	241013	487764	573840	13380
224	224级聚灵阵	1624	321552	245549	496944	584640	13440
225	225级聚灵阵	1654	327492	250085	506124	595440	13500
226	226级聚灵阵	1684	333432	254621	515304	606240	13560
227	227级聚灵阵	1714	339372	259157	524484	617040	13620
228	228级聚灵阵	1744	345312	263693	533664	627840	13680
229	229级聚灵阵	1774	351252	268229	542844	638640	13740
230	230级聚灵阵	1804	357192	272765	552024	649440	13800
231	231级聚灵阵	1834	363132	277301	561204	660240	13860
232	232级聚灵阵	1864	369072	281837	570384	671040	13920
233	233级聚灵阵	1894	375012	286373	579564	681840	13980
234	234级聚灵阵	1924	380952	290909	588744	692640	14040
