ID_XBXXZ	Content_XBXXZ
1	你好！
2	角色名不能为空！
3	角色名重复！
4	确定要退出游戏吗？
5	名字中含有非法字符！
6	[663411]当前的GameCenter账号上还有其他角色。请确认是否继续使用当前角色进行游戏，还是切换角色。点击"切换角色"后将退出游戏，重启游戏后，将切换角色进行游戏。 [-]
7	切换角色
8	当前继续
9	充值服务器无法连接！

11	[663411]该大世界正在维护中，几分钟后可以进入！[-]
12	[663411]该大世界尚未开启，请注意开启时间[-]
13	正在连接大世界，请稍侯

16	的{0}(宠物)
17	领取

20	师姐
//道具*数量
21	{0}*{1}

25	声音[开]
26	声音[关]

30	妖族
31	魔族
32	鬼族
33	人族

39	包裹已满！
40	装备已满！
41	装备
42	脱下
43	购买
44	使用
45	出售

50	攻击：{0}~{1}
51	防御：{0}~{1}
52	妖攻：{0}~{1}
53	魔攻：{0}~{1}
54	鬼攻：{0}~{1}
55	人攻：{0}~{1}
56	闪避：{0}~{1}
57	暴击：{0}~{1}
58	攻速：{0}~{1}
59	雷抗：{0}~{1}
60	生命：{0}

70	攻击：{0}
71	防御：{0}
72	妖攻：{0}
73	魔攻：{0}
74	鬼攻：{0}
75	人攻：{0}
76	闪避：{0}
77	暴击：{0}
78	攻速：{0}
79	雷抗：{0}
80	生命：{0}

90	 攻击 
91	 防御 
92	 生命 
93	 暴击 
94	 闪避 


//663411 通用褐色
100	修为不足{0}
101	[663411FF][{0}]{1}[-] 不足 {2} 个![-]
102	声望不足{0}
103	境界未达到 {0}



104	确定
105	取消

110	灵石不足{0}
111	邪气不足{0}
112	正气不足{0}
113	中立不足{0}

120	[FF0000]铸造者：{0}[-]

131	购买价格：
132	购买价格：
133	回购价格：
134	购买价格：

140	灵石
141	上品灵石
142	功德

150	暂无公告！

200	第{0}轮

300	功能尚未开启

310	雄性
311	雌性

320	不可骑乘
321	可骑乘

330	陆行
331	飞行
332	御海

400	陆行速度
401	飞行速度
402	御海速度

500	[663411]本命法宝触发晕眩效果，{0}晕眩3回合！[-]
501	[663411]本命法宝触发吸血效果，吸收{0}生命值！[-]
502	[663411]本命法宝触发回血效果，恢复{0}生命值！[-]
503	[663411]本命法宝触发降防效果，{0}降低{1}%防御持续3回合！[-]
504	[663411]本命法宝触发降攻效果，{0}降低{1}%攻击持续3回合！[-]
505	[663411]本命法宝触发诅咒效果，{0}降低{1}%生命持续3回合！[-]
506	[663411]本命法宝触发灵动效果，{0}进入灵动状态持续3回合！[-]
507	[663411]本命法宝触发反伤效果，{0}进入反伤状态持续3回合！[-]
508	[663411]本命法宝触发反攻效果，{0}进入反攻状态持续3回合！[-]
509	[663411]本命法宝触发增防效果，{0}进入增防状态持续3回合！[-]
510	[663411]本命法宝触发增攻效果，{0}进入增攻状态持续3回合！[-]

530	[663411]{0}晕眩中。[-]
537	[663411]{0}攻击你后，受到反伤：{1}点伤害。[-]
538	[663411]{0}攻击你后，受到反攻：{1}点伤害。[-]


//修炼
1001	{0}
1002	正在修炼中：{0}
1004	{0}修为
1005	尚未满足修炼条件
1006	{0}修为
1007	恭喜您历尽劫难！
1008	所需境界：{0}
1109	筑基期1阶才能修炼肉身

1010	当前修炼效率：({0}~{1})/5秒
1011	[00EE00]修为+{0}[-]

1015	升级
1016	渡劫
1017	[663411]当前成功率不是100%，强行渡劫可能失败![-]

//灵气
1022	[00EE00]灵气+{0}[-]
1023	每5秒生产[FF0000]{0}[-]点灵气

1024	灵气：{0}/{1}
1025	本系功法效果+{0}%

1050	炼气期
1051	筑基期
1052	金丹期
1053	元婴期
1054	出窍期
1055	分神期
1056	合体期
1057	洞虚期
1058	大乘期
1059	洞真期
1060	散仙期
1061	游仙期
1062	地仙期
1063	天仙期
1064	金仙期
1065	大罗金仙

1100	散修
1101	暂未加入任何门派，可选择“拜师学艺”加入各个门派。
1102	中立
1110	已满级
1111	{0}点灵气
1121	金系
1122	木系
1123	水系
1124	火系
1125	土系

1126	[663411]您确定要升级 [{0}]{1}[-] 灵根吗？\n升级消耗 [00EE00]{2}[-] 灵气[-]
1127	[663411]您确定要升级聚灵阵吗？[-]

1128	[5F350F]{0}{1}【灵根效果{2}%[7E9744]({3})[-]】[-]


1129	[663411]所需材料：\n玄铁：{0}\n木材：{1}\n灵草：{2}[-]

1130	[3C7E30]正气+{0}[-]
1131	[3C7E30]邪气+{0}[-]
1132	[3C7E30]中立+{0}[-]

1135	[3C7E30]你确定要退出 {0} 吗？\n[-][DB7426]退出消耗{1}点声望！[-]
1136	[663411]你确定要遗忘 {0} 吗[-]？
1137	[5F350F]{0}[-]

1140	加入门派后可学得技能
1141	点击领悟可习得新技能

1160	通过门派学习的技能需要技能点
1161	通过功法书学习的技能不消耗技能点

//洞府
1200	灵石：{0}级
1201	食物：{0}级
1202	木材：{0}级
1203	灵草：{0}级
1204	玄铁：{0}级

1205	[3C7E30]灵石+{0}[-]
1206	[3C7E30]食物+{0}[-]
1207	[3C7E30]木材+{0}[-]
1208	[3C7E30]灵草+{0}[-]
1209	[3C7E30]玄铁+{0}[-]

1210	{0}木材
1211	已满级

1220	[663411]是否花费 [FF0000]{0}食物[-] 招募一名仆役？\n当前剩余食物：[FF0000]{1}[-]
1221	招募
1222	离开
1223	洞府等级不足，无法进入！

1225	[EE0000]灵石{0}[-]
1226	[EE0000]食物{0}[-]
1227	[EE0000]木材{0}[-]
1228	[EE0000]灵草{0}[-]
1229	[EE0000]玄铁{0}[-]

1230	[3C7E30]灵草+{0}[-]
1231	[3C7E30]玄铁+{0}[-]
1232	[3C7E30]灵石+{0}[-]
1233	[3C7E30]仆役+{0}[-]

1234	[EE0000]升级灵脉[-]
1235	[EE0000]升级兽场[-]
1236	[EE0000]升级林场[-]
1237	[EE0000]升级药园[-]
1238	[EE0000]升级矿场[-]
1239	[663411]需要木材：[EE0000]{0}[-]个\n当前木材：[EE0000]{1}[-]个[-]


1241	[663411]您不幸被击败了，重伤逃回洞府休息，下次再来此地还需要重新探索。[-]
1242	[EE0000]战斗失败[-]

1243	获得宝箱
1244	打开宝箱获得如下宝物：

1245	战斗胜利
1246	获得如下战利品：
1247	[3C7E30]木材+{0}[-]

1250	当前所在地：
1251	尚未掌握《御剑飞行术》无法跨越障碍！
1252	你
1253	[DB7426]【{0}】 {1}*[{2}]{3}[-][-]
1255	[663411FF] [FF0000]{0}[-] 对 [FF0000]{1}[-] 造成 [FF0000]{2}[-] 点伤害 [-]
1256	[663411FF] [FF0000]{0}[-] 闪避了 [FF0000]{1}[-] 的伤害 [-]
1257	[663411FF] [FF0000]{0}[-] 发动暴击对 [FF0000]{1}[-] 造成 [FF0000]{2}[-] 点伤害 [-]

1270	[663411]法宝品质：[-][{0}]{1}[-]
//品质
1271	下品法器
1272	中品法器
1273	上品法器
1274	下品法宝
1275	中品法宝
1276	上品法宝
1277	下品灵宝
1278	中品灵宝
1279	上品灵宝
1280	一品仙器
1281	二品仙器
1282	三品仙器
1283	四品仙器
1284	五品仙器
1285	六品仙器
1286	七品仙器
1287	八品仙器
1288	九品仙器


1290	战斗法宝

//渡劫
1300	失败降低修为{0}，请道友三思而后行
1301	风云变色，无边无尽的乌云，从四面八方，滚滚而来，最终聚集到一点，形成一个黑漆漆的劫云旋涡，一道道闪电劈在【{0}】的头上。\n九死一生后，【{1}】渡劫成功了！\n
1302	风云变色，无边无尽的乌云，从四面八方，滚滚而来，最终聚集到一点，形成一个黑漆漆的劫云旋涡，一道道闪电劈在【{0}】的头上。\n【{1}】最终还是没有抵挡住天威浩荡，渡劫失败！被雷劫击成重伤，奄奄一息！

1311	珍宝阁（一层）
1312	珍宝阁（二层）
1313	珍宝阁（三层）
1314	仙书坊（一层）
1315	仙书坊（二层）
1316	仙书坊（三层）
1317	奇珍会
1318	奇珍会（二层）
1319	奇珍会（三层）
1320	奇珍会（顶层）

1321	前往第二层
1322	前往第三层
1323	
1324	前往第二层
1325	前往第三层
1326	 
1327	兑换点上品灵石
1328	兑换点上品灵石
1329	兑换点上品灵石
1330	兑换点上品灵石

1340	下次进货时间：
1341	前往第二层
1342	前往第三层
1343	前往顶层
1344	返回第三层

1348	返回二层

1350	敬请期待！
1351	奇珍会每100年开启一次，请注意修真时间

1361	道友尚未学习“太上内观经”，无法检查自身属性。
1362	道友既无炼丹炉，又未学习炼丹术，无法炼丹。
1363	道友尚未学习炼器相关法术，无法炼器。
1370	注意，当前丹药没有最合适的丹炉，请手动选择想要用的丹炉。
1371	注意，当前法宝没有最合适的炼器炉，请手动选择想要用的炼器炉。


1400	《{0}》，消耗：{1}点帮派贡献度可兑换。
1401	职务需求：{0}

1410	目前此处正在整修，请稍后再来！
1411	{0}点贡献，{1}点灵石
1412	{0}点贡献

1414	这是掌教方能使用的权限！

1415	{0}灵根 {1}

//接引新人
1500	接引新的凡人后，让新人输入该口令，新人可瞬间得到{0}灵石，而在其修炼到元婴之后，您也可以得到{1}灵石奖励。
1501	口令不能为空！

//邮件
1600	道具尚未领取！
1602	[663411]【已读】[-]
1603	[00BB00]【未读】[-]

//炼丹
1610	本门炼丹长老为{0}，跟他学习，最高可领悟到{1}级丹方！
1611	正在学习中：{0}
1612	本门不擅炼丹，炼丹房关闭已久！需掌门方可重新启用炼丹房！
1613	【{0}】 {1}
1614	尚无可用丹方
1615	尚无可用丹炉
1616	真传弟子才可进入！

//地图新版
1700	道友请留步，您的肉身修为过低，请勿尝试！
1701	需要先通过仙界之门的考验才能进入三十三重天
1702	需要先通过冥界之门的考验才能进入阴曹地府
1703	需要先通过魔界之门的考验才能进入大魔天

//练功房
1801	师兄找我有何贵干？
1802	师兄想进入掌门专属的修炼练功房？您可不是掌门呀！
1803	师兄可知《财侣法地真诀》？

1811	[FF0000]（掌门身边的小道童满脸疑惑的看着你！）\n（你非本派掌门，无法随意进出！）[-]
1812	[FF0000]（掌门练功房灵力充沛，在练功房修炼期间可额外增加50%的练功效果！）[-]
1813	[FF0000]（你努力说服了道童！）[-]
