CountryType_XBXXZ	CountryID_XBXXZ	index_XBXXZ	percent_XBXXZ	itemid_XBXXZ	itemnum_XBXXZ	text_XBXXZ	condition_XBXXZ	Level_XBXXZ	BodyLevel_XBXXZ	Damage_XBXXZ	Defence_XBXXZ	LianDan_XBXXZ	LianQi_XBXXZ	Doom_XBXXZ	Speed_XBXXZ	dodge_XBXXZ	GoldSpirit_XBXXZ	WoodSpirit_XBXXZ	WaterdSpirit_XBXXZ	FiredSpirit_XBXXZ	MudSpirit_XBXXZ	dragon_XBXXZ
1	0	1	10			【{0}】{1}一路向西，路过一间宝刹，听寺中大师论佛，头昏脑涨，道心荡漾！	0															
1	0	2	10	286	10	【{0}】{1}一路向西，路过一间宝刹，听寺中大师论佛，略有所感！[得到10卷悟道心得]	0															
1	0	3	10	283	5	【{0}】{1}一路向西，发现妖僧作恶，忍不住出手教训，增加5点功德！[攻击大于5万]	0			50000												
1	0	4	10	283	8	【{0}】{1}一路向西，发现妖僧作恶，忍不住出手教训，增加8点功德！[攻击大于8万]	0			80000												
1	0	5	10	283	10	【{0}】{1}一路向西，发现妖僧作恶，忍不住出手教训，增加10点功德！[攻击大于10万]	0			100000												
1	0	6	10	286	100	【{0}】{1}一路向西，路过一间宝刹，听寺中大师论佛，大有收获！[得到100卷悟道心得]	0															
1	0	7	10	283	15	【{0}】{1}一路向西，发现一名高僧遗骸，突发善心，将其安葬，得到15点功德！[龙气100]	0															100
1	0	8	10			【{0}】{1}一路向西，一路上游山玩水，心情美哉！	0															
1	0	9	10			【{0}】{1}一路向西，一路上领略佛国风光，心情舒畅！	0															
1	0	10	10			【{0}】{1}一路向西，偶见佛光四射，因修为未达地仙，无法探索！	1	121														
1	0	11	10			【{0}】{1}一路向西，偶见佛光四射，因修为未达天仙，无法探索！	1	131														
1	0	12	10			【{0}】{1}一路向西，发现妖僧作恶，忍不住出手教训，却不幸被打成重伤，迅速逃离！[攻击小于8万]	1			80000												
1	0	13	10			【{0}】{1}一路向西，发现妖僧作恶，忍不住出手教训，却不幸被打成重伤，迅速逃离！[攻击小于10万]	1			100000												
1	0	14	10			【{0}】{1}一路向西，发现一名高僧遗骸，突发善心，将其安葬，幸运不足，无法获取！[龙气小于100]	1															100
1	0	15	10			【{0}】{1}一路向西，偶见妖僧逃窜，忍不住出手教训，却被妖僧逃之夭夭！[速度小于50000]	1								50000							
1	0	16	10			【{0}】{1}一路向西，偶见雷光四射，冒死探查，却被雷电劈得七零八落！[雷抗小于10000]	1							10000								
1	0	17	10	41	2	【{0}】{1}一路向西，偶见雷光四射，冒死探查，捡到2枚极品灵石！[雷抗大于10000]	0							10000								
1	0	18	10			【{0}】{1}一路向西，偶见雷光四射，冒死探查，却被雷电劈得七零八落！[雷抗小于50000]	1							50000								
1	0	19	10	41	5	【{0}】{1}一路向西，偶见雷光四射，冒死探查，捡到5枚极品灵石！[雷抗大于50000]	0							50000								
