ID_XBXXZ	TextureID_XBXXZ	Explain_XBXXZ	PX_XBXXZ	PY_XBXXZ	Width_XBXXZ	Height_XBXXZ	FrameCount_XBXXZ	FPL_XBXXZ
100	1	筑基丹	0	0	128	128		
101	1	金元丹	129	0	128	128		
102	1	元婴丹	257	0	128	128		
103	1	出窍丹	385	0	128	128		
104	1	分神丹	513	0	128	128		
105	1	合体丹	641	0	128	128		
106	1	洞虚丹	769	0	128	128		
107	1	大乘丹	897	0	128	128		
108	1	洞真丹	0	128	128	128		
109	1	一品仙丹	129	128	128	128		
110	1	二品仙丹	257	128	128	128		
111	1	三品仙丹	385	128	128	128		
112	1	四品仙丹	513	128	128	128		
113	1	五品仙丹	641	128	128	128		
114	1	六品仙丹	769	128	128	128		
115	1	洗髓丹	897	128	128	128		
116	1	灵魄丹	0	256	128	128		
117	1	还阳丹	129	256	128	128		
118	1	浑天丹	257	256	128	128		
119	1	金还丹	385	256	128	128		
120	1	木还丹	513	256	128	128		
121	1	水还丹	641	256	128	128		
122	1	火还丹	769	256	128	128		
123	1	土还丹	897	256	128	128		
124	1	一转金丹	0	384	128	128		
125	1	二转金丹	129	384	128	128		
126	1	三转金丹	257	384	128	128		
127	1	四转金丹	385	384	128	128		
128	1	五转金丹	513	384	128	128		
129	1	六转金丹	641	384	128	128		
130	1	七转金丹	769	384	128	128		
131	1	八转金丹	897	384	128	128		
132	1	九转金丹	0	512	128	128		
133	1	灵石	129	512	128	128		
134	1	中品灵石	257	512	128	128		
135	1	上品灵石	385	512	128	128		
136	1	极品灵石	513	512	128	128		
137	1	完美灵石	641	512	128	128		
138	1	1品破阵符	769	512	128	128		
139	1	2品破阵符	897	512	128	128		
140	1	3品破阵符	0	640	128	128		
141	1	4品破阵符	129	640	128	128		
142	1	5品破阵符	257	640	128	128		
143	1	6品破阵符	385	640	128	128		
144	1	7品破阵符	513	640	128	128		
145	1	灵液	641	640	128	128		
146	1	悟道茶	769	640	128	128		
