ID_XBXXZ	Name_XBXXZ	Level_XBXXZ	Type_XBXXZ	MaxNum_XBXXZ	Quality_XBXXZ	AutoSell_XBXXZ	Use_XBXXZ	BuyPrice_XBXXZ	GoldPrice_XBXXZ	GongDe_XBXXZ	Recovery_XBXXZ	Desc_XBXXZ	Legend_XBXXZ	Icon_XBXXZ	MinAttack_XBXXZ	MaxAttack_XBXXZ	MinDefence_XBXXZ	MaxDefence_XBXXZ	MinWAttack_XBXXZ	MaxWAttack_XBXXZ	MinMAttack_XBXXZ	MaxMAttack_XBXXZ	MinGAttack_XBXXZ	MaxGAttack_XBXXZ	MinPAttack_XBXXZ	MaxPAttack_XBXXZ	MinDodge_XBXXZ	MaxDodge_XBXXZ	MinBang_XBXXZ	MaxBang_XBXXZ	MinASpeed_XBXXZ	MaxASpeed_XBXXZ	MinMSpeed_XBXXZ	MaxMSpeed_XBXXZ	MinAntiMine_XBXXZ	MaxAntiMine_XBXXZ	Body_XBXXZ	Soul_XBXXZ	UseLimit_XBXXZ
1	筑基丹	1	1	99	3		1	10			2	增加筑基期渡劫成功率5%，天劫时使用。		100																									
2	金元丹	1	1	99	3		1	50			5	增加金丹期渡劫成功率5%，天劫时使用。		101																									
3	元婴丹	1	1	99	3		1	100			10	增加元婴期渡劫成功率5%，天劫时使用。		102																									
4	出窍丹	1	1	99	4		1	200			15	增加出窍期渡劫成功率5%，天劫时使用。		103																									
5	分神丹	1	1	99	4		1		3	30	20	增加分神期渡劫成功率5%，天劫时使用。		104																									
6	合体丹	1	1	99	4		1		4	40	25	增加合体期渡劫成功率5%，天劫时使用。		105																									
7	洞虚丹	1	1	99	5		1		5	50	30	增加洞虚期渡劫成功率5%，天劫时使用。		106																									
8	大乘丹	1	1	99	5		1		6	60	35	增加大乘期渡劫成功率5%，天劫时使用。		107																									
9	洞真丹	1	1	99	5		1		7	70	40	增加洞真期渡劫成功率5%，天劫时使用。		108																									
10	一品仙丹	1	1	99	6		1		8	80	45	增加散仙期渡劫成功率5%，天劫时使用。		109																									
11	二品仙丹	1	1	99	6		1		9	90	50	增加游仙期渡劫成功率5%，天劫时使用。		110																									
12	三品仙丹	1	1	99	6		1		10	100	55	增加地仙期渡劫成功率5%，天劫时使用。		111																									
13	四品仙丹	1	1	99	7		1		11	110	60	增加天仙期渡劫成功率5%，天劫时使用。		112																									
14	五品仙丹	1	1	99	7		1		12	120	65	增加金仙期渡劫成功率5%，天劫时使用。		113																									
15	六品仙丹	1	1	99	7		1		13	130	80	增加大罗金仙渡劫成功率5%，天劫时使用。		114																									
19	一品洗髓丹	1	19	99	1		1		3		1	永久增加10点攻击，此枚丹药服用超过50颗会产生丹毒。		115	10	10																							50
20	一品浑天丹	1	19	99	1		1		3		1	永久增加10点防御，此枚丹药服用超过50颗会产生丹毒。		116			10	10																					50
21	一品体魄丹	1	19	99	1		1		3		1	永久增加100点生命，此枚丹药服用超过50颗会产生丹毒。		117																							100		50
22	一品灵动丹	1	19	99	1		1		3		1	永久增加10点闪避，此枚丹药服用超过50颗会产生丹毒。		118													10	10											50
23	一品血煞丹	1	19	99	1		1		3		1	永久增加10点暴击，此枚丹药服用超过50颗会产生丹毒。		119															10	10									50
24	一品雷元丹	1	19	99	1		1		3		1	永久增加10点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					10	10			50
25	一品风行丹	1	19	99	1		1		3		1	永久增加10点速度，此枚丹药服用超过50颗会产生丹毒。		121																	10	10							50
26	一品天罡丹	1	19	99	1		1		3		1	永久增加10点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									10	10															50
27	一品镇妖丹	1	19	99	1		1		3		1	永久增加10点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					10	10																			50
28	一转金丹	1	2	99	1		1	1			1	增加100点修为		124	100																								
29	二转金丹	1	2	99	2		1	10			1	增加1000点修为		125	1000																								
30	三转金丹	1	2	99	3		1	100			1	增加10000点修为		126	10000																								
31	四转金丹	1	2	99	4		1				1	增加100000点修为		127	100000																								
32	五转金丹	1	2	99	5		1				1	增加1000000点修为		128	1000000																								
33	六转金丹	1	2	99	6		1		2	20	1	增加10000000点修为		129	10000000																								
34	七转金丹	1	2	99	7		1		20	200	1	增加100000000点修为		130	100000000																								
35	八转金丹	1	2	99	8		1					增加1000000000点修为		131																									
36	九转金丹	1	2	99	9		1					增加1000000000点修为		132																									
38	灵石	1	3	9999	1		1				1	使用后增加1点灵石		133	1																								
39	中品灵石	1	3	99	2		1				10	使用后增加10点灵石		134	10																								
40	[补偿]上品灵石	1	14	99	4		1				1	使用后增加1点上品灵石		135	1																								
41	极品灵石	1	3	99	6		1				1000	使用后增加1000点灵石		136	1000																								
42	完美灵石	1	3	99	8		1				10000	使用后增加10000点灵石		137	10000																								
44	1品破阵符	1	4	99	1		1					使用后减少破阵时间5分钟		138	5																								
45	2品破阵符	1	4	99	2		1					使用后减少破阵时间20分钟		139	20																								
46	3品破阵符	1	4	99	3		1					使用后减少破阵时间60分钟		140	60																								
47	4品破阵符	1	4	99	4		1					使用后减少破阵时间2小时		141	120																								
48	5品破阵符	1	4	99	5		1					使用后减少破阵时间8小时		142	480																								
49	6品破阵符	1	4	99	6		1					使用后减少破阵时间16小时		143	960																								
50	7品破阵符	1	4	99	7		1					使用后减少破阵时间32小时		144	1920																								
51	8品破阵符	1	4	99	8		1					使用后减少破阵时间64小时		145	3840																								
52	9品破阵符	1	4	99	9		1					使用后减少破阵时间128小时		146	7680																								
54	1品乾坤玉	1	5	99999	1		1	1				使用后增加1点声望		147	1																								
55	2品乾坤玉	1	5	99999	2		1	10				使用后增加10点声望		148	10																								
56	3品乾坤玉	1	5	99999	3		1	100				使用后增加100点声望		149	100																								
57	4品乾坤玉	1	5	99999	4		1		10	100		使用后增加1000点声望		150	1000																								
58	5品乾坤玉	1	5	99999	5		1		100	1000		使用后增加10000点声望		151	10000																								
59	食物	1	6	9999	1		1					使用后增加1点食物		169	1																								
60	木材	1	7	9999	1		1					使用后增加1点木材		170	1																								
61	灵草	1	8	9999	1		1					使用后增加1点灵草		171	1																								
62	玄铁	1	9	9999	1		1					使用后增加1点玄铁		172	1																								
63	食物堆	1	6	99	1		1		1	10		使用后增加1000点食物		169	1000																								
64	木材堆	1	7	99	1		1		2	20		使用后增加1000点木材		170	1000																								
65	灵草堆	1	8	99	1		1		4	40		使用后增加1000点灵草		171	1000																								
66	玄铁堆	1	9	99	1		1		4	40		使用后增加1000点玄铁		172	1000																								
67	灵石袋	1	3	99	1		1		1	10		使用后增加100点灵石		174	100																								
68	空冥石	1	28	999	1		1				1	一种重要的炼器材料，除了炼制装备以外，还是炼制储物法宝的重要材料。		175																									
69	金岭砂	1	28	999	1		1				1	一种炼器材料。		176																									
70	陨母	1	28	999	1		1				1	一种炼器材料。		177																									
71	清灵草	1	15	999	1		1				1	一种炼丹材料。		178																									
72	千年人参	1	15	999	1		1				1	一种炼丹材料，世俗界极其罕见，修真界却很平常。		220																									
73	千年何首乌	1	15	999	3		1				1	一种炼丹材料，世俗界极其罕见，修真界却很平常。		221																									
74	血精草	1	15	999	4		1				1	一种炼丹材料，盛产于幽冥之地。		222																									
75	太玄果	1	15	999	5		1				1	一种炼丹材料，盛产于大雪山。		223																									
76	天魂菊	1	15	999	6		1				1	一种炼丹材料。		224																									
77	伴妖草	1	15	999	7		1				1	一种炼丹材料，妖气冲天之地，此草方可存活。		225																									
78	鬼滕花	1	15	999	8		1				1	一种炼丹材料，极难自行培育。		226																									
79	千年虫草	1	15	999	2		1				1	一种炼丹材料，世俗界极其罕见，修真界却很平常。		227																									
80	三品炼丹炉	1	16	1	3		1	8000			1	由帮派内其他炼器师炼制而成的初级炼丹炉，成丹概率较低。由于不是自己炼制，无法成为本命法宝。使用后丹炉出现在自身炼丹房里。		294																									
81	大灵石袋	1	3	99	1		1		10	100		使用后增加1000点灵石		174	1000																								
82	一品炼丹炉	1	16	1	1		1	1000			1	一品炼丹炉，成丹速度快，但是炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		292																									
83	二品炼丹炉	1	16	1	2		1	5000			1	二品炼丹炉，成丹速度快，但是炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		293																									
84	四品炼丹炉	1	16	1	4		1	10000			1	四品炼丹炉，炼制2年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		295																									
85	五品炼丹炉	1	16	1	5		1		50	500	1	五品炼丹炉，炼制4年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		296																									
86	六品炼丹炉	1	16	1	6		1		80	800	1	六品炼丹炉，炼制8年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		297																									
87	七品炼丹炉	1	16	1	7		1		150	1500	1	七品炼丹炉，炼制16年可成丹，炼制高品阶丹药容易失败。使用后丹炉出现在自身炼丹房里。		298																									
