level_XBXXZ	name_XBXXZ	nextexp_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ	attack_XBXXZ	defence_XBXXZ	maxhp_XBXXZ	pkscore_XBXXZ	doomlevel_XBXXZ	gold_XBXXZ	bodylevel_XBXXZ
1	练气1阶	9 	1	5	6	0	120	10	0	20	0
2	练气2阶	60 	2	7	7	0	130	20	0	20	0
3	练气3阶	144 	3	9	8	0	140	30	0	20	0
4	练气4阶	288 	4	11	9	0	150	40	0	20	0
5	练气5阶	432 	5	13	10	0	160	50	0	20	0
6	练气6阶	660 	6	15	11	0	170	60	0	20	0
7	练气7阶	864 	7	17	12	0	180	70	0	20	0
8	练气8阶	1176 	8	19	13	0	190	80	0	20	0
9	练气9阶	1440 	9	21	14	0	200	90	0	20	0
10	练气10阶	2040 	10	23	15	0	210	110	1	20	0
11	筑基1阶	3510 	12	27	17	0	230	130	2	24	0
12	筑基2阶	5400 	14	31	19	0	250	150	3	26	0
13	筑基3阶	7650 	16	35	21	0	270	170	4	28	0
14	筑基4阶	10260 	18	39	23	0	290	190	5	30	0
15	筑基5阶	13230 	20	43	25	0	310	210	6	32	0
16	筑基6阶	16560 	22	47	27	0	330	230	7	34	0
17	筑基7阶	20250 	24	51	29	0	350	250	8	36	0
18	筑基8阶	24300 	26	55	31	0	370	270	9	38	0
19	筑基9阶	31320 	28	59	33	0	390	290	10	40	0
20	筑基10阶	41850 	30	63	35	0	410	320	11	42	0
21	金丹1阶	70200 	50	80	37	0	440	350	12	44	0
22	金丹2阶	113400 	60	120	39	0	470	380	13	46	0
23	金丹3阶	165600 	70	160	41	0	500	410	14	48	0
24	金丹4阶	226800 	80	200	43	0	530	440	15	50	0
25	金丹5阶	297000 	90	240	45	0	560	470	16	52	0
26	金丹6阶	376200 	100	280	47	0	590	500	17	54	0
27	金丹7阶	464400 	110	320	49	0	620	530	18	56	0
28	金丹8阶	561600 	120	360	51	0	650	560	19	58	0
29	金丹9阶	810900 	130	400	53	0	680	590	20	60	0
30	金丹10阶	1096200 	140	440	55	0	710	630	21	62	0
31	元婴1阶	1530000 	160	520	57	0	750	670	22	64	0
32	元婴2阶	2035800 	180	600	59	0	790	710	23	66	0
33	元婴3阶	2613600 	200	680	61	0	830	750	24	68	0
34	元婴4阶	3263400 	220	760	63	0	870	790	25	70	0
35	元婴5阶	3985200 	240	840	65	0	910	830	26	72	0
36	元婴6阶	4779000 	260	920	67	0	950	870	27	74	0
37	元婴7阶	5644800 	280	1000	69	0	990	910	28	76	0
38	元婴8阶	6582600 	300	1080	71	0	1030	950	29	78	0
39	元婴9阶	8125200 	320	1160	73	0	1070	990	30	80	0
40	元婴10阶	9811800 	340	1240	75	0	1110	1040	31	82	0
41	出窍1阶	12404700 	390	1400	77	0	1160	1090	32	84	0
42	出窍2阶	15300000 	440	1560	79	0	1210	1140	33	86	0
43	出窍3阶	18497700 	490	1720	81	0	1260	1190	34	88	0
44	出窍4阶	21997800 	540	1880	83	0	1310	1240	35	90	0
45	出窍5阶	25800300 	590	2040	85	0	1360	1290	36	92	0
46	出窍6阶	29905200 	640	2200	87	0	1410	1340	37	94	0
47	出窍7阶	34312500 	690	2360	89	0	1460	1390	38	96	0
48	出窍8阶	39022200 	740	2520	91	0	1510	1440	39	98	0
49	出窍9阶	46532700 	790	2680	93	0	1560	1490	40	100	0
50	出窍10阶	54648000 	840	2840	95	0	1610	1550	41	102	0
51	分神1阶	66789000 	940	3160	97	0	1670	1610	42	104	0
52	分神2阶	80139600 	1040	3480	99	0	1730	1670	43	106	0
53	分神3阶	94699800 	1140	3800	101	0	1790	1730	44	108	0
54	分神4阶	110469600 	1240	4120	103	0	1850	1790	45	110	0
55	分神5阶	127449000 	1340	4440	105	0	1910	1850	46	112	0
56	分神6阶	145638000 	1440	4760	107	0	1970	1910	47	114	0
57	分神7阶	165036600 	1540	5080	109	0	2030	1970	48	116	0
58	分神8阶	185644800 	1640	5400	111	0	2090	2030	49	118	0
59	分神9阶	218205000 	1740	5720	113	0	2150	2090	50	120	0
60	分神10阶	253184400 	1840	6040	115	0	2210	2160	51	122	0
61	合体1阶	288132300 	1990	6240	117	0	2280	2230	52	124	0
62	合体2阶	325096200 	2140	6440	119	0	2350	2300	53	126	0
63	合体3阶	364076100 	2290	6640	121	0	2420	2370	54	128	0
64	合体4阶	405072000 	2440	6840	123	0	2490	2440	55	130	0
65	合体5阶	448083900 	2590	7040	125	0	2560	2510	56	132	0
66	合体6阶	493111800 	2740	7240	127	0	2630	2580	57	134	0
67	合体7阶	540155700 	2890	7440	129	0	2700	2650	58	136	0
68	合体8阶	589215600 	3040	7640	131	0	2770	2720	59	138	0
69	合体9阶	640291500 	3190	7840	133	0	2840	2790	60	140	0
70	合体10阶	693383400 	3340	8040	135	0	2910	2870	61	142	0
71	洞虚1阶	748491300 	3490	8240	137	0	2990	2950	62	144	0
72	洞虚2阶	805615200 	3640	8440	139	0	3070	3030	63	146	0
73	洞虚3阶	864755100 	3790	8640	141	0	3150	3110	64	148	0
74	洞虚4阶	925911000 	3940	8840	143	0	3230	3190	65	150	0
75	洞虚5阶	989082900 	4090	9040	145	0	3310	3270	66	152	0
76	洞虚6阶	1054270800 	4240	9240	147	0	3390	3350	67	154	0
77	洞虚7阶	1121474700 	4390	9440	149	0	3470	3430	68	156	0
78	洞虚8阶	1190694600 	4540	9640	151	0	3550	3510	69	158	0
79	洞虚9阶	1261930500 	4690	9840	153	0	3630	3590	70	160	0
80	洞虚10阶	1335182400 	4840	10040	155	0	3710	3680	71	162	0
81	大乘1阶	1410450300 	4990	10240	157	0	3800	3770	72	164	0
82	大乘2阶	1487734200 	5140	10440	159	0	3890	3860	73	166	0
83	大乘3阶	1567034100 	5290	10640	161	0	3980	3950	74	168	0
84	大乘4阶	1648350000 	5440	10840	163	0	4070	4040	75	170	0
85	大乘5阶	1731681900 	5590	11040	165	0	4160	4130	76	172	0
86	大乘6阶	1817029800 	5740	11240	167	0	4250	4220	77	174	0
87	大乘7阶	1904393700 	5890	11440	169	0	4340	4310	78	176	0
88	大乘8阶	1993773600 	6040	11640	171	0	4430	4400	79	178	0
89	大乘9阶	2085169500 	6190	11840	173	0	4520	4490	80	180	0
90	大乘10阶	2178581400 	6340	12040	175	0	4610	4590	81	182	0
91	洞真1阶	2274009300 	6490	12240	177	0	4710	4690	82	184	0
92	洞真2阶	2371453200 	6640	12440	179	0	4810	4790	83	186	0
93	洞真3阶	2470913100 	6790	12640	181	0	4910	4890	84	188	0
94	洞真4阶	2572389000 	6940	12840	183	0	5010	4990	85	190	0
95	洞真5阶	2675880900 	7090	13040	185	0	5110	5090	86	192	0
96	洞真6阶	2781388800 	7240	13240	187	0	5210	5190	87	194	0
97	洞真7阶	2888912700 	7390	13440	189	0	5310	5290	88	196	0
98	洞真8阶	2998452600 	7540	13640	191	0	5410	5390	89	198	0
99	洞真9阶	3110008500 	7690	13840	193	0	5510	5490	90	200	0
100	洞真10阶	3223580400 	7840	14040	195	0	5610	5590	91	202	51
101	散仙1阶	3339168300 	7990	14240	197	0	5720	5690	92	204	51
102	散仙2阶	3456772200 	8140	14440	199	0	5830	5790	93	206	51
103	散仙3阶	3576392100 	8290	14640	201	0	5940	5890	94	208	51
104	散仙4阶	3698028000 	8440	14840	203	0	6050	5990	95	210	51
105	散仙5阶	3821679900 	8590	15040	205	0	6160	6090	96	212	51
106	散仙6阶	3947347800 	8740	15240	207	0	6270	6190	97	214	51
107	散仙7阶	4075031700 	8890	15440	209	0	6380	6290	98	216	51
108	散仙8阶	4204731600 	9040	15640	211	0	6490	6390	99	218	51
109	散仙9阶	4336447500 	9190	15840	213	0	6600	6490	100	220	51
110	散仙10阶	4470179400 	9340	16040	215	0	6710	6590	101	222	51
111	游仙1阶	4605927300 	9490	16240	217	0	6830	6690	102	224	51
112	游仙2阶	4743691200 	9640	16440	219	0	6950	6790	103	226	51
113	游仙3阶	4883471100 	9790	16640	221	0	7070	6890	104	228	51
114	游仙4阶	5025267000 	9940	16840	223	0	7190	6990	105	230	51
115	游仙5阶	5169078900 	10090	17040	225	0	7310	7090	106	232	51
116	游仙6阶	5314906800 	10240	17240	227	0	7430	7190	107	234	51
117	游仙7阶	5462750700 	10390	17440	229	0	7550	7290	108	236	51
118	游仙8阶	5612610600 	10540	17640	231	0	7670	7390	109	238	51
119	游仙9阶	5764486500 	10690	17840	233	0	7790	7490	110	240	51
120	游仙10阶	5918378400 	10840	18040	235	0	7910	7590	111	242	51
121	地仙1阶	6074286300 	10990	18240	237	0	8040	7690	112	244	71
122	地仙2阶	6232210200 	11140	18440	239	0	8170	7790	113	246	71
123	地仙3阶	6392150100 	11290	18640	241	0	8300	7890	114	248	71
124	地仙4阶	6554106000 	11440	18840	243	0	8430	7990	115	250	71
125	地仙5阶	6718077900 	11590	19040	245	0	8560	8090	116	252	71
126	地仙6阶	6884065800 	11740	19240	247	0	8690	8190	117	254	71
127	地仙7阶	7052069700 	11890	19440	249	0	8820	8290	118	256	71
128	地仙8阶	7222089600 	12040	19640	251	0	8950	8390	119	258	71
129	地仙9阶	7394125500 	12190	19840	253	0	9080	8490	120	260	71
130	地仙10阶	7568177400 	12340	20040	255	0	9210	8590	121	262	71
131	天仙1阶	7744245300 	12490	20240	257	0	9350	8690	122	264	81
132	天仙2阶	7922329200 	12640	20440	259	0	9490	8790	123	266	81
133	天仙3阶	8102429100 	12790	20640	261	0	9630	8890	124	268	81
134	天仙4阶	8284545000 	12940	20840	263	0	9770	8990	125	270	81
135	天仙5阶	8468676900 	13090	21040	265	0	9910	9090	126	272	81
136	天仙6阶	8654824800 	13240	21240	267	0	10050	9190	127	274	81
137	天仙7阶	8842988700 	13390	21440	269	0	10190	9290	128	276	81
138	天仙8阶	9033168600 	13540	21640	271	0	10330	9390	129	278	81
139	天仙9阶	9225364500 	13690	21840	273	0	10470	9490	130	280	81
140	天仙10阶	9419576400 	13840	22040	275	0	10610	9590	131	282	81
141	金仙1阶	9615804300 	13990	22240	277	0	10760	9690	132	284	81
142	金仙2阶	9814048200 	14140	22440	279	0	10910	9790	133	286	81
143	金仙3阶	10014308100 	14290	22640	281	0	11060	9890	134	288	81
144	金仙4阶	10216584000 	14440	22840	283	0	11210	9990	135	290	81
145	金仙5阶	10420875900 	14590	23040	285	0	11360	10090	136	292	81
146	金仙6阶	10627183800 	14740	23240	287	0	11510	10190	137	294	81
147	金仙7阶	10835507700 	14890	23440	289	0	11660	10290	138	296	81
148	金仙8阶	11045847600 	15040	23640	291	0	11810	10390	139	298	81
149	金仙9阶	11258203500 	15190	23840	293	0	11960	10490	140	300	81
150	金仙10阶	11472575400 	15340	24040	295	0	12110	10590	141	302	81
151	大罗金仙1阶	11688963300 	15490	24240	297	0	12270	10690	142	320	101
152	大罗金仙2阶	11907367200 	15640	24440	299	0	12430	10790	143	320	101
153	大罗金仙3阶	12127787100 	15790	24640	301	0	12590	10890	144	320	101
154	大罗金仙4阶	12350223000 	15940	24840	303	0	12750	10990	145	320	101
155	大罗金仙5阶	12574674900 	16090	25040	305	0	12910	11090	146	320	101
156	大罗金仙6阶	12801142800 	16240	25240	307	0	13070	11190	147	320	101
157	大罗金仙7阶	13029626700 	16390	25440	309	0	13230	11290	148	320	101
158	大罗金仙8阶	13260126600 	16540	25640	311	0	13390	11390	149	320	101
