level_XBXXZ	name_XBXXZ	next_XBXXZ	desc_XBXXZ	maxquality_XBXXZ	effect_XBXXZ
1	废弃灵根	144	毫无天赋，最高可领悟到1品功法	1	0
2	凡品一阶	295	最高可领悟到2品功法	2	5
3	凡品二阶	454	最高可领悟到2品功法	2	10
4	凡品三阶	619	最高可领悟到2品功法	2	15
5	凡品四阶	792	最高可领悟到2品功法	2	20
6	凡品五阶	972	最高可领悟到2品功法	2	25
7	凡品六阶	1159	最高可领悟到2品功法	2	30
8	凡品七阶	1354	最高可领悟到2品功法	2	35
9	凡品八阶	1555	最高可领悟到2品功法	2	40
10	凡品九阶	1764	最高可领悟到2品功法	2	45
11	凡品十阶	1980	最高可领悟到2品功法	2	50
12	下品一阶	2203	最高可领悟到3品功法	3	55
13	下品二阶	2434	最高可领悟到3品功法	3	60
14	下品三阶	2671	最高可领悟到3品功法	3	65
15	下品四阶	2916	最高可领悟到3品功法	3	70
16	下品五阶	3168	最高可领悟到3品功法	3	75
17	下品六阶	3427	最高可领悟到3品功法	3	80
18	下品七阶	3694	最高可领悟到3品功法	3	85
19	下品八阶	3967	最高可领悟到3品功法	3	90
20	下品九阶	4248	最高可领悟到3品功法	3	95
21	下品十阶	4536	最高可领悟到3品功法	3	100
22	中品一阶	4831	最高可领悟到4品功法	4	105
23	中品二阶	5134	最高可领悟到4品功法	4	110
24	中品三阶	5443	最高可领悟到4品功法	4	115
25	中品四阶	5760	最高可领悟到4品功法	4	120
26	中品五阶	6084	最高可领悟到4品功法	4	125
27	中品六阶	6415	最高可领悟到4品功法	4	130
28	中品七阶	6754	最高可领悟到4品功法	4	135
29	中品八阶	7099	最高可领悟到4品功法	4	140
30	中品九阶	7452	最高可领悟到4品功法	4	145
31	中品十阶	7812	最高可领悟到4品功法	4	150
32	良品一阶	8179	最高可领悟到5品功法	5	155
33	良品二阶	8554	最高可领悟到5品功法	5	160
34	良品三阶	8935	最高可领悟到5品功法	5	165
35	良品四阶	9324	最高可领悟到5品功法	5	170
36	良品五阶	9720	最高可领悟到5品功法	5	175
37	良品六阶	10123	最高可领悟到5品功法	5	180
38	良品七阶	10534	最高可领悟到5品功法	5	185
39	良品八阶	10951	最高可领悟到5品功法	5	190
40	良品九阶	11376	最高可领悟到5品功法	5	195
41	良品十阶	11808	最高可领悟到5品功法	5	200
42	上品一阶	12247	最高可领悟到6品功法	6	205
43	上品二阶	12694	最高可领悟到6品功法	6	210
44	上品三阶	13147	最高可领悟到6品功法	6	215
45	上品四阶	13608	最高可领悟到6品功法	6	220
46	上品五阶	14076	最高可领悟到6品功法	6	225
47	上品六阶	14551	最高可领悟到6品功法	6	230
48	上品七阶	15034	最高可领悟到6品功法	6	235
49	上品八阶	15523	最高可领悟到6品功法	6	240
50	上品九阶	16020	最高可领悟到6品功法	6	245
51	上品十阶	16524	最高可领悟到6品功法	6	250
52	超品一阶	17035	最高可领悟到7品功法	7	255
53	超品二阶	17554	最高可领悟到7品功法	7	260
54	超品三阶	18079	最高可领悟到7品功法	7	265
55	超品四阶	18612	最高可领悟到7品功法	7	270
56	超品五阶	19152	最高可领悟到7品功法	7	275
57	超品六阶	19699	最高可领悟到7品功法	7	280
58	超品七阶	20254	最高可领悟到7品功法	7	285
