ID_XBXXZ	Name_XBXXZ	FiveElements_XBXXZ	Level_XBXXZ	Type_XBXXZ	Effect_XBXXZ	LevelLimit_XBXXZ	UpType_XBXXZ	InitValue_XBXXZ	UpdataValue_XBXXZ	Cost2_XBXXZ	Cost3_XBXXZ	Cost4_XBXXZ	Cost5_XBXXZ	Cost6_XBXXZ	Cost7_XBXXZ	Cost8_XBXXZ	Cost9_XBXXZ	Cost10_XBXXZ
1	残阳诀	1	1	正派	修炼时每次增加修为	10	1	1	1	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
2	紫霞功	2	4	正派	修炼时每次增加修为	10	1	10	10	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
3	青云诀	3	5	正派	修炼时每次增加修为	10	1	100	100	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
4	残阳心法	4	1	正派	聚灵阵每次增加灵气	10	2	1	1	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
5	紫霞心法	5	4	正派	聚灵阵每次增加灵气	10	2	10	10	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
6	青云心法	2	5	正派	聚灵阵每次增加灵气	10	2	100	100	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
124	极上心法	3	1	正派	增加自身防御	10	5	5	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
125	虚空心法	1	1	中立	增加自身防御	10	5	6	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
126	湖心心法	1	1	邪派	增加自身防御	10	5	7	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
127	烈山心法	1	1	邪派	增加自身防御	10	5	8	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
128	苍羽心法	1	1	中立	增加自身防御	10	5	5	6	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
129	逍遥心法	2	1	中立	增加自身防御	10	5	6	6	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
130	青霞心法	3	1	正派	增加自身防御	10	5	7	7	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
131	黄泉心法	4	1	邪派	增加自身防御	10	5	8	7	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
132	天心心法	5	1	中立	增加自身防御	10	5	6	8	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
133	茅山心法	1	1	正派	增加自身防御	10	5	7	8	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
134	龙虎心法	2	1	正派	增加自身防御	10	5	8	9	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
135	斗狂心法	3	1	邪派	增加自身防御	10	5	9	9	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
136	巨灵心法	4	2	中立	增加自身防御	10	5	15	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
137	聚魔心法	5	2	邪派	增加自身防御	10	5	16	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
138	衔月心法	1	2	中立	增加自身防御	10	5	17	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
139	魁星心法	2	2	正派	增加自身防御	10	5	18	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
140	照阳心法	3	2	正派	增加自身防御	10	5	15	16	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
141	南紫心法	4	2	中立	增加自身防御	10	5	16	16	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
142	天海心法	5	2	正派	增加自身防御	10	5	17	17	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
143	神农心法	1	2	中立	增加自身防御	10	5	18	17	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
144	血煞心法	2	2	邪派	增加自身防御	10	5	16	18	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
145	仙侣心法	3	2	中立	增加自身防御	10	5	17	18	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
146	天华心法	4	3	正派	增加自身防御	10	5	20	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
147	九黎心法	5	3	中立	增加自身防御	10	5	21	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
148	月音心法	1	3	邪派	增加自身防御	10	5	22	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
149	归一心法	2	3	正派	增加自身防御	10	5	23	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
150	五行心法	3	3	正派	增加自身防御	10	5	20	21	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
151	潜龙心法	4	3	中立	增加自身防御	10	5	21	21	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
152	神意心法	5	3	正派	增加自身防御	10	5	22	22	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
153	寒毒心法	1	3	邪派	增加自身防御	10	5	23	22	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
154	青羽心法	2	3	正派	增加自身防御	10	5	21	23	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
155	古月心法	3	3	正派	增加自身防御	10	5	22	23	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
156	斩棘心法	4	3	邪派	增加自身防御	10	5	23	24	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
157	菩提心法	5	3	正派	增加自身防御	10	5	24	24	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
158	风清心法	1	3	正派	增加自身防御	10	5	30	30	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
159	无极心法	2	3	正派	增加自身防御	10	5	31	30	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
160	天音心法	3	4	中立	增加自身防御	10	5	37	35	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
161	灵山心法	4	4	中立	增加自身防御	10	5	38	35	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
162	法华心法	5	4	正派	增加自身防御	10	5	35	36	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
163	金顶心法	1	4	中立	增加自身防御	10	5	36	36	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
164	独尊心法	2	4	邪派	增加自身防御	10	5	37	37	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
165	九煞心法	3	4	邪派	增加自身防御	10	5	38	37	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
166	伏龙心法	4	4	正派	增加自身防御	10	5	36	38	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
167	玄音心法	5	4	中立	增加自身防御	10	5	37	38	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
168	落日心法	1	4	邪派	增加自身防御	10	5	40	40	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
169	生死心法	2	4	邪派	增加自身防御	10	5	41	40	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
170	隐神心法	3	4	中立	增加自身防御	10	5	42	40	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
171	合欢心法	4	5	邪派	增加自身防御	10	5	48	45	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
172	碧云心法	5	5	中立	增加自身防御	10	5	45	46	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
173	焚香心法	1	5	邪派	增加自身防御	10	5	46	46	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
174	灵寂心法	2	5	中立	增加自身防御	10	5	47	47	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
175	无心心法	3	5	中立	增加自身防御	10	5	48	47	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
176	无为心法	4	5	中立	增加自身防御	10	5	46	48	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
177	上清心法	5	5	正派	增加自身防御	10	5	47	48	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
178	天师心法	1	5	正派	增加自身防御	10	5	48	49	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
179	恶魔心法	2	6	邪派	增加自身防御	10	5	54	54	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
180	死亡心法	2	6	邪派	增加自身防御	10	5	60	60	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
181	凌云心法	2	6	正派	增加自身防御	10	5	61	60	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
182	云霄心法	2	6	正派	增加自身防御	10	5	67	65	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
183	华音心法	2	6	正派	增加自身防御	10	5	68	65	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
184	天魔心法	3	6	邪派	增加自身防御	10	5	65	66	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
185	玄灵心法	3	7	正派	增加自身防御	10	5	71	71	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
186	浩天心法	3	7	正派	增加自身防御	10	5	72	72	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
187	紫门心法	3	7	正派	增加自身防御	10	5	73	72	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
188	碧凌心法	3	7	中立	增加自身防御	10	5	71	73	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
189	魔泯心法	4	7	邪派	增加自身防御	10	5	72	73	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
190	碧宵心法	4	7	正派	增加自身防御	10	5	75	75	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
191	玉女心法	4	7	正派	增加自身防御	10	5	76	75	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
192	天道心法	4	7	正派	增加自身防御	10	5	77	75	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
193	天衍心法	4	7	正派	增加自身防御	10	5	83	80	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
194	百媚心法	5	7	邪派	增加自身防御	10	5	80	81	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
195	天鉴心法	5	8	正派	增加自身防御	10	5	86	86	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
196	青云心经	5	8	正派	增加自身防御	10	5	87	87	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
197	飘渺心法	5	8	正派	增加自身防御	10	5	88	87	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
198	宵水心法	5	8	邪派	增加自身防御	10	5	86	88	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
199	赤血心法	3	8	邪派	增加自身防御	10	5	87	88	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
200	嗜魔心法	3	8	邪派	增加自身防御	10	5	88	89	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
201	鬼王心法	3	8	邪派	增加自身防御	10	5	94	94	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
202	紫霄心法	3	8	正派	增加自身防御	10	5	100	100	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
203	无极心法	3	8	正派	增加自身防御	10	5	101	100	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
204	魔神心法	1	9	邪派	增加自身防御	10	5	112	110	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
205	万佛心法	1	9	中立	增加自身防御	10	5	113	110	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
206	五灵心法	1	9	中立	增加自身防御	10	5	110	111	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
207	玄天心法	1	9	正派	增加自身防御	10	5	116	116	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
208	神兽心法	1	9	正派	增加自身防御	10	5	117	117	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
209	天阳心法	2	9	正派	增加自身防御	10	5	118	117	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
210	玄武心法	2	9	中立	增加自身防御	10	5	116	118	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
211	蜀山心法	2	9	正派	增加自身防御	10	5	117	118	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
212	极上诀	2	1	正派	增加自身攻击	10	4	5	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
213	虚空诀	2	1	中立	增加自身攻击	10	4	6	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
214	湖心诀	3	1	邪派	增加自身攻击	10	4	7	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
215	烈山诀	3	1	邪派	增加自身攻击	10	4	8	5	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
216	苍羽诀	3	1	中立	增加自身攻击	10	4	5	6	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
217	逍遥诀	3	1	中立	增加自身攻击	10	4	6	6	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
218	青霞诀	3	1	正派	增加自身攻击	10	4	7	7	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
219	黄泉诀	3	1	邪派	增加自身攻击	10	4	8	7	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
220	天心诀	3	1	中立	增加自身攻击	10	4	6	8	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
221	茅山诀	3	1	正派	增加自身攻击	10	4	7	8	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
222	龙虎诀	3	1	正派	增加自身攻击	10	4	8	9	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
223	斗狂诀	3	1	邪派	增加自身攻击	10	4	9	9	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
224	巨灵诀	4	2	中立	增加自身攻击	10	4	15	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
225	聚魔诀	4	2	邪派	增加自身攻击	10	4	16	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
226	衔月诀	4	2	中立	增加自身攻击	10	4	17	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
227	魁星诀	4	2	正派	增加自身攻击	10	4	18	15	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
228	照阳诀	2	2	正派	增加自身攻击	10	4	15	16	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
229	南紫诀	2	2	中立	增加自身攻击	10	4	16	16	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
230	天海诀	2	2	正派	增加自身攻击	10	4	17	17	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
231	神农诀	2	2	中立	增加自身攻击	10	4	18	17	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
232	血煞诀	2	2	邪派	增加自身攻击	10	4	16	18	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
233	仙侣诀	2	2	中立	增加自身攻击	10	4	17	18	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
234	天华诀	1	3	正派	增加自身攻击	10	4	20	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
235	九黎诀	2	3	中立	增加自身攻击	10	4	21	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
236	月音诀	3	3	邪派	增加自身攻击	10	4	22	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
237	归一诀	4	3	正派	增加自身攻击	10	4	23	20	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
238	五行诀	5	3	正派	增加自身攻击	10	4	20	21	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
239	潜龙诀	1	3	中立	增加自身攻击	10	4	21	21	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
240	神意诀	2	3	正派	增加自身攻击	10	4	22	22	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
241	寒毒诀	3	3	邪派	增加自身攻击	10	4	23	22	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
242	青羽诀	4	3	正派	增加自身攻击	10	4	21	23	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
243	古月诀	5	3	正派	增加自身攻击	10	4	22	23	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
244	斩棘诀	1	3	邪派	增加自身攻击	10	4	23	24	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
245	菩提诀	2	3	正派	增加自身攻击	10	4	24	24	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
246	风清诀	3	3	正派	增加自身攻击	10	4	30	30	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
247	无极诀	4	3	正派	增加自身攻击	10	4	31	30	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
248	天音诀	5	4	中立	增加自身攻击	10	4	37	35	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
249	灵山诀	1	4	中立	增加自身攻击	10	4	38	35	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
250	法华诀	2	4	正派	增加自身攻击	10	4	35	36	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
251	金顶诀	3	4	中立	增加自身攻击	10	4	36	36	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
252	独尊诀	4	4	邪派	增加自身攻击	10	4	37	37	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
253	九煞诀	5	4	邪派	增加自身攻击	10	4	38	37	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
254	伏龙诀	1	4	正派	增加自身攻击	10	4	36	38	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
255	玄音诀	2	4	中立	增加自身攻击	10	4	37	38	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
256	落日诀	3	4	邪派	增加自身攻击	10	4	40	40	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
257	生死诀	4	4	邪派	增加自身攻击	10	4	41	40	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
258	隐神诀	5	4	中立	增加自身攻击	10	4	42	40	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
259	合欢诀	1	5	邪派	增加自身攻击	10	4	48	45	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
260	碧云诀	2	5	中立	增加自身攻击	10	4	45	46	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
261	焚香诀	3	5	邪派	增加自身攻击	10	4	46	46	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
262	灵寂诀	4	5	中立	增加自身攻击	10	4	47	47	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
263	无心诀	5	5	中立	增加自身攻击	10	4	48	47	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
264	无为诀	1	5	中立	增加自身攻击	10	4	46	48	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
265	上清诀	2	5	正派	增加自身攻击	10	4	47	48	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
266	天师诀	3	5	正派	增加自身攻击	10	4	48	49	100	5000	25000	125000	625000	2600000	7800000	16000000	33000000
