ID_XBXXZ	Name_XBXXZ	Preposition_XBXXZ	Cost_XBXXZ	MaxPos_XBXXZ	Step_XBXXZ	Type_XBXXZ
1001	地肺山	0	1	400	56	0
1002	盖竹山	1001	2	400	72	0
1003	南田山	1002	3	400	76	0
1004	玉溜山	1003	4	400	102	0
1005	清屿山	1004	5	400	115	0
1006	郁木洞	1005	6	400	97	0
1007	丹霞洞	1006	7	400	94	0
1008	君山	1007	8	400	95	0
1009	大若岩	1008	9	400	82	0
1010	焦源山	1009	10	400	93	0
1011	沃洲	1010	11	400	120	0
1012	天姥岭	1011	12	400	120	0
1013	若耶溪	1012	13	400	120	0
1014	金庭山	1013	14	400	120	0
1015	清远山	1014	15	400	120	0
1016	安山	1015	16	400	120	0
1017	马岭山	1016	17	400	120	0
1018	鹅羊山	1017	18	400	120	0
1019	西仙源	1018	19	400	120	0
1020	东仙源	1019	20	400	120	0
1021	仙磕山	1020	21	400	120	0
1022	青玉坛	1021	22	400	120	0
1023	洞灵源	1022	23	400	120	0
1024	洞宫山	1023	24	400	120	0
1025	仙界之门	1010	12	400	120	0
1026	梵度天小世界	1025	12	400	100	0
1027	玉隆天小世界	1026	12	400	100	0
1028	妙成天小世界	1027	12	400	100	0
1029	无思天小世界	1028	12	400	100	0
1030	元载天小世界	1029	12	400	100	0
1031	灵明天小世界	1030	12	400	100	0
1032	赤明天小世界	1031	12	400	100	0
1033	太安天小世界	1032	12	400	100	0
1034	荣华天小世界	1033	12	400	100	0
1035	玄明天小世界	1034	12	400	100	0
1036	玄胎天小世界	1035	12	400	100	0
1037	太明天小世界	1036	12	400	100	0
1038	太黄天小世界	1037	12	400	100	0
1039	大罗天小世界	1038	13	400	100	0
1040	始皇天小世界	1039	13	400	100	0
1041	极风天小世界	1040	13	400	100	0
1042	光明天小世界	1041	13	400	100	0
1043	虚无天小世界	1042	13	400	100	0
1044	七曜天小世界	1043	13	400	100	0
1045	皇笳天小世界	1044	14	400	100	0
1046	太皇天小世界	1045	14	400	100	0
1047	太极天小世界	1046	14	400	100	0
1048	玄武天小世界	1047	15	400	100	0
1049	朱雀天小世界	1048	15	400	100	0
1050	白虎天小世界	1049	15	400	100	0
1051	青龙天小世界	1050	15	400	100	0
1052	大焚天小世界	1051	16	400	100	0
1053	东极天小世界	1052	19	400	100	0
1054	西极天小世界	1053	19	400	100	0
1055	南极天小世界	1054	19	400	100	0
1056	北极天小世界	1055	19	400	100	0
1057	皇地祇小世界	1056	19	400	100	0
1058	玉皇天小世界	1057	20	400	100	0
1059	冥界之门	1010	12	400	120	0
1060	枉死地狱小世界	1059	14	400	100	0
1061	火山地狱小世界	1060	14	400	100	0
1062	白骨地狱小世界	1061	14	400	100	0
1063	乱魂地狱小世界	1062	14	400	100	0
1064	黑绳地狱小世界	1063	15	400	100	0
1065	寂静地狱小世界	1064	15	400	100	0
1066	血莲地狱小世界	1065	15	400	100	0
1067	血池地狱小世界	1066	15	400	100	0
1068	哀嚎地狱小世界	1067	15	400	100	0
1069	阴灵地狱小世界	1068	15	400	100	0
1070	怨魂地狱小世界	1069	15	400	100	0
1071	冥冬地狱小世界	1070	16	400	100	0
1072	永夜地狱小世界	1071	16	400	100	0
1073	寒冰地狱小世界	1072	17	400	100	0
1074	阿鼻地狱小世界	1073	18	400	100	0
1075	阴阳地狱小世界	1074	18	400	100	0
1076	红莲地狱小世界	1075	19	400	100	0
1077	青莲地狱小世界	1076	19	400	100	0
1078	无间炼狱小世界	1077	20	400	100	0
1079	魔界之门	1010	12	400	120	0
1080	剧毒魔界小世界	1079	15	400	100	0
1081	火焰魔界小世界	1080	16	400	100	0
1082	诅咒魔界小世界	1081	16	400	100	0
1083	恐惧魔界小世界	1082	16	400	100	0
1084	深渊魔界小世界	1083	17	400	100	0
1085	欲界小世界	1084	18	400	100	0
1086	极乐界小世界	1085	18	400	100	0
1087	黑暗魔界小世界	1086	18	400	100	0
1088	毁灭魔界小世界	1087	18	400	100	0
1089	小魔界小世界	1088	19	400	100	0
1090	魔佛界小世界	1089	19	400	100	0
1091	异度魔界小世界	1090	19	400	100	0
1092	血魔界小世界	1091	19	400	100	0
1093	天魔界小世界	1092	19	400	100	0
1094	魔神界小世界	1093	20	400	100	0
2001	小灵山	0	0	400	0	1
2002	废弃药田	0	0	400	70	1
2003	仙兽岛	0	0	400	75	1
2004	往生池	0	0	400	75	1
2005	魔殿	0	0	400	75	1
2006	昆仑秘境	0	0	400	0	1
2007	血浮屠一层	0	0	400	100	1
2008	血浮屠二层	0	0	400	100	1
2009	血浮屠三层	0	0	400	100	1
2010	血浮屠四层	0	0	400	100	1
