TaskID_XBXXZ	Title_XBXXZ	Desc_XBXXZ	Merit_XBXXZ	Stone_XBXXZ	NeedLevel_XBXXZ	LianDanLevel_XBXXZ	LianQiLevel_XBXXZ	Map_XBXXZ	Npcs_XBXXZ
2001	看守仙界之门	协助太古真人看守仙界之门，但是首先需要证明自己的实力。	3	0	1	0	0	0	1097;1099;1100;1097;1099;1100;1097;1099;1100;
2002	看守冥界之门	协助太古真人看守冥界之门，但是首先需要证明自己的实力。	4	0	1	0	0	0	1101;1103;1104;1101;1103;1104;1101;1103;1104;
2003	看守魔界之门	协助太古真人看守魔界之门，但是首先需要证明自己的实力。	5	0	1	0	0	0	1105;1107;1108;1105;1107;1108;1105;1107;1108;
2004	守卫梵度天	在外敌入侵之际，守卫梵度天。	2	0	71	0	0	0	
2005	守卫玉隆天	在外敌入侵之际，守卫玉隆天。	2	0	71	0	0	0	
2006	守卫妙成天	在外敌入侵之际，守卫妙成天。	2	0	71	0	0	0	
2007	守卫无思天	在外敌入侵之际，守卫无思天。	2	0	71	0	0	0	
2008	守卫元载天	在外敌入侵之际，守卫元载天。	2	0	71	0	0	0	
2009	守卫灵明天	在外敌入侵之际，守卫灵明天。	2	0	71	0	0	0	
2010	守卫赤明天	在外敌入侵之际，守卫赤明天。	2	0	71	0	0	0	
2011	守卫太安天	在外敌入侵之际，守卫太安天。	2	0	71	0	0	0	
2012	守卫荣华天	在外敌入侵之际，守卫荣华天。	2	0	71	0	0	0	
2013	守卫玄明天	在外敌入侵之际，守卫玄明天。	2	0	71	0	0	0	
2014	守卫玄胎天	在外敌入侵之际，守卫玄胎天。	2	0	71	0	0	0	
2015	守卫太明天	在外敌入侵之际，守卫太明天。	2	0	71	0	0	0	
2016	守卫太黄天	在外敌入侵之际，守卫太黄天。	2	0	71	0	0	0	
2017	守卫大罗天	在外敌入侵之际，守卫大罗天。	3	0	81	0	0	0	
2018	守卫始皇天	在外敌入侵之际，守卫始皇天。	3	0	81	0	0	0	
2019	守卫极风天	在外敌入侵之际，守卫极风天。	3	0	81	0	0	0	
2020	守卫光明天	在外敌入侵之际，守卫光明天。	3	0	81	0	0	0	
2021	守卫虚无天	在外敌入侵之际，守卫虚无天。	3	0	81	0	0	0	
2022	守卫七曜天	在外敌入侵之际，守卫七曜天。	3	0	81	0	0	0	
2023	守卫皇笳天	在外敌入侵之际，守卫皇笳天。	4	0	91	0	0	0	
2024	守卫太皇天	在外敌入侵之际，守卫太皇天。	4	0	91	0	0	0	
2025	守卫太极天	在外敌入侵之际，守卫太极天。	4	0	91	0	0	0	
2026	守卫玄武天	在外敌入侵之际，守卫玄武天。	5	0	101	0	0	0	
2027	守卫朱雀天	在外敌入侵之际，守卫朱雀天。	5	0	101	0	0	0	
2028	守卫白虎天	在外敌入侵之际，守卫白虎天。	5	0	101	0	0	0	
2029	守卫青龙天	在外敌入侵之际，守卫青龙天。	5	0	101	0	0	0	
2030	守卫大焚天	在外敌入侵之际，守卫大焚天。	6	0	111	0	0	0	
2031	守卫东极天	在外敌入侵之际，守卫东极天。	9	0	141	0	0	0	
2032	守卫西极天	在外敌入侵之际，守卫西极天。	9	0	141	0	0	0	
2033	守卫南极天	在外敌入侵之际，守卫南极天。	9	0	141	0	0	0	
2034	守卫北极天	在外敌入侵之际，守卫北极天。	9	0	141	0	0	0	
2035	守卫皇地祇	在外敌入侵之际，守卫皇地祇。	9	0	141	0	0	0	
2036	守卫玉皇天	在外敌入侵之际，守卫玉皇天。	10	0	151	0	0	0	
2037	守卫枉死地狱	在外敌入侵之际，守卫枉死地狱。	4	0	91	0	0	0	
2038	守卫火山地狱	在外敌入侵之际，守卫火山地狱。	4	0	91	0	0	0	
2039	守卫白骨地狱	在外敌入侵之际，守卫白骨地狱。	4	0	91	0	0	0	
2040	守卫乱魂地狱	在外敌入侵之际，守卫乱魂地狱。	4	0	91	0	0	0	
2041	守卫黑绳地狱	在外敌入侵之际，守卫黑绳地狱。	5	0	101	0	0	0	
2042	守卫寂静地狱	在外敌入侵之际，守卫寂静地狱。	5	0	101	0	0	0	
2043	守卫血莲地狱	在外敌入侵之际，守卫血莲地狱。	5	0	101	0	0	0	
2044	守卫血池地狱	在外敌入侵之际，守卫血池地狱。	5	0	101	0	0	0	
2045	守卫哀嚎地狱	在外敌入侵之际，守卫哀嚎地狱。	5	0	101	0	0	0	
2046	守卫阴灵地狱	在外敌入侵之际，守卫阴灵地狱。	5	0	101	0	0	0	
2047	守卫怨魂地狱	在外敌入侵之际，守卫怨魂地狱。	5	0	101	0	0	0	
2048	守卫冥冬地狱	在外敌入侵之际，守卫冥冬地狱。	6	0	111	0	0	0	
2049	守卫永夜地狱	在外敌入侵之际，守卫永夜地狱。	6	0	111	0	0	0	
2050	守卫寒冰地狱	在外敌入侵之际，守卫寒冰地狱。	7	0	121	0	0	0	
2051	守卫阿鼻地狱	在外敌入侵之际，守卫阿鼻地狱。	8	0	131	0	0	0	
2052	守卫阴阳地狱	在外敌入侵之际，守卫阴阳地狱。	8	0	131	0	0	0	
2053	守卫红莲地狱	在外敌入侵之际，守卫红莲地狱。	9	0	141	0	0	0	
2054	守卫青莲地狱	在外敌入侵之际，守卫青莲地狱。	9	0	141	0	0	0	
2055	守卫无间炼狱	在外敌入侵之际，守卫无间炼狱。	10	0	151	0	0	0	
2056	守卫剧毒魔界	在外敌入侵之际，守卫剧毒魔界。	5	0	101	0	0	0	
2057	守卫火焰魔界	在外敌入侵之际，守卫火焰魔界。	6	0	111	0	0	0	
2058	守卫诅咒魔界	在外敌入侵之际，守卫诅咒魔界。	6	0	111	0	0	0	
2059	守卫恐惧魔界	在外敌入侵之际，守卫恐惧魔界。	6	0	111	0	0	0	
2060	守卫深渊魔界	在外敌入侵之际，守卫深渊魔界。	7	0	121	0	0	0	
2061	守卫欲界	在外敌入侵之际，守卫欲界。	8	0	131	0	0	0	
2062	守卫极乐界	在外敌入侵之际，守卫极乐界。	8	0	131	0	0	0	
2063	守卫黑暗魔界	在外敌入侵之际，守卫黑暗魔界。	8	0	131	0	0	0	
2064	守卫毁灭魔界	在外敌入侵之际，守卫毁灭魔界。	8	0	131	0	0	0	
2065	守卫小魔界	在外敌入侵之际，守卫小魔界。	9	0	141	0	0	0	
2066	守卫魔佛界	在外敌入侵之际，守卫魔佛界。	9	0	141	0	0	0	
2067	守卫异度魔界	在外敌入侵之际，守卫异度魔界。	9	0	141	0	0	0	
2068	守卫血魔界	在外敌入侵之际，守卫血魔界。	9	0	141	0	0	0	
2069	守卫天魔界	在外敌入侵之际，守卫天魔界。	9	0	141	0	0	0	
2070	守卫魔神界	在外敌入侵之际，守卫魔神界。	10	0	151	0	0	0	
2071	炼制仙器	协助仙器司炼制一品仙器，壮大我界！	4	0	0	0	10	0	
2072	炼制仙器	协助仙器司炼制二品仙器，壮大我界！	5	0	0	0	11	0	
2073	炼制仙器	协助仙器司炼制三品仙器，壮大我界！	6	0	0	0	12	0	
2074	炼制仙器	协助仙器司炼制四品仙器，壮大我界！	7	0	0	0	13	0	
2075	炼制仙器	协助仙器司炼制五品仙器，壮大我界！	8	0	0	0	14	0	
2076	炼制仙器	协助仙器司炼制六品仙器，壮大我界！	9	0	0	0	15	0	
2077	炼制仙器	协助仙器司炼制七品仙器，壮大我界！	10	0	0	0	16	0	
2078	炼制仙器	协助仙器司炼制八品仙器，壮大我界！	11	0	0	0	17	0	
2079	炼制仙器	协助仙器司炼制九品仙器，壮大我界！	12	0	0	0	18	0	
2080	炼制仙丹	协助仙丹坊炼制一品仙丹，壮大我界！	4	0	0	10	0	0	
2081	炼制仙丹	协助仙丹坊炼制二品仙丹，壮大我界！	5	0	0	11	0	0	
2082	炼制仙丹	协助仙丹坊炼制三品仙丹，壮大我界！	6	0	0	12	0	0	
2083	炼制仙丹	协助仙丹坊炼制四品仙丹，壮大我界！	7	0	0	13	0	0	
2084	炼制仙丹	协助仙丹坊炼制五品仙丹，壮大我界！	8	0	0	14	0	0	
2085	炼制仙丹	协助仙丹坊炼制六品仙丹，壮大我界！	9	0	0	15	0	0	
2086	炼制仙丹	协助仙丹坊炼制七品仙丹，壮大我界！	10	0	0	16	0	0	
2087	炼制仙丹	协助仙丹坊炼制八品仙丹，壮大我界！	11	0	0	17	0	0	
2088	炼制仙丹	协助仙丹坊炼制九品仙丹，壮大我界！	12	0	0	18	0	0	
2089	开辟小世界	在梵度天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6001;6068;6135;6001;6068;6135;6001;6068;6135;
2090	开辟小世界	在玉隆天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6002;6069;6136;6002;6069;6136;6002;6069;6136;
2091	开辟小世界	在妙成天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6003;6070;6137;6003;6070;6137;6003;6070;6137;
2092	开辟小世界	在无思天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6004;6071;6138;6004;6071;6138;6004;6071;6138;
2093	开辟小世界	在元载天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6005;6072;6139;6005;6072;6139;6005;6072;6139;
2094	开辟小世界	在灵明天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6006;6073;6140;6006;6073;6140;6006;6073;6140;
2095	开辟小世界	在赤明天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6007;6074;6141;6007;6074;6141;6007;6074;6141;
2096	开辟小世界	在太安天范围内，加强探索，开辟新的小世界！	4	0	0	0	0	0	6008;6075;6142;6008;6075;6142;6008;6075;6142;
