level_XBXXZ	name_XBXXZ	nextexp_XBXXZ	defence_XBXXZ	maxhp_XBXXZ	pkscore_XBXXZ
1	凡人之躯1阶	1000	5	4	10
2	凡人之躯2阶	2755	10	8	20
3	凡人之躯3阶	5455	15	12	30
4	凡人之躯4阶	9280	20	16	40
5	凡人之躯5阶	14410	25	20	50
6	凡人之躯6阶	21025	30	24	60
7	凡人之躯7阶	29305	35	28	70
8	凡人之躯8阶	39430	40	32	80
9	凡人之躯9阶	51580	45	36	90
10	凡人之躯10阶	67240	55	44	110
11	钢筋铁骨1阶	88165	65	780	130
12	钢筋铁骨2阶	123265	75	900	150
13	钢筋铁骨3阶	179965	85	1020	170
14	钢筋铁骨4阶	262765	95	1140	190
15	钢筋铁骨5阶	376165	105	1260	210
16	钢筋铁骨6阶	524665	115	1380	230
17	钢筋铁骨7阶	712765	125	1500	250
18	钢筋铁骨8阶	944965	135	1620	270
19	钢筋铁骨9阶	1225765	145	1740	290
20	钢筋铁骨10阶	1631215	160	1920	320
21	力抵百牛1阶	2179315	175	2800	350
22	力抵百牛2阶	2944315	190	3040	380
23	力抵百牛3阶	3962215	205	3280	410
24	力抵百牛4阶	5269015	220	3520	440
25	力抵百牛5阶	6900715	235	3760	470
26	力抵百牛6阶	8893315	250	4000	500
27	力抵百牛7阶	11282815	265	4240	530
28	力抵百牛8阶	14105215	280	4480	560
29	力抵百牛9阶	17396515	295	4720	590
30	力抵百牛10阶	21459115	315	5040	630
31	铜骨之躯1阶	26365015	402	8040	670
32	铜骨之躯2阶	32567365	426	8520	710
33	铜骨之躯3阶	40217365	450	9000	750
34	铜骨之躯4阶	49466215	474	9480	790
35	铜骨之躯5阶	60465115	498	9960	830
36	铜骨之躯6阶	73365265	522	10440	870
37	铜骨之躯7阶	88317865	546	10920	910
38	铜骨之躯8阶	105474115	570	11400	950
39	铜骨之躯9阶	124985215	594	11880	990
40	铜骨之躯10阶	148251565	624	12480	1040
41	银骨之躯1阶	175575565	763	17440	1090
42	银骨之躯2阶	208970065	798	18240	1140
43	银骨之躯3阶	249039865	833	19040	1190
44	银骨之躯4阶	296389765	868	19840	1240
45	银骨之躯5阶	351624565	903	20640	1290
46	银骨之躯6阶	415349065	938	21440	1340
47	银骨之躯7阶	488168065	973	22240	1390
48	银骨之躯8阶	570686365	1008	23040	1440
49	银骨之躯9阶	663508765	1043	23840	1490
50	银骨之躯10阶	772611265	1085	24800	1550
51	金身之躯1阶	899203465	1288	32200	1610
52	金身之躯2阶	1043269615	1336	33400	1670
53	金身之躯3阶	1205817715	1384	34600	1730
54	金身之躯4阶	1387855765	1432	35800	1790
55	金身之躯5阶	1590391765	1480	37000	1850
56	金身之躯6阶	1814433715	1528	38200	1910
57	金身之躯7阶	2060989615	1576	39400	1970
58	金身之躯8阶	2331067465	1624	40600	2030
59	金身之躯9阶	2625675265	1672	41800	2090
60	金身之躯10阶	2945821015	1728	43200	2160
61	万象之力1阶	3292512715	2230	53520	2230
62	万象之力2阶	3666758365	2300	55200	2300
63	万象之力3阶	4069565965	2370	56880	2370
64	万象之力4阶	4501943515	2440	58560	2440
65	万象之力5阶	4964899015	2510	60240	2510
66	万象之力6阶	5459440465	2580	61920	2580
67	万象之力7阶	5986575865	2650	63600	2650
68	万象之力8阶	6547313215	2720	65280	2720
69	万象之力9阶	7142660515	2790	66960	2790
70	万象之力10阶	7773625765	2870	68880	2870
71	千山之躯1阶	8441216965	3540	82600	2950
72	千山之躯2阶	9146442115	3636	84840	3030
73	千山之躯3阶	9890309215	3732	87080	3110
74	千山之躯4阶	10673826265	3828	89320	3190
75	千山之躯5阶	11498001265	3924	91560	3270
76	千山之躯6阶	12363842215	4020	93800	3350
77	千山之躯7阶	13272357115	4116	96040	3430
78	千山之躯8阶	14224553965	4212	98280	3510
79	千山之躯9阶	15221440765	4308	100520	3590
80	千山之躯10阶	16264025515	4416	103040	3680
81	散仙之躯1阶	17353316215	5655	120640	3770
82	散仙之躯2阶	18490320865	5790	123520	3860
83	散仙之躯3阶	19676047465	5925	126400	3950
84	散仙之躯4阶	20911504015	6060	129280	4040
