npcid_XBXXZ	type_XBXXZ	name_XBXXZ	race_XBXXZ	level_XBXXZ	damage_XBXXZ	defence_XBXXZ	aspeed_XBXXZ	maxhp_XBXXZ	reputation_XBXXZ	deathreputation_XBXXZ	pkscore_XBXXZ	drop_XBXXZ
1	1	幼食人花	1	1	1	0	1	100	1	1	上仙饶命！上仙饶命！上仙饶命！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
2	1	小食人花	1	2	2	0	2	100	1	2	别动手，有话好好说！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
3	1	食人花苗	1	3	3	0	3	100	1	3	上仙饶命，放过的小的一马！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
4	1	青蚨	1	4	4	0	4	100	1	4	别杀我，我爷爷是大妖王	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
5	1	翠蚨	1	5	5	0	5	100	1	5	给我个机会，我也想做个好妖！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
6	1	碧蚨	1	6	6	0	6	120	1	6	别逼我，我发起火来，自己都害怕！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
7	1	幼斑魔蝎	2	4	8	0	7	140	1	4	别逼我，我发起火来，自己都害怕！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
8	1	幼纹魔蝎	2	5	10	0	8	160	1	5	别惹我，我也是敢拼命的！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
9	1	幼花魔蝎	2	6	12	0	9	180	1	6	不要欺人太甚！妖也是有火气的！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
10	1	白眼魔牛	2	7	14	0	10	200	1	7	不自量力的家伙，你是赶来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
11	1	红眼魔牛	2	8	16	0	11	220	1	8	调头吧，给自己留一条活路！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
12	1	黑眼魔牛	2	9	18	0	12	240	1	9	真动起手来，你可就没后悔的机会了！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
13	1	小骷髅	3	5	22	0	7	260	1	5	别逼我，我发起火来，自己都害怕！	54:1-4:10000:1;38:1-2:10000:1;1:1-1:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
14	1	小恶灵	3	6	26	0	8	280	1	6	别惹我，我也是敢拼命的！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
15	1	小冤魂	3	7	30	0	9	300	1	7	不要欺人太甚！妖也是有火气的！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
16	1	小怨魂	3	8	34	0	10	320	1	8	不自量力的家伙，你是赶来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
17	1	新生恶灵	3	9	38	0	11	340	1	9	调头吧，给自己留一条活路！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
18	1	新生怨魂	3	10	42	0	12	360	1	10	真动起手来，你可就没后悔的机会了！	54:1-4:10000:1;38:1-2:10000:1;1:1-2:1000:1;1001:1-1:1000:1;1002:1-1:1000:1;
19	1	幼狂狼	1	11	46	0	13	380	1	11	说吧，你打算在自己的墓碑上刻上什么字？	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;
20	1	幼凶狼	1	12	50	0	14	400	1	12	脖子洗干净了吗？	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
21	1	幼暴狼	1	13	54	0	15	420	1	13	哈哈哈！你是来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;2:1-3:5000:1;1001:1-1:1000:1;1002:1-1:1000:1;
22	1	幼风狼	1	14	58	0	13	440	1	14	说吧，你打算在自己的墓碑上刻上什么字？	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
23	1	风狼	1	15	62	0	14	460	1	15	脖子洗干净了吗？	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;
24	1	暴狼	1	16	66	0	15	480	1	16	哈哈哈！你是来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;2:1-3:5000:1;1001:1-1:1000:1;1002:1-1:1000:1;
25	1	白斑魔蝎王	2	13	70	0	19	500	1	13	不自量力的家伙，你是赶来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
26	1	红斑魔蝎王	2	14	74	0	20	520	1	14	调头吧，给自己留一条活路！	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;
27	1	黑斑魔蝎王	2	15	78	0	21	540	1	15	真动起手来，你可就没后悔的机会了！	54:1-4:10000:1;38:1-2:10000:1;2:1-3:5000:1;1003:1-1:1000:1;1004:1-1:1000:1;
28	1	白眼魔牛王	2	16	82	0	19	560	1	16	不自量力的家伙，你是赶来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
29	1	红眼魔牛王	2	17	86	0	20	580	1	17	调头吧，给自己留一条活路！	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;
30	1	黑眼魔牛王	2	18	90	0	21	600	1	18	真动起手来，你可就没后悔的机会了！	54:1-4:10000:1;38:1-2:10000:1;2:1-3:5000:1;1003:1-1:1000:1;1004:1-1:1000:1;
31	1	地鬼逃兵	3	15	94	0	16	620	1	15	别动手，有话好好说！	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
32	1	地鬼新兵	3	16	98	0	17	640	1	16	别逼我，我发起火来，自己都害怕！	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;
33	1	地鬼溃兵	3	17	102	0	18	660	1	17	上仙饶命，放过的小的一马！	54:1-4:10000:1;38:1-2:10000:1;1001:1-1:1000:1;1002:1-1:1000:1;70:1-1:100:1;
34	1	坟火	3	18	106	0	22	680	1	18	脖子洗干净了吗？	54:1-4:10000:1;38:1-2:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;
35	1	磷火	3	19	110	0	23	700	1	19	哈哈哈！你是来送死的吗？	54:1-4:10000:1;38:1-2:10000:1;2:1-3:5000:1;1003:1-1:1000:1;1004:1-1:1000:1;
36	1	冥火	3	20	114	0	24	720	1	20	哈哈哈哈，来了个不要命的蝼蚁！	54:1-4:10000:1;38:1-2:10000:1;3:1-1:500:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
37	1	幼纤奇足	1	21	119	0	25	760	1	21	呵呵~你敢动手试试？	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
38	1	幼针奇足	1	22	124	0	26	800	1	22	不要命的话，你就来吧！	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
39	1	荆棘刺球	1	23	129	0	27	840	1	23	不自量力的家伙，你是赶来送死的吗？	54:4-8:10000:1;38:2-4:10000:1;3:1-1:500:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
40	1	软猬刺球	1	24	134	0	25	880	1	24	呵呵~你敢动手试试？	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
41	1	仙人刺球	1	25	139	0	26	920	1	25	不要命的话，你就来吧！	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
42	1	幼矛奇足	1	26	144	0	27	960	1	26	不自量力的家伙，你是赶来送死的吗？	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
43	1	黑角小恶魔	2	23	149	0	25	1000	1	23	呵呵~你敢动手试试？	54:4-8:10000:1;38:2-4:10000:1;3:1-1:500:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;68:1-1:100:1;
44	1	红角小恶魔	2	24	154	0	26	1040	1	24	不要命的话，你就来吧！	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
45	1	绿角小恶魔	2	25	159	0	27	1080	1	25	不自量力的家伙，你是赶来送死的吗？	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
46	1	噬血魔	2	26	164	0	25	1120	1	26	呵呵~你敢动手试试？	54:4-8:10000:1;38:2-4:10000:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
47	1	噬精魔	2	27	169	0	26	1160	1	27	不要命的话，你就来吧！	54:4-8:10000:1;38:2-4:10000:1;3:1-1:500:1;1003:1-1:1000:1;1004:1-1:1000:1;72:1-3:1000:1;79:1-1:500:1;73:1-1:200:1;
