ID_XBXXZ	Name_XBXXZ	GiftType_XBXXZ	Level_XBXXZ	UpExp_XBXXZ	AddExpPerDay_XBXXZ	ExpItem_XBXXZ	Desc_XBXXZ	Icon_XBXXZ	MaxAttack_XBXXZ	MaxDefence_XBXXZ	MaxDodge_XBXXZ	MaxBang_XBXXZ	MaxASpeed_XBXXZ	Body_XBXXZ	Skill_XBXXZ	EffectType_XBXXZ	EffectNum_XBXXZ
1	[本命]青魔刀	1	1	1000	100	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击30%生命值。	505	100			20				2	3000
1	[本命]青魔刀	1	2	1500	105	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击35%生命值。	505	220			40				2	3500
1	[本命]青魔刀	1	3	2250	110	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击40%生命值。	505	340			60				2	4000
1	[本命]青魔刀	1	4	3375	116	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击45%生命值。	505	460			80				2	4500
1	[本命]青魔刀	1	5	5063	122	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击50%生命值。	505	580			100				2	5000
1	[本命]青魔刀	1	6	7594	128	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击55%生命值。	505	700			120				2	5500
1	[本命]青魔刀	1	7	11391	134	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击60%生命值。	505	820			140				2	6000
1	[本命]青魔刀	1	8	17086	141	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击65%生命值。	505	940			160				2	6500
1	[本命]青魔刀	1	9	25629	148	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击70%生命值。	505	1060			180				2	7000
1	[本命]青魔刀	1	10	38443	155	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击75%生命值。	505	1180			200				2	7500
1	[本命]青魔刀	1	11	57665	163	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击80%生命值。	505	1300			220				2	8000
1	[本命]青魔刀	1	12	86498	171	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击85%生命值。	505	1420			240				2	8500
1	[本命]青魔刀	1	13	129746	180	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击90%生命值。	505	1540			260				2	9000
1	[本命]青魔刀	1	14	194620	189	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击95%生命值。	505	1660			280				2	9500
1	[本命]青魔刀	1	15	291929	198	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击100%生命值。	505	1780			300				2	10000
1	[本命]青魔刀	1	16	437894	208	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击105%生命值。	505	1900			320				2	10500
1	[本命]青魔刀	1	17	656841	218	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击110%生命值。	505	2020			340				2	11000
1	[本命]青魔刀	1	18	985261	229	809	青魔刀成为本命法宝后，击中对方后，10%几率吸收自身攻击115%生命值。	505	2140			360				2	11500
2	[本命]蚀天刀	1	1	1000	100	809	蚀天刀成为本命法宝后，击中对方后，2.5%使对方防御降低50%，持续3回合	506	100			20				4	250
2	[本命]蚀天刀	1	2	1500	105	809	蚀天刀成为本命法宝后，击中对方后，3.0%使对方防御降低50%，持续3回合	506	220			40				4	300
2	[本命]蚀天刀	1	3	2250	110	809	蚀天刀成为本命法宝后，击中对方后，3.5%使对方防御降低50%，持续3回合	506	340			60				4	350
2	[本命]蚀天刀	1	4	3375	116	809	蚀天刀成为本命法宝后，击中对方后，4.0%使对方防御降低50%，持续3回合	506	460			80				4	400
2	[本命]蚀天刀	1	5	5063	122	809	蚀天刀成为本命法宝后，击中对方后，4.5%使对方防御降低50%，持续3回合	506	580			100				4	450
2	[本命]蚀天刀	1	6	7594	128	809	蚀天刀成为本命法宝后，击中对方后，5.0%使对方防御降低50%，持续3回合	506	700			120				4	500
2	[本命]蚀天刀	1	7	11391	134	809	蚀天刀成为本命法宝后，击中对方后，5.5%使对方防御降低50%，持续3回合	506	820			140				4	550
2	[本命]蚀天刀	1	8	17086	141	809	蚀天刀成为本命法宝后，击中对方后，6.0%使对方防御降低50%，持续3回合	506	940			160				4	600
2	[本命]蚀天刀	1	9	25629	148	809	蚀天刀成为本命法宝后，击中对方后，6.5%使对方防御降低50%，持续3回合	506	1060			180				4	650
2	[本命]蚀天刀	1	10	38443	155	809	蚀天刀成为本命法宝后，击中对方后，7.0%使对方防御降低50%，持续3回合	506	1180			200				4	700
2	[本命]蚀天刀	1	11	57665	163	809	蚀天刀成为本命法宝后，击中对方后，7.5%使对方防御降低50%，持续3回合	506	1300			220				4	750
2	[本命]蚀天刀	1	12	86498	171	809	蚀天刀成为本命法宝后，击中对方后，8.0%使对方防御降低50%，持续3回合	506	1420			240				4	800
2	[本命]蚀天刀	1	13	129746	180	809	蚀天刀成为本命法宝后，击中对方后，8.5%使对方防御降低50%，持续3回合	506	1540			260				4	850
2	[本命]蚀天刀	1	14	194620	189	809	蚀天刀成为本命法宝后，击中对方后，9.0%使对方防御降低50%，持续3回合	506	1660			280				4	900
2	[本命]蚀天刀	1	15	291929	198	809	蚀天刀成为本命法宝后，击中对方后，9.5%使对方防御降低50%，持续3回合	506	1780			300				4	950
2	[本命]蚀天刀	1	16	437894	208	809	蚀天刀成为本命法宝后，击中对方后，10.0%使对方防御降低50%，持续3回合	506	1900			320				4	1000
2	[本命]蚀天刀	1	17	656841	218	809	蚀天刀成为本命法宝后，击中对方后，10.5%使对方防御降低50%，持续3回合	506	2020			340				4	1050
2	[本命]蚀天刀	1	18	985261	229	809	蚀天刀成为本命法宝后，击中对方后，11.0%使对方防御降低50%，持续3回合	506	2140			360				4	1100
3	[本命]青龙刀	1	1	1000	100	809	青龙刀成为本命法宝后，击中对方后，2.5%使对方攻击降低50%，持续3回合	507	100			20				5	250
3	[本命]青龙刀	1	2	1500	105	809	青龙刀成为本命法宝后，击中对方后，3.0%使对方攻击降低50%，持续3回合	507	220			40				5	300
3	[本命]青龙刀	1	3	2250	110	809	青龙刀成为本命法宝后，击中对方后，3.5%使对方攻击降低50%，持续3回合	507	340			60				5	350
3	[本命]青龙刀	1	4	3375	116	809	青龙刀成为本命法宝后，击中对方后，4.0%使对方攻击降低50%，持续3回合	507	460			80				5	400
3	[本命]青龙刀	1	5	5063	122	809	青龙刀成为本命法宝后，击中对方后，4.5%使对方攻击降低50%，持续3回合	507	580			100				5	450
3	[本命]青龙刀	1	6	7594	128	809	青龙刀成为本命法宝后，击中对方后，5.0%使对方攻击降低50%，持续3回合	507	700			120				5	500
3	[本命]青龙刀	1	7	11391	134	809	青龙刀成为本命法宝后，击中对方后，5.5%使对方攻击降低50%，持续3回合	507	820			140				5	550
3	[本命]青龙刀	1	8	17086	141	809	青龙刀成为本命法宝后，击中对方后，6.0%使对方攻击降低50%，持续3回合	507	940			160				5	600
3	[本命]青龙刀	1	9	25629	148	809	青龙刀成为本命法宝后，击中对方后，6.5%使对方攻击降低50%，持续3回合	507	1060			180				5	650
3	[本命]青龙刀	1	10	38443	155	809	青龙刀成为本命法宝后，击中对方后，7.0%使对方攻击降低50%，持续3回合	507	1180			200				5	700
3	[本命]青龙刀	1	11	57665	163	809	青龙刀成为本命法宝后，击中对方后，7.5%使对方攻击降低50%，持续3回合	507	1300			220				5	750
3	[本命]青龙刀	1	12	86498	171	809	青龙刀成为本命法宝后，击中对方后，8.0%使对方攻击降低50%，持续3回合	507	1420			240				5	800
3	[本命]青龙刀	1	13	129746	180	809	青龙刀成为本命法宝后，击中对方后，8.5%使对方攻击降低50%，持续3回合	507	1540			260				5	850
3	[本命]青龙刀	1	14	194620	189	809	青龙刀成为本命法宝后，击中对方后，9.0%使对方攻击降低50%，持续3回合	507	1660			280				5	900
3	[本命]青龙刀	1	15	291929	198	809	青龙刀成为本命法宝后，击中对方后，9.5%使对方攻击降低50%，持续3回合	507	1780			300				5	950
3	[本命]青龙刀	1	16	437894	208	809	青龙刀成为本命法宝后，击中对方后，10.0%使对方攻击降低50%，持续3回合	507	1900			320				5	1000
3	[本命]青龙刀	1	17	656841	218	809	青龙刀成为本命法宝后，击中对方后，10.5%使对方攻击降低50%，持续3回合	507	2020			340				5	1050
3	[本命]青龙刀	1	18	985261	229	809	青龙刀成为本命法宝后，击中对方后，11.0%使对方攻击降低50%，持续3回合	507	2140			360				5	1100
4	[本命]墨魂刀	1	1	1000	100	809	墨魂刀成为本命法宝后，击中对方后，1.0%使对方每回合生命减少20%，持续3回合	515	100			20				6	100
4	[本命]墨魂刀	1	2	1500	105	809	墨魂刀成为本命法宝后，击中对方后，1.2%使对方每回合生命减少20%，持续3回合	515	220			40				6	120
4	[本命]墨魂刀	1	3	2250	110	809	墨魂刀成为本命法宝后，击中对方后，1.4%使对方每回合生命减少20%，持续3回合	515	340			60				6	140
4	[本命]墨魂刀	1	4	3375	116	809	墨魂刀成为本命法宝后，击中对方后，1.6%使对方每回合生命减少20%，持续3回合	515	460			80				6	160
4	[本命]墨魂刀	1	5	5063	122	809	墨魂刀成为本命法宝后，击中对方后，1.8%使对方每回合生命减少20%，持续3回合	515	580			100				6	180
4	[本命]墨魂刀	1	6	7594	128	809	墨魂刀成为本命法宝后，击中对方后，2.0%使对方每回合生命减少20%，持续3回合	515	700			120				6	200
4	[本命]墨魂刀	1	7	11391	134	809	墨魂刀成为本命法宝后，击中对方后，2.2%使对方每回合生命减少20%，持续3回合	515	820			140				6	220
4	[本命]墨魂刀	1	8	17086	141	809	墨魂刀成为本命法宝后，击中对方后，2.4%使对方每回合生命减少20%，持续3回合	515	940			160				6	240
4	[本命]墨魂刀	1	9	25629	148	809	墨魂刀成为本命法宝后，击中对方后，2.6%使对方每回合生命减少20%，持续3回合	515	1060			180				6	260
4	[本命]墨魂刀	1	10	38443	155	809	墨魂刀成为本命法宝后，击中对方后，2.8%使对方每回合生命减少20%，持续3回合	515	1180			200				6	280
4	[本命]墨魂刀	1	11	57665	163	809	墨魂刀成为本命法宝后，击中对方后，3.0%使对方每回合生命减少20%，持续3回合	515	1300			220				6	300
4	[本命]墨魂刀	1	12	86498	171	809	墨魂刀成为本命法宝后，击中对方后，3.2%使对方每回合生命减少20%，持续3回合	515	1420			240				6	320
4	[本命]墨魂刀	1	13	129746	180	809	墨魂刀成为本命法宝后，击中对方后，3.4%使对方每回合生命减少20%，持续3回合	515	1540			260				6	340
4	[本命]墨魂刀	1	14	194620	189	809	墨魂刀成为本命法宝后，击中对方后，3.6%使对方每回合生命减少20%，持续3回合	515	1660			280				6	360
4	[本命]墨魂刀	1	15	291929	198	809	墨魂刀成为本命法宝后，击中对方后，3.8%使对方每回合生命减少20%，持续3回合	515	1780			300				6	380
4	[本命]墨魂刀	1	16	437894	208	809	墨魂刀成为本命法宝后，击中对方后，4.0%使对方每回合生命减少20%，持续3回合	515	1900			320				6	400
4	[本命]墨魂刀	1	17	656841	218	809	墨魂刀成为本命法宝后，击中对方后，4.2%使对方每回合生命减少20%，持续3回合	515	2020			340				6	420
4	[本命]墨魂刀	1	18	985261	229	809	墨魂刀成为本命法宝后，击中对方后，4.4%使对方每回合生命减少20%，持续3回合	515	2140			360				6	440
5	[本命]死狱刀	1	1	1000	100	809	死狱刀成为本命法宝后，击中对方后，2.5%几率恢复自身攻击100%生命值	523	100			20				3	250
5	[本命]死狱刀	1	2	1500	105	809	死狱刀成为本命法宝后，击中对方后，3.0%几率恢复自身攻击100%生命值	523	220			40				3	300
5	[本命]死狱刀	1	3	2250	110	809	死狱刀成为本命法宝后，击中对方后，3.5%几率恢复自身攻击100%生命值	523	340			60				3	350
5	[本命]死狱刀	1	4	3375	116	809	死狱刀成为本命法宝后，击中对方后，4.0%几率恢复自身攻击100%生命值	523	460			80				3	400
5	[本命]死狱刀	1	5	5063	122	809	死狱刀成为本命法宝后，击中对方后，4.5%几率恢复自身攻击100%生命值	523	580			100				3	450
5	[本命]死狱刀	1	6	7594	128	809	死狱刀成为本命法宝后，击中对方后，5.0%几率恢复自身攻击100%生命值	523	700			120				3	500
5	[本命]死狱刀	1	7	11391	134	809	死狱刀成为本命法宝后，击中对方后，5.5%几率恢复自身攻击100%生命值	523	820			140				3	550
5	[本命]死狱刀	1	8	17086	141	809	死狱刀成为本命法宝后，击中对方后，6.0%几率恢复自身攻击100%生命值	523	940			160				3	600
5	[本命]死狱刀	1	9	25629	148	809	死狱刀成为本命法宝后，击中对方后，6.5%几率恢复自身攻击100%生命值	523	1060			180				3	650
5	[本命]死狱刀	1	10	38443	155	809	死狱刀成为本命法宝后，击中对方后，7.0%几率恢复自身攻击100%生命值	523	1180			200				3	700
5	[本命]死狱刀	1	11	57665	163	809	死狱刀成为本命法宝后，击中对方后，7.5%几率恢复自身攻击100%生命值	523	1300			220				3	750
5	[本命]死狱刀	1	12	86498	171	809	死狱刀成为本命法宝后，击中对方后，8.0%几率恢复自身攻击100%生命值	523	1420			240				3	800
5	[本命]死狱刀	1	13	129746	180	809	死狱刀成为本命法宝后，击中对方后，8.5%几率恢复自身攻击100%生命值	523	1540			260				3	850
5	[本命]死狱刀	1	14	194620	189	809	死狱刀成为本命法宝后，击中对方后，9.0%几率恢复自身攻击100%生命值	523	1660			280				3	900
5	[本命]死狱刀	1	15	291929	198	809	死狱刀成为本命法宝后，击中对方后，9.5%几率恢复自身攻击100%生命值	523	1780			300				3	950
5	[本命]死狱刀	1	16	437894	208	809	死狱刀成为本命法宝后，击中对方后，10.0%几率恢复自身攻击100%生命值	523	1900			320				3	1000
5	[本命]死狱刀	1	17	656841	218	809	死狱刀成为本命法宝后，击中对方后，10.5%几率恢复自身攻击100%生命值	523	2020			340				3	1050
5	[本命]死狱刀	1	18	985261	229	809	死狱刀成为本命法宝后，击中对方后，11.0%几率恢复自身攻击100%生命值	523	2140			360				3	1100
6	[本命]灭魂剑	1	1	1000	100	809	灭魂剑成为本命法宝后，击中对方后，2.5%几率使对方晕眩3回合	531	100					50		1	250
6	[本命]灭魂剑	1	2	1500	105	809	灭魂剑成为本命法宝后，击中对方后，3.0%几率使对方晕眩3回合	531	200					200		1	300
6	[本命]灭魂剑	1	3	2250	110	809	灭魂剑成为本命法宝后，击中对方后，3.5%几率使对方晕眩3回合	531	300					350		1	350
6	[本命]灭魂剑	1	4	3375	116	809	灭魂剑成为本命法宝后，击中对方后，4.0%几率使对方晕眩3回合	531	400					500		1	400
6	[本命]灭魂剑	1	5	5063	122	809	灭魂剑成为本命法宝后，击中对方后，4.5%几率使对方晕眩3回合	531	500					650		1	450
6	[本命]灭魂剑	1	6	7594	128	809	灭魂剑成为本命法宝后，击中对方后，5.0%几率使对方晕眩3回合	531	600					800		1	500
6	[本命]灭魂剑	1	7	11391	134	809	灭魂剑成为本命法宝后，击中对方后，5.5%几率使对方晕眩3回合	531	700					950		1	550
6	[本命]灭魂剑	1	8	17086	141	809	灭魂剑成为本命法宝后，击中对方后，6.0%几率使对方晕眩3回合	531	800					1100		1	600
6	[本命]灭魂剑	1	9	25629	148	809	灭魂剑成为本命法宝后，击中对方后，6.5%几率使对方晕眩3回合	531	900					1250		1	650
6	[本命]灭魂剑	1	10	38443	155	809	灭魂剑成为本命法宝后，击中对方后，7.0%几率使对方晕眩3回合	531	1000					1400		1	700
6	[本命]灭魂剑	1	11	57665	163	809	灭魂剑成为本命法宝后，击中对方后，7.5%几率使对方晕眩3回合	531	1100					1550		1	750
6	[本命]灭魂剑	1	12	86498	171	809	灭魂剑成为本命法宝后，击中对方后，8.0%几率使对方晕眩3回合	531	1200					1700		1	800
6	[本命]灭魂剑	1	13	129746	180	809	灭魂剑成为本命法宝后，击中对方后，8.5%几率使对方晕眩3回合	531	1300					1850		1	850
6	[本命]灭魂剑	1	14	194620	189	809	灭魂剑成为本命法宝后，击中对方后，9.0%几率使对方晕眩3回合	531	1400					2000		1	900
6	[本命]灭魂剑	1	15	291929	198	809	灭魂剑成为本命法宝后，击中对方后，9.5%几率使对方晕眩3回合	531	1500					2150		1	950
6	[本命]灭魂剑	1	16	437894	208	809	灭魂剑成为本命法宝后，击中对方后，10.0%几率使对方晕眩3回合	531	1600					2300		1	1000
6	[本命]灭魂剑	1	17	656841	218	809	灭魂剑成为本命法宝后，击中对方后，10.5%几率使对方晕眩3回合	531	1700					2450		1	1050
6	[本命]灭魂剑	1	18	985261	229	809	灭魂剑成为本命法宝后，击中对方后，11.0%几率使对方晕眩3回合	531	1800					2600		1	1100
7	[本命]白虹剑	1	1	1000	100	809	白虹剑成为本命法宝后，2.5%几率反弹对方对自己造成的伤害。	539	100					50		8	250
7	[本命]白虹剑	1	2	1500	105	809	白虹剑成为本命法宝后，3.0%几率反弹对方对自己造成的伤害。	539	200					200		8	300
