dan_XBXXZ	name_XBXXZ	quality_XBXXZ	itemid_XBXXZ	minnum_XBXXZ	maxnum_XBXXZ	needitemid1_XBXXZ	needitemnum1_XBXXZ	needitemid2_XBXXZ	needitemnum2_XBXXZ	needitemid3_XBXXZ	needitemnum3_XBXXZ	exp_XBXXZ
1	[逐日]追魂弓	1	4003	1	1	1003	1	69	5	70	10	1
2	[逐日]飞凤弓	3	4004	1	1	1004	1	69	15	70	30	3
3	[逐日]贪狼弓	5	4005	1	1	1005	1	69	25	70	50	5
4	[星辰]破天剑	1	4014	1	1	1014	1	69	5	70	10	1
5	[月光]天魔剑	1	4015	1	1	1015	1	69	5	70	10	1
6	[星辰]燕支剑	2	4016	1	1	1016	1	69	10	70	20	2
7	[月光]含光剑	2	4017	1	1	1017	1	69	10	70	20	2
8	[星辰]承影剑	3	4018	1	1	1018	1	69	15	70	30	3
9	[月光]灭魂剑	3	4019	1	1	1019	1	69	15	70	30	3
10	[星辰]白虹剑	4	4020	1	1	1020	1	69	20	70	40	4
11	[月光]九阳剑	4	4021	1	1	1021	1	69	20	70	40	4
12	[星辰]太荒剑	5	4022	1	1	1022	1	69	25	70	50	5
13	[月光]天问剑	5	4023	1	1	1023	1	69	25	70	50	5
14	[天罡]玄冥刀	1	4032	1	1	1032	1	69	10	70	10	1
15	[鸿运]灭世刀	1	4033	1	1	1033	1	69	10	70	10	1
16	[天罡]辟魔刀	2	4034	1	1	1034	1	69	20	70	20	2
17	[鸿运]雷光刀	2	4035	1	1	1035	1	69	20	70	20	2
18	[天罡]星虹刀	3	4036	1	1	1036	1	69	30	70	30	3
19	[鸿运]青魔刀	3	4037	1	1	1037	1	69	30	70	30	3
20	[天罡]蚀天刀	4	4038	1	1	1038	1	69	120	70	120	4
21	[鸿运]青龙刀	4	4039	1	1	1039	1	69	120	70	120	4
22	[天罡]墨魂刀	5	4040	1	1	1040	1	69	200	70	200	5
23	[鸿运]死狱刀	5	4041	1	1	1041	1	69	200	70	200	5
24	[雷霆]肃魂袍	1	4050	1	1	1109	1	68	15	69	10	1
25	[玄武]破魄袍	1	4051	1	1	1110	1	68	15	69	10	1
26	[雷霆]灭魔袍	2	4052	1	1	1111	1	68	300	69	120	2
27	[玄武]游龙袍	2	4053	1	1	1112	1	4051	1	68	500	2
28	[雷霆]青云袍	3	4054	1	1	1113	1	68	999	69	360	3
29	[玄武]八卦袍	3	4055	1	1	1114	1	4053	1	69	500	3
30	[雷霆]两仪袍	4	4056	1	1	1115	1	68	1998	69	1080	4
31	[玄武]雷神袍	4	4057	1	1	1116	1	4055	1	69	999	4
32	[风行]如意靴	1	4066	1	1	1125	1	68	15	69	10	1
33	[云动]乾坤靴	1	4067	1	1	1126	1	68	15	69	10	1
34	[风行]九天靴	2	4068	1	1	1127	1	68	30	69	20	2
35	[云动]破天靴	2	4069	1	1	1128	1	68	30	69	20	2
36	[风行]龙鳞靴	3	4070	1	1	1129	1	68	45	69	30	3
37	[云动]八卦靴	3	4071	1	1	1130	1	68	45	69	30	3
38	[风行]两仪靴	4	4072	1	1	1131	1	68	60	69	40	4
39	[云动]雷神靴	4	4073	1	1	1132	1	68	60	69	40	4
40	一品须弥石	1	501	1	1	68	10	70	10			1
41	二品须弥石	2	502	1	1	68	20	70	20			2
42	三品须弥石	3	503	1	1	68	30	70	30			3
43	四品须弥石	4	504	1	1	68	40	70	40	99	10	4
44	五品须弥石	5	505	1	1	68	60	70	60	99	20	5
45	六品须弥石	6	506	1	1	68	80	70	80	99	30	6
46	七品须弥石	7	507	1	1	68	70	70	70	102	60	7
47	八品须弥石	8	508	1	1	68	140	70	140	102	120	8
48	九品须弥石	9	509	1	1	68	280	70	280	102	240	9
49	一品炼丹炉	1	82	1	1	69	20	70	20	68	2	1
50	二品炼丹炉	2	83	1	1	69	50	70	30	68	5	2
51	三品炼丹炉	3	80	1	1	69	100	70	50	68	10	3
52	四品炼丹炉	4	84	1	1	69	250	70	100	68	50	4
53	五品炼丹炉	5	85	1	1	99	100	100	100	69	100	5
54	六品炼丹炉	6	86	1	1	99	200	100	200	69	200	6
55	七品炼丹炉	7	87	1	1	99	400	100	400	69	400	7
56	八品炼丹炉	8	88	1	1	99	800	100	800	69	800	8
57	九品炼丹炉	9	89	1	1	99	1600	100	1600	69	1600	9
58	一品炼器炉	1	90	1	1	69	20	70	20	68	2	1
59	二品炼器炉	2	91	1	1	69	50	70	30	68	5	2
60	三品炼器炉	3	92	1	1	69	100	70	50	68	10	3
61	四品炼器炉	4	93	1	1	69	250	70	100	68	50	4
