ID_XBXXZ	name_XBXXZ	itemid_XBXXZ	needitemid1_XBXXZ	needitemnum1_XBXXZ	needitemid2_XBXXZ	needitemnum2_XBXXZ	needitemid3_XBXXZ	needitemnum3_XBXXZ	needitemid4_XBXXZ	needitemnum4_XBXXZ	needitemid5_XBXXZ	needitemnum5_XBXXZ	needitemid6_XBXXZ	needitemnum6_XBXXZ	needitemid7_XBXXZ	needitemnum7_XBXXZ	needitemid8_XBXXZ	needitemnum8_XBXXZ
1	[本命]青魔刀	771	790	1	1037	1	729	20	68	200	99	100	100	50	101	20	102	10
2	[本命]蚀天刀	772	791	1	1038	1	729	20	68	200	99	100	100	50	101	20	102	10
3	[本命]青龙刀	773	792	1	1039	1	729	20	68	200	99	100	100	50	101	20	102	10
4	[本命]墨魂刀	774	793	1	1040	1	729	20	68	200	99	100	100	50	101	20	102	10
5	[本命]死狱刀	775	794	1	1041	1	729	20	68	200	99	100	100	50	101	20	102	10
6	[本命]灭魂剑	776	795	1	1019	1	729	20	68	200	99	100	100	50	101	20	102	10
7	[本命]白虹剑	777	796	1	1020	1	729	20	68	200	99	100	100	50	101	20	102	10
8	[本命]九阳剑	778	797	1	1021	1	729	20	68	200	99	100	100	50	101	20	102	10
9	[本命]太荒剑	779	798	1	1022	1	729	20	68	200	99	100	100	50	101	20	102	10
10	[本命]天问剑	780	799	1	1023	1	729	20	68	200	99	100	100	50	101	20	102	10
11	[本命]两仪靴	781	800	1	1131	1	730	10	70	200	99	100	100	50	101	20	102	10
12	[本命]八卦炉	782	801	1	82	1	285	500	70	200	99	100	100	50	101	20	102	10
13	[本命]乾坤炉	783	802	1	83	1	285	500	70	200	99	100	100	50	101	20	102	10
14	[本命]老君炉	784	803	1	80	1	285	500	70	200	99	100	100	50	101	20	102	10
15	[本命]盘龙炉	785	804	1	90	1	285	500	70	200	99	100	100	50	101	20	102	10
16	[本命]五行炉	786	805	1	91	1	285	500	70	200	99	100	100	50	101	20	102	10
17	[本命]焚天炉	787	806	1	92	1	285	500	70	200	99	100	100	50	101	20	102	10
18	[本命]先天龟甲	788	807	1	44	100	292	1	69	200	99	100	100	50	101	20	102	10
19	[本命]玄武罗盘	789	808	1	45	100	292	1	69	200	99	100	100	50	101	20	102	10
