id_XBXXZ	type_XBXXZ	name_XBXXZ	race_XBXXZ	quality_XBXXZ	canride_XBXXZ	move_XBXXZ	show_attack_XBXXZ	MinSAttack_XBXXZ	MaxSAttack_XBXXZ	MinDefence_XBXXZ	MaxDefence_XBXXZ	MinSpeed_XBXXZ	MaxSpeed_XBXXZ	MinBang_XBXXZ	MaxBang_XBXXZ	MinDodge_XBXXZ	MaxDodge_XBXXZ	MinHP_XBXXZ	MaxHP_XBXXZ	qualityweights_XBXXZ	rootweights_XBXXZ	speedweights_XBXXZ	loyal_XBXXZ	skill_XBXXZ	icon_XBXXZ
1	1	五色鹿	1	3,100;2,50;1,10	1	1	妖攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		388
2	1	夫诸	1	3,100;2,50;1,10	1	1	妖攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		389
3	1	灵狐	1	1,30;2,30;3,40;	1	1	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		390
4	1	鹿蜀	1	3,100;2,50;1,10	1	1	妖攻	200	350	200	350	50	100	30	40	30	40	1500	4000	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	1,10000;2,5000;3,2500;4,1250;	50		391
5	1	月猫	1	1,30;2,30;3,40;	0	1	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	1,10000;2,5000;3,2500;4,1250;5,625;	50		392
6	1	蛊雕	1	1,30;2,30;3,40;	1	2	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		393
7	1	力敖	1	1,10;2,50;3,30;	1	1	妖攻	100	200	200	500	50	100	30	50	20	40	2000	5000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		394
8	1	苍猿	1	1,30;2,30;3,40;	1	1	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	2,5000;3,2500;4,1250;5,625;	50		395
9	1	银狼	1	1,30;2,30;3,40;	1	1	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		396
10	1	火鸦	1	1,30;2,30;3,40;	1	2	妖攻	200	500	100	200	50	100	20	40	30	50	1000	3000	1,10000;2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	2,5000;3,2500;4,1250;5,625;6,313;	50		397
