itemid_XBXXZ	name_XBXXZ	type_XBXXZ	skill_XBXXZ	time_XBXXZ	price_XBXXZ	level_XBXXZ	pets_XBXXZ
701	[白]海兽蛋	1	903	2	10000	100	49,55;50,45;51,45;
702	[绿]海兽蛋	1	903	4	10000	100	51,55;52,45;53,45;
703	[蓝]海兽蛋	1	903	6	20000	150	53,55;54,45;55,45;
704	[紫]海兽蛋	1	903	7	20000	150	56,55;57,45;58,45;
705	[金]海兽蛋	1	903	10	30000	200	58,55;59,45;60,45;
706	[红]海兽蛋	1	903	12	30000	200	60,55;61,45;62,45;
707	[黑]海兽蛋	1	903	15	30000	300	62,55;63,45;64,45;
708	[白]恶魔蛋	2	902	2	10000	100	33,55;34,45;35,45;
709	[绿]恶魔蛋	2	902	4	10000	100	35,55;36,45;37,45;
710	[蓝]恶魔蛋	2	902	6	20000	150	37,55;38,45;39,45;
711	[紫]恶魔蛋	2	902	7	20000	150	40,55;41,45;42,45;
712	[金]恶魔蛋	2	902	10	30000	200	42,55;43,45;44,45;
713	[红]恶魔蛋	2	902	12	30000	200	44,55;45,45;46,45;
714	[黑]恶魔蛋	2	902	15	30000	300	46,55;47,45;48,45;
715	[白]仙兽蛋	3	900	2	10000	100	1,55;2,45;3,5;
716	[绿]仙兽蛋	3	900	4	10000	100	3,55;4,45;5,5;
717	[蓝]仙兽蛋	3	900	6	20000	150	5,55;6,45;7,5;
718	[紫]仙兽蛋	3	900	7	20000	150	8,55;9,45;10,5;
719	[金]仙兽蛋	3	900	10	30000	200	10,55;11,45;12,5;
720	[红]仙兽蛋	3	900	12	30000	200	12,55;13,45;14,5;
721	[黑]仙兽蛋	3	900	15	30000	300	14,55;15,45;16,5;
722	[白]恶鬼蛋	4	901	2	10000	100	17,55;18,45;19,5;
723	[绿]恶鬼蛋	4	901	4	10000	100	19,55;20,45;21,5;
724	[蓝]恶鬼蛋	4	901	6	20000	150	21,55;22,45;23,5;
725	[紫]恶鬼蛋	4	901	7	20000	150	24,55;25,45;26,5;
726	[金]恶鬼蛋	4	901	10	30000	200	26,55;27,45;28,5;
727	[红]恶鬼蛋	4	901	12	30000	200	28,55;29,45;30,5;
728	[黑]恶鬼蛋	4	901	15	30000	300	30,55;31,45;32,5;
736	[一爪]龙蛋	5	904	100	20000	200	1,45;2,45;3,10;4,1;5,1;
737	[二爪]龙蛋	5	904	100	23000	230	4,55;5,35;6,10;7,1;8,1;
738	[三爪]龙蛋	5	904	100	26000	260	7,55;8,35;9,10;10,1;11,1;
739	[四爪]龙蛋	5	904	100	29000	290	10,55;11,35;12,10;13,1;14,1;
740	[五爪]龙蛋	5	904	100	32000	320	13,55;14,35;15,10;16,1;17,1;
741	[六爪]龙蛋	5	904	100	35000	350	16,55;17,35;18,1;
742	[七爪]龙蛋	5	904	100	38000	380	16,35;17,55;18,10;
743	[八爪]龙蛋	5	904	100	41000	410	1,45;2,45;3,10;4,1;5,1;
744	[九爪]龙蛋	5	904	100	45000	450	4,55;5,35;6,10;7,1;8,1;
745	[一转]凤蛋	6	905	100	20000	200	7,55;8,35;9,10;10,1;11,1;
746	[二转]凤蛋	6	905	100	23000	230	10,55;11,35;12,10;13,1;14,1;
747	[三转]凤蛋	6	905	100	26000	260	13,55;14,35;15,10;16,1;17,1;
748	[四转]凤蛋	6	905	100	29000	290	16,55;17,35;18,1;
749	[五转]凤蛋	6	905	100	32000	320	16,35;17,55;18,10;
750	[六转]凤蛋	6	905	100	35000	350	4,55;5,35;6,10;7,1;8,1;
751	[七转]凤蛋	6	905	100	38000	380	7,55;8,35;9,10;10,1;11,1;
752	[八转]凤蛋	6	905	100	41000	410	10,55;11,35;12,10;13,1;14,1;
753	[九转]凤蛋	6	905	100	45000	450	7,55;8,35;9,10;10,1;11,1;
818	神犬蛋[兽]	7	906	50	10000	100	86,100;
819	神犬蛋[妖]	3	900	50	10000	100	83,100;
820	神犬蛋[魔]	2	902	50	10000	100	85,100;
821	神犬蛋[鬼]	4	901	50	10000	100	84,100;
