Level_XBXXZ	Name_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	Capacity_XBXXZ
0	0级仙兽坊	13500	10800	13500	3
1	1级仙兽坊	14400	11520	14400	4
2	2级仙兽坊	15300	12240	15300	4
3	3级仙兽坊	16200	12960	16200	4
4	4级仙兽坊	17100	13680	17100	5
5	5级仙兽坊	18000	14400	18000	5
6	6级仙兽坊	18900	15120	18900	5
7	7级仙兽坊	19800	15840	19800	6
8	8级仙兽坊	20700	16560	21000	6
9	9级仙兽坊	21600	17280	22200	6
10	10级仙兽坊	22500	18000	23400	7
11	11级仙兽坊	23400	18720	24600	7
12	12级仙兽坊	24300	19440	25800	7
13	13级仙兽坊	25200	20160	27000	8
14	14级仙兽坊	26100	20880	28200	8
15	15级仙兽坊	27000	21600	29400	8
16	16级仙兽坊	27900	22320	30600	9
17	17级仙兽坊	28800	23040	31800	9
18	18级仙兽坊	29700	23760	33000	9
19	19级仙兽坊	30600	24480	34200	10
20	20级仙兽坊	31500	25200	35400	10
21	21级仙兽坊	32400	25920	36600	10
22	22级仙兽坊	33300	26640	37800	11
23	23级仙兽坊	34200	27360	39000	11
24	24级仙兽坊	35100	28080	40200	11
25	25级仙兽坊	36000	28800	41400	12
26	26级仙兽坊	36900	29520	42600	12
27	27级仙兽坊	37800	30240	43800	12
28	28级仙兽坊	38700	30960	45000	13
29	29级仙兽坊	39600	31680	46200	13
30	30级仙兽坊	40500	32400	47400	13
31	31级仙兽坊	41400	33120	48600	14
32	32级仙兽坊	42300	33840	49800	14
33	33级仙兽坊	43200	34560	51000	14
34	34级仙兽坊	44100	35280	52200	15
35	35级仙兽坊	45000	36000	53400	15
36	36级仙兽坊	45900	36720	54600	15
37	37级仙兽坊	46800	37440	55800	16
38	38级仙兽坊	47700	38160	57000	16
39	39级仙兽坊	48600	38880	58200	16
40	40级仙兽坊	49500	39600	59400	17
41	41级仙兽坊	50400	40320	60600	17
42	42级仙兽坊	51300	41040	61800	17
