level_XBXXZ	exp_XBXXZ	loyal_XBXXZ
1	1000	1
2	2100	1
3	4310	1
4	7741	1
5	12515	1
6	18767	1
7	26643	1
8	36308	1
9	47938	1
10	61732	1
11	77905	1
12	96696	1
13	118366	1
14	143202	1
15	171522	1
16	203675	1
17	240042	1
18	281046	1
19	327151	1
20	378866	1
21	436752	1
22	501428	1
23	573571	1
24	653928	1
25	743320	1
26	842652	1
27	952918	1
28	1075209	1
29	1210730	1
30	1360803	1
31	1526884	1
32	1710572	1
33	1913629	1
34	2137992	1
35	2385791	1
36	2659370	1
37	2961308	1
38	3294438	1
39	3661882	1
40	4067070	1
41	4513777	1
42	5006155	1
43	5548771	1
44	6146648	1
45	6805312	1
46	7530844	1
47	8329928	1
48	9209921	1
49	10178913	1
50	11245804	1
51	12420385	1
52	13713423	1
53	15136765	1
54	16703442	1
55	18427786	1
56	20325565	1
57	22414121	1
58	24712533	1
59	27241787	1
60	30024965	1
61	33087462	1
62	36457208	1
63	40164929	1
64	44244422	1
65	48732864	1
66	53671151	1
67	59104266	1
68	65081692	1
69	71657861	1
70	78892647	1
71	86851912	1
72	95608103	1
73	105240914	1
74	115838005	1
75	127495806	1
76	140320386	1
77	154428425	1
78	169948267	1
79	187021094	1
80	205802203	1
81	226462424	1
82	249189666	1
83	274190633	1
84	301692696	1
85	331945966	1
86	365225562	1
87	401834119	1
88	442104530	1
89	486402983	1
90	535132282	1
91	588735510	1
92	647700061	1
93	712562067	1
94	783911274	1
95	862396401	1
96	948731041	1
97	1043700145	1
98	1148167160	1
99	1263081876	1
100	1389489063	1
