mapid_XBXXZ	level_XBXXZ	Title_XBXXZ	Npc_XBXXZ	Power_XBXXZ	Merit_XBXXZ
1026	1	梵度大仙	4001	1	50
1026	2	梵度上仙	4002	1	55
1026	3	梵度功曹	4003	1	60
1026	4	梵度天师	4004	1	65
1026	5	梵度星君	4005	1	70
1026	6	梵度真人	4006	1	75
1026	7	梵度老君	4007	1	80
1026	8	梵度真君	4008	1	85
1026	9	梵度天王	4009	1	90
1026	10	梵度元帅	4010	1	95
1027	1	玉隆大仙	4011	2	54
1027	2	玉隆上仙	4012	2	59
1027	3	玉隆功曹	4013	2	64
1027	4	玉隆天师	4014	2	69
1027	5	玉隆星君	4015	2	74
1027	6	玉隆真人	4016	2	79
1027	7	玉隆老君	4017	2	84
1027	8	玉隆真君	4018	2	89
1027	9	玉隆天王	4019	2	94
1027	10	玉隆元帅	4020	2	99
1028	1	妙成大仙	4021	3	58
1028	2	妙成上仙	4022	3	63
1028	3	妙成功曹	4023	3	68
1028	4	妙成天师	4024	3	73
1028	5	妙成星君	4025	3	78
1028	6	妙成真人	4026	3	83
1028	7	妙成老君	4027	3	88
1028	8	妙成真君	4028	3	93
1028	9	妙成天王	4029	3	98
1028	10	妙成元帅	4030	3	103
1029	1	无思大仙	4031	4	62
1029	2	无思上仙	4032	4	67
1029	3	无思功曹	4033	4	72
1029	4	无思天师	4034	4	77
1029	5	无思星君	4035	4	82
1029	6	无思真人	4036	4	87
1029	7	无思老君	4037	4	92
1029	8	无思真君	4038	4	97
1029	9	无思天王	4039	4	102
1029	10	无思元帅	4040	4	107
1030	1	元载大仙	4041	5	66
1030	2	元载上仙	4042	5	71
1030	3	元载功曹	4043	5	76
1030	4	元载天师	4044	5	81
1030	5	元载星君	4045	5	86
1030	6	元载真人	4046	5	91
1030	7	元载老君	4047	5	96
1030	8	元载真君	4048	5	101
1030	9	元载天王	4049	5	106
1030	10	元载元帅	4050	5	111
1031	1	灵明大仙	4051	6	70
1031	2	灵明上仙	4052	6	75
1031	3	灵明功曹	4053	6	80
1031	4	灵明天师	4054	6	85
1031	5	灵明星君	4055	6	90
1031	6	灵明真人	4056	6	95
1031	7	灵明老君	4057	6	100
1031	8	灵明真君	4058	6	105
1031	9	灵明天王	4059	6	110
1031	10	灵明元帅	4060	6	115
1032	1	赤明大仙	4061	7	74
1032	2	赤明上仙	4062	7	79
1032	3	赤明功曹	4063	7	84
1032	4	赤明天师	4064	7	89
1032	5	赤明星君	4065	7	94
1032	6	赤明真人	4066	7	99
1032	7	赤明老君	4067	7	104
1032	8	赤明真君	4068	7	109
1032	9	赤明天王	4069	7	114
1032	10	赤明元帅	4070	7	119
1033	1	太安大仙	4071	8	78
1033	2	太安上仙	4072	8	83
1033	3	太安功曹	4073	8	88
1033	4	太安天师	4074	8	93
1033	5	太安星君	4075	8	98
1033	6	太安真人	4076	8	103
1033	7	太安老君	4077	8	108
1033	8	太安真君	4078	8	113
1033	9	太安天王	4079	8	118
1033	10	太安元帅	4080	8	123
1034	1	荣华大仙	4081	9	82
1034	2	荣华上仙	4082	9	87
1034	3	荣华功曹	4083	9	92
1034	4	荣华天师	4084	9	97
1034	5	荣华星君	4085	9	102
1034	6	荣华真人	4086	9	107
1034	7	荣华老君	4087	9	112
1034	8	荣华真君	4088	9	117
1034	9	荣华天王	4089	9	122
1034	10	荣华元帅	4090	9	127
1035	1	玄明大仙	4091	10	86
1035	2	玄明上仙	4092	10	91
1035	3	玄明功曹	4093	10	96
1035	4	玄明天师	4094	10	101
1035	5	玄明星君	4095	10	106
1035	6	玄明真人	4096	10	111
1035	7	玄明老君	4097	10	116
1035	8	玄明真君	4098	10	121
1035	9	玄明天王	4099	10	126
1035	10	玄明元帅	4100	10	131
1036	1	玄胎大仙	4101	11	90
1036	2	玄胎上仙	4102	11	95
1036	3	玄胎功曹	4103	11	100
1036	4	玄胎天师	4104	11	105
1036	5	玄胎星君	4105	11	110
1036	6	玄胎真人	4106	11	115
1036	7	玄胎老君	4107	11	120
1036	8	玄胎真君	4108	11	125
1036	9	玄胎天王	4109	11	130
1036	10	玄胎元帅	4110	11	135
1037	1	太明大仙	4111	12	94
1037	2	太明上仙	4112	12	99
1037	3	太明功曹	4113	12	104
1037	4	太明天师	4114	12	109
1037	5	太明星君	4115	12	114
1037	6	太明真人	4116	12	119
1037	7	太明老君	4117	12	124
