npcid_XBXXZ	name_XBXXZ	sex_XBXXZ	icon_XBXXZ	level_XBXXZ	body_XBXXZ	quality_XBXXZ	potential_XBXXZ	appearance_XBXXZ	goldspirit_XBXXZ	woodspirit_XBXXZ	waterspirit_XBXXZ	firespirit_XBXXZ	mudspirit_XBXXZ	introduct_XBXXZ
1	小月	1	351	1	1	1	1	3	2	1	1	1	1	
2	小猫	1	351	1	1	1	1	3	12	1	1	1	1	
3	小笑	1	351	1	1	2	1	3	22	1	1	1	1	
4	司琴	1	351	1	1	2	2	3	32	1	1	1	1	
5	墨画	1	351	1	1	3	2	3	42	1	1	1	1	
6	荷香	1	351	1	1	3	3	3	52	1	1	1	1	
7	雪柳	1	351	1	1	4	3	3	62	1	1	1	1	
8	飘絮	1	351	1	1	4	4	3	72	1	1	1	1	
9	烟雨	1	351	1	1	5	4	3	82	1	1	1	1	
10	咖啡	1	351	1	1	5	5	3	92	1	1	1	1	
11	凝秀	1	352	1	1	1	1	3	1	2	1	1	1	
12	念夏	1	352	1	1	1	1	3	1	12	1	1	1	
13	拂冬	1	352	1	1	2	1	3	1	22	1	1	1	
14	似云	1	352	1	1	2	2	3	1	32	1	1	1	
15	棉雾	1	352	1	1	3	2	3	1	42	1	1	1	
16	杏雨	1	352	1	1	3	3	3	1	52	1	1	1	
17	洛梅	1	352	1	1	4	3	3	1	62	1	1	1	
18	安兰	1	352	1	1	4	4	3	1	72	1	1	1	
19	丝竹	1	352	1	1	5	4	3	1	82	1	1	1	
20	诗悠	1	352	1	1	5	5	3	1	92	1	1	1	
21	心澈	1	349	1	1	1	1	3	2	1	2	1	1	
22	心静	1	349	1	1	1	1	3	1	12	12	1	1	
23	心涟	1	349	1	1	2	1	3	1	1	22	22	1	
24	心漪	1	349	1	1	2	2	3	1	1	32	1	32	
25	聽雪	1	349	1	1	3	2	3	1	1	42	42	1	
26	梦月	1	349	1	1	3	3	3	1	52	52	1	1	
27	沐紫	1	349	1	1	4	3	3	62	1	62	1	1	
28	子静	1	349	1	1	4	4	3	1	1	72	1	72	
29	仙语	1	349	1	1	5	4	3	1	1	82	82	1	
30	玖月	1	349	1	1	5	5	3	1	92	92	1	1	
31	小击	1	354	1	1	1	1	3	1	1	1	2	1	
32	小兔	1	354	1	1	1	1	3	1	1	1	12	1	
33	小粉	1	354	1	1	2	1	3	1	1	1	22	1	
34	菱香	1	354	1	1	2	2	3	1	1	1	32	1	
35	迎香	1	354	1	1	3	2	3	1	1	1	42	1	
36	慧琳	1	354	1	1	3	3	3	1	1	1	52	1	
37	慧湘	1	354	1	1	4	3	3	1	1	1	62	1	
38	倩雪	1	354	1	1	4	4	3	1	1	1	72	1	
39	望淮	1	354	1	1	5	4	3	1	1	1	82	1	
40	秦语	1	354	1	1	5	5	3	1	1	1	92	1	
41	榕嫣	1	350	1	1	1	1	3	1	1	1	1	2	
42	画春	1	350	1	1	1	1	3	1	1	1	1	12	
43	清影	1	350	1	1	2	1	3	1	1	1	1	22	
44	晴颖	1	350	1	1	2	2	3	1	1	1	1	32	
45	晴樱	1	350	1	1	3	2	3	1	1	1	1	42	
46	莫熙	1	350	1	1	3	3	3	1	1	1	1	52	
47	莫影	1	350	1	1	4	3	3	1	1	1	1	62	
48	沫影	1	350	1	1	4	4	3	1	1	1	1	72	
49	佳音	1	350	1	1	5	4	3	1	1	1	1	82	
50	珈祺	1	350	1	1	5	5	3	1	1	1	1	92	
51	幻粉	1	331	1	1	5	5	5	102	1	1	1	1	
52	紫汐	1	347	1	1	5	5	5	112	1	1	1	1	
53	熙蔓	1	348	1	1	5	5	5	122	1	1	1	1	
54	青瓷	1	353	1	1	5	5	5	1	102	1	1	1	
55	紫蔓	1	355	1	1	5	5	5	1	112	1	1	1	
56	紫瑞	1	331	1	1	5	5	5	1	122	1	1	1	
57	水粉	1	347	1	1	5	5	5	102	1	102	1	1	
58	漫蓉	1	348	1	1	5	5	5	1	112	112	1	1	
59	梓佳	1	353	1	1	5	5	5	1	1	122	122	1	
60	念念	1	355	1	1	5	5	5	1	1	1	102	1	
61	心柔	1	331	1	1	5	5	5	1	1	1	112	1	
62	心悠	1	347	1	1	5	5	5	1	1	1	122	1	
63	顾笑	1	348	1	1	5	5	5	1	1	1	1	102	
64	影蔓	1	353	1	1	5	5	5	1	1	1	1	112	
65	清璇	1	355	1	1	5	5	5	1	1	1	1	122	
66	沁子	1	331	1	1	5	5	5	132	1	1	1	1	
67	子鸢	1	347	1	1	5	5	5	142	1	1	1	1	
68	琳子	1	348	1	1	5	5	5	1	132	1	1	1	
69	米雪	1	353	1	1	5	5	5	1	142	1	1	1	
70	幂沁	1	355	1	1	5	5	5	1	1	132	1	132	
71	晶蔓	1	331	1	1	5	5	5	142	1	142	1	1	
72	于茜	1	347	1	1	5	5	5	1	1	1	132	1	
73	予倩	1	348	1	1	5	5	5	1	1	1	142	1	
74	浅见	1	353	1	1	5	5	5	1	1	1	1	132	
75	浅间	1	355	1	1	5	5	5	1	1	1	1	142	
76	倾城	1	331	1	1	5	5	5	152	1	1	1	1	
77	昕魂	1	347	1	1	5	5	5	1	152	1	1	1	
78	洛妍	1	348	1	1	5	5	5	1	152	152	1	1	
79	姝淑	1	353	1	1	5	5	5	1	1	1	152	1	
80	紫澈	1	355	1	1	5	5	5	1	1	162	162	1	
81	小鹏	0	342	1	1	1	1	3	2	1	1	1	1	
82	小包	0	342	1	1	1	1	3	12	1	1	1	1	
83	小伟	0	342	1	1	2	1	3	22	1	1	1	1	
84	剑晨	0	342	1	1	2	2	3	32	1	1	1	1	
85	剑旭	0	342	1	1	3	2	3	42	1	1	1	1	
86	剑枫	0	342	1	1	3	3	3	52	1	1	1	1	
87	绝尘	0	342	1	1	4	3	3	62	1	1	1	1	
88	云轩	0	342	1	1	4	4	3	72	1	1	1	1	
89	百世	0	342	1	1	5	4	3	82	1	1	1	1	
90	德茂	0	342	1	1	5	5	3	92	1	1	1	1	
91	小尘	0	340	1	1	1	1	3	1	2	1	1	1	
92	小天	0	340	1	1	1	1	3	1	12	1	1	1	
93	小寒	0	340	1	1	2	1	3	1	22	1	1	1	
94	正霖	0	340	1	1	2	2	3	1	32	1	1	1	
95	梁箫	0	340	1	1	3	2	3	1	42	1	1	1	
96	无羁	0	340	1	1	3	3	3	1	52	1	1	1	
97	苍石	0	340	1	1	4	3	3	1	62	1	1	1	
98	升荣	0	340	1	1	4	4	3	1	72	1	1	1	
99	鹏祖	0	340	1	1	5	4	3	1	82	1	1	1	
100	洋葱	0	340	1	1	5	5	3	1	92	1	1	1	
101	小卡	0	341	1	1	1	1	3	2	1	2	1	1	
102	兰衍	0	341	1	1	1	1	3	1	12	12	1	1	
103	兰邪	0	341	1	1	2	1	3	1	1	22	22	1	
104	兰硕	0	341	1	1	2	2	3	1	1	32	1	32	
105	文进	0	341	1	1	3	2	3	1	1	42	42	1	
106	雨天	0	341	1	1	3	3	3	1	52	52	1	1	
107	天路	0	341	1	1	4	3	3	62	1	62	1	1	
108	顾道	0	341	1	1	4	4	3	1	1	72	1	72	
109	籽岷	0	341	1	1	5	4	3	1	1	82	82	1	
110	霸畅	0	341	1	1	5	5	3	1	92	92	1	1	
111	小猛	0	343	1	1	1	1	3	1	1	1	2	1	
112	小柒	0	343	1	1	1	1	3	1	1	1	12	1	
113	小缺	0	343	1	1	2	1	3	1	1	1	22	1	
114	良乐	0	343	1	1	2	2	3	1	1	1	32	1	
115	万法	0	343	1	1	3	2	3	1	1	1	42	1	
