index_XBXXZ	careerlevel_XBXXZ	careertype_XBXXZ	sex_XBXXZ	careername_XBXXZ	spirittype_XBXXZ	spiritlevel_XBXXZ	appearance_XBXXZ	productions_XBXXZ
1	1	3	2	炼器	1	2	0	183:10-15:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;
2	2	3	2	炼器	1	12	0	183:15-20:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;
3	3	3	2	炼器	1	22	0	183:18-22:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;
4	4	3	2	炼器	1	32	0	183:20-25:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;
5	5	3	2	炼器	1	42	0	183:24-30:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;
6	6	3	2	炼器	1	52	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;
7	7	3	2	炼器	1	62	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;
8	8	3	2	炼器	1	72	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;
9	9	3	2	炼器	1	82	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;
10	10	3	2	炼器	1	92	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;
11	11	3	2	炼器	1	102	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
12	12	3	2	炼器	1	112	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
13	13	3	2	炼器	1	122	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
14	14	3	2	炼器	1	132	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
15	15	3	2	炼器	1	142	0	183:30-35:10000:1;193:1-1:2000:1;194:1-1:1000:1;195:1-1:100:1;196:1-1:100:1;197:1-1:10:1;198:1-1:10:1;199:1-1:10:1;200:1-1:10:1;
