id_XBXXZ	name_XBXXZ	quality_XBXXZ	type_XBXXZ	minlevel_XBXXZ	maxlevel_XBXXZ	addreputation_XBXXZ	addright_XBXXZ	addevil_XBXXZ	addmiddle_XBXXZ	getstone_XBXXZ	needreputation_XBXXZ	quitreputation_XBXXZ	desc_XBXXZ	magics_XBXXZ	SkillBook_XBXXZ	NeedContribute_XBXXZ	LianDan_XBXXZ	LianQi_XBXXZ	QiMen_XBXXZ	tasks_XBXXZ
1	极上派	1	正派	1	30	6	6	0	0	100	100	100	隐居山谷的秘宗，不问世事只专心于修道。信奉跳出尘世得求永生	124,10;212,1;300,10;388,10;476,10;	0	0	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
2	虚空寺	1	中立	1	30	6	0	0	6	100	100	100	相传该寺修建在云雾缭绕的千丈山巅，故取名虚空，以入世救俗为己任，门下弟子皆通佛门妙法	125,10;213,1;301,10;389,10;477,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
3	湖心派	1	邪派	1	30	6	0	6	0	100	100	100	善于使用冰系毒煞的邪派，门人弟子不多，但大多为妙龄女子，媚术了得。	126,10;214,1;302,10;390,10;478,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
4	烈山派	1	邪派	1	30	6	0	6	0	100	100	100	门派建在火山口岩浆之上，行事作风邪气凛然，只凭个人喜好	127,10;215,1;303,10;391,10;479,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
5	苍羽派	1	中立	1	30	6	0	0	6	100	100	100	该派人数极少，道法玄理与其他门派大相庭径，不与天争，不与地斗，大道无为，是为中庸之道	128,10;216,1;304,10;392,10;480,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
6	逍遥派	1	中立	1	30	6	0	0	6	100	100	100	该派人数不多，讲究入世修行，门派中人喜欢游戏人间，行事作风凭自己喜好，善恶难辨	129,10;217,1;305,10;393,10;481,10;	2564	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
7	青霞派	1	正派	1	30	6	6	0	0	100	100	100	青霞山上的剑修门派，以御剑术为修行之法，门人弟子嫉恶如仇，与邪派势不两立	130,10;218,1;306,10;394,10;482,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
8	黄泉派	1	邪派	1	30	6	0	6	0	100	100	100	以黄泉为名的鬼道小派，驾尸驭鬼，在修道界臭名昭彰	131,10;219,1;307,10;395,10;483,10;	2565	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1010,1011
9	天心派	1	中立	1	30	6	0	0	6	100	100	100	一心向道不问世事的正道门派，门人性喜修道，对凡尘俗世与正邪之争都不太上心	132,10;220,1;308,10;396,10;484,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1011 
10	茅山派	1	正派	1	30	6	6	0	0	100	100	100	以符录驭使天地灵气的正道小派，对付鬼道邪派很有一手	133,10;221,1;309,10;397,10;485,10;	0	100	0	0	0	1001,1002,1003,1004,1005,1006,1007,1008,1009,1011
