index_XBXXZ	type_XBXXZ	name_XBXXZ	needreputation_XBXXZ	needlevel_XBXXZ	clientlevel_XBXXZ	chongz_XBXXZ	shownum_XBXXZ	sell_XBXXZ
1	1	珍宝阁一层	0	0	0	0	12	1,100;2,100;3,100;3006,1;3008,1;3012,1;56,50;640,1;219,1;220,1;221,1;4,100;
2	1	珍宝阁二层	10000	41	0	0	12	201,1;202,1;203,1;204,1;205,1;90,1;82,1;222,1;223,1;224,1;225,1;226,1;227,1;3019,1;3022,1;
3	1	珍宝阁三层	30000	51	0	0	18	641,1;642,1;643,1;644,1;645,1;310,1;311,1;313,1;314,1;315,1;316,1;317,1;318,1;320,1;322,1;323,1;324,1;325,1;326,1;327,1;328,1;330,1;331,1;332,1;333,1;334,1;335,1;336,1;206,1;207,1;208,1;209,1;91,1;92,1;83,1;281,1;646,1;647,1;648,1;
4	2	仙书坊一层	0	0	0	0	12	2124,1;2125,1;2126,1;2127,1;2128,1;2129,1;2130,1;2131,1;2132,1;2133,1;2134,1;2135,1;2136,1;2137,1;2138,1;2139,1;2140,1;2141,1;2142,1;2143,1;2144,1;2145,1;2146,1;2147,1;2148,1;2149,1;2150,1;2151,1;2152,1;2153,1;2154,1;2155,1;2156,1;2157,1;2158,1;2159,1;2212,1;2213,1;2214,1;2215,1;2216,1;2217,1;2218,1;2219,1;2220,1;2221,1;2222,1;2223,1;2224,1;2225,1;2226,1;2227,1;2228,1;2229,1;2230,1;2231,1;2232,1;2233,1;2234,1;2235,1;2236,1;2237,1;2238,1;2239,1;2240,1;2241,1;2242,1;2243,1;2244,1;2245,1;2246,1;2247,1;2300,1;2301,1;2302,1;2303,1;2304,1;2305,1;2306,1;2307,1;2308,1;2309,1;2310,1;2311,1;2312,1;2313,1;2314,1;2315,1;2316,1;2317,1;2318,1;2319,1;2320,1;2321,1;2322,1;2323,1;2324,1;2325,1;2326,1;2327,1;2328,1;2329,1;2330,1;2331,1;2332,1;2333,1;2334,1;2335,1;2388,1;2389,1;2390,1;2391,1;2392,1;2393,1;2394,1;2395,1;2396,1;2397,1;2398,1;2399,1;2400,1;2401,1;2402,1;2403,1;2404,1;2405,1;2406,1;2407,1;2408,1;2409,1;2410,1;2411,1;2412,1;2413,1;2414,1;2415,1;2416,1;2417,1;2418,1;2419,1;2420,1;2421,1;2422,1;2423,1;2476,1;2477,1;2478,1;2479,1;2480,1;2481,1;2482,1;2483,1;2484,1;2485,1;2486,1;2487,1;2488,1;2489,1;2490,1;2491,1;2492,1;2493,1;2494,1;2495,1;2496,1;2497,1;
5	2	仙书坊二层	10000	41	0	0	12	2160,1;2161,1;2162,1;2163,1;2164,1;2165,1;2166,1;2167,1;2168,1;2169,1;2170,1;2171,1;2172,1;2173,1;2174,1;2175,1;2176,1;2177,1;2178,1;2248,1;2249,1;2250,1;2251,1;2252,1;2253,1;2254,1;2255,1;2256,1;2257,1;2258,1;2259,1;2260,1;2261,1;2262,1;2263,1;2264,1;2265,1;2266,1;2336,1;2337,1;2338,1;2339,1;2340,1;2341,1;2342,1;2343,1;2344,1;2345,1;2346,1;2347,1;2348,1;2349,1;2350,1;2351,1;2352,1;2353,1;2354,1;2355,1;2356,1;2357,1;2358,1;2359,1;2360,1;2424,1;2425,1;2426,1;2427,1;2428,1;2429,1;2430,1;2431,1;2432,1;2433,1;2434,1;2435,1;2436,1;2437,1;2438,1;2439,1;2440,1;2441,1;2442,1;2443,1;2444,1;2445,1;2446,1;2447,1;2448,1;2498,1;2499,1;2500,1;2501,1;2502,1;2503,1;2504,1;2505,1;2506,1;2507,1;2508,1;2509,1;2510,1;2511,1;2512,1;2513,1;2514,1;2515,1;2516,1;2517,1;2518,1;2519,1;2520,1;2521,1;2522,1;2523,1;2524,1;2525,1;2526,1;2527,1;2528,1;2529,1;2530,1;2596,1;2597,1;2598,1;2620,1;2621,1;2622,1;
6	2	仙书坊三层	150000	61	0	0	12	2355,1;2356,1;2357,1;2358,1;2359,1;2360,1;2361,1;2362,1;2363,1;2364,1;2365,1;2366,1;2367,1;2368,1;2369,1;2370,1;2443,1;2444,1;2445,1;2446,1;2447,1;2448,1;2449,1;2450,1;2451,1;2452,1;2453,1;2454,1;2455,1;2456,1;2457,1;2458,1;2523,1;2524,1;2525,1;2526,1;2527,1;2528,1;2529,1;2530,1;2531,1;2532,1;2533,1;2534,1;2535,1;2536,1;2641,1;2642,1;2643,1;2644,1;2645,1;2646,1;2647,1;2648,1;2649,1;2650,1;2651,1;2652,1;2653,1;2654,1;2655,1;2656,1;2657,1;2658,1;2659,1;2660,1;2661,1;2662,1;2663,1;2664,1;2665,1;2666,1;2667,1;2668,1;2669,1;2670,1;2671,1;2672,1;2673,1;2674,1;2675,1;2676,1;2677,1;2678,1;2679,1;2680,1;2681,1;2682,1;2683,1;2684,1;2685,1;2686,1;2687,1;2688,1;2689,1;2690,1;2691,1;2692,1;2693,1;2694,1;2695,1;2696,1;2697,1;2698,1;2699,1;2700,1;2701,1;2702,1;2703,1;2704,1;2705,1;2706,1;2707,1;2708,1;2709,1;2710,1;2711,1;2712,1;2713,1;2714,1;2715,1;2609,1;2610,1;2633,1;2634,1;
7	3	奇珍会	0	0	0	0	15	5,100;63,100;64,100;65,100;66,100;67,100;81,500;57,10;58,5;2001,1;2002,1;2003,1;2004,1;2005,1;2006,1;
8	3	奇珍会二层	10000	31	31	0	18	6,100;7,100;8,100;182,100;19,50;20,50;21,50;22,50;23,50;25,50;274,100;275,100;276,100;85,1;501,12;502,12;503,12;504,12;
9	3	奇珍会三层	10000	41	41	500	18	86,1;110,50;111,50;112,50;113,50;114,50;115,50;116,50;117,50;118,50;119,50;120,50;121,50;122,50;123,50;124,50;125,50;126,50;127,50;312,1;319,1;321,1;329,1;9,100;10,100;128,50;129,50;130,50;131,50;132,50;133,50;134,50;135,50;136,50;137,50;138,50;139,50;140,50;141,50;142,50;143,50;144,50;145,50;146,50;147,50;148,50;149,50;150,50;151,50;152,50;153,50;154,50;337,1;338,1;339,1;340,1;341,1;342,1;343,1;344,1;345,1;346,1;347,1;348,1;349,1;350,1;351,1;352,1;353,1;354,1;505,12;506,12;507,12;2267,1;2268,1;2269,1;2270,1;2271,1;2272,1;
10	3	奇珍会顶层	10000	51	51	3000	18	155,50;156,50;157,50;158,50;159,50;160,50;161,50;162,50;163,50;164,50;165,50;166,50;167,50;168,50;169,50;170,50;171,50;172,50;173,50;174,50;175,50;176,50;177,50;178,50;179,50;180,50;181,50;355,1;356,1;357,1;358,1;359,1;360,1;361,1;362,1;363,1;364,1;365,1;366,1;367,1;368,1;369,1;370,1;371,1;372,1;373,1;374,1;375,1;376,1;377,1;378,1;379,1;380,1;381,1;508,12;509,12;2273,1;2274,1;2275,1;2276,1;2277,1;2278,1;2279,1;2280,1;2281,1;2282,1;2573,1;2574,1;2575,1;2576,1;2577,1;2578,1;2579,1;2580,1;2581,1;2582,1;2583,1;2584,1;2585,1;2586,1;2587,1;2588,1;2589,1;2590,1;2591,1;2592,1;2593,1;2594,1;2595,1;2599,1;2600,1;2601,1;2602,1;2603,1;2604,1;2605,1;2606,1;2607,1;2608,1;2611,1;2612,1;2613,1;2614,1;2615,1;2616,1;2617,1;2618,1;2619,1;2623,1;2624,1;2625,1;2626,1;2627,1;2628,1;2629,1;2630,1;2631,1;2632,1;2635,1;2636,1;2637,1;2638,1;2639,1;2640,1;271,300;87,1;88,1;89,1;95,1;96,1;97,1;98,1;
