Level_XBXXZ	Name_XBXXZ	Iron_XBXXZ	Wood_XBXXZ	Pill_XBXXZ	show_XBXXZ	personpercent100_XBXXZ	personnum100_XBXXZ	personpercent1000_XBXXZ	personnum1000_XBXXZ	personpercent6000_XBXXZ	personnum6000_XBXXZ	persons_XBXXZ
0	0级洗髓池	13500	10800	13500								
1	1级洗髓池	14400	11520	14400	0.01	200	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
2	2级洗髓池	15300	12240	15300	0.011	210	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
3	3级洗髓池	16200	12960	16200	0.012	220	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
4	4级洗髓池	17100	13680	17100	0.013	230	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
5	5级洗髓池	18000	14400	18000	0.014	240	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
6	6级洗髓池	18900	15120	18900	0.015	250	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
7	7级洗髓池	19800	15840	19800	0.016	260	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
8	8级洗髓池	20700	16560	21000	0.017	270	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
9	9级洗髓池	21600	17280	22200	0.018	280	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
10	10级洗髓池	22500	18000	23400	0.019	290	1					1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;
11	11级洗髓池	23400	18720	24600	0.02	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
12	12级洗髓池	24300	19440	25800	0.021	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
13	13级洗髓池	25200	20160	27000	0.022	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
14	14级洗髓池	26100	20880	28200	0.023	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
15	15级洗髓池	27000	21600	29400	0.024	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
16	16级洗髓池	27900	22320	30600	0.025	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
17	17级洗髓池	28800	23040	31800	0.026	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
18	18级洗髓池	29700	23760	33000	0.027	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
19	19级洗髓池	30600	24480	34200	0.028	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
20	20级洗髓池	31500	25200	35400	0.029	300	1	3000	1			1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
21	21级洗髓池	32400	25920	36600	0.03	300	1	3000	1	10000	3	1,10;2,10;3,10;11,10;12,10;13,10;21,10;22,10;23,10;31,10;32,10;33,10;41,10;42,10;43,10;81,10;82,10;83,10;91,10;92,10;93,10;101,10;102,10;103,10;111,10;112,10;113,10;121,10;122,10;123,10;4,10;5,10;14,10;15,10;34,10;35,10;44,10;45,10;84,10;85,10;94,10;95,10;114,10;115,10;124,10;125,10;
