level_XBXXZ	name_XBXXZ	namegui_XBXXZ	namemo_XBXXZ	nameyao_XBXXZ	namefo_XBXXZ	nextexp_XBXXZ	minexp_XBXXZ	maxexp_XBXXZ	attack_XBXXZ	defence_XBXXZ	maxhp_XBXXZ
1	仙体1级	鬼体1级	魔体1级	妖体1级	佛体1级	9	1	5	200	100	1000
2	仙体2级	鬼体2级	魔体2级	妖体2级	佛体2级	60	2	7	400	200	2000
3	仙体3级	鬼体3级	魔体3级	妖体3级	佛体3级	144	3	9	600	300	3000
4	仙体4级	鬼体4级	魔体4级	妖体4级	佛体4级	288	4	11	800	400	4000
5	仙体5级	鬼体5级	魔体5级	妖体5级	佛体5级	432	5	13	1000	500	5000
6	仙体6级	鬼体6级	魔体6级	妖体6级	佛体6级	660	6	15	1200	600	6000
7	仙体7级	鬼体7级	魔体7级	妖体7级	佛体7级	864	7	17	1400	700	7000
8	仙体8级	鬼体8级	魔体8级	妖体8级	佛体8级	1176	8	19	1600	800	8000
9	仙体9级	鬼体9级	魔体9级	妖体9级	佛体9级	1440	9	21	1800	900	9000
10	仙体10级	鬼体10级	魔体10级	妖体10级	佛体10级	2040	10	23	2000	1000	10000
11	仙体11级	鬼体11级	魔体11级	妖体11级	佛体11级	3510	12	27	2200	1100	11000
12	仙体12级	鬼体12级	魔体12级	妖体12级	佛体12级	5400	14	31	2400	1200	12000
13	仙体13级	鬼体13级	魔体13级	妖体13级	佛体13级	7650	16	35	2600	1300	13000
14	仙体14级	鬼体14级	魔体14级	妖体14级	佛体14级	10260	18	39	2800	1400	14000
15	仙体15级	鬼体15级	魔体15级	妖体15级	佛体15级	13230	20	43	3000	1500	15000
16	仙体16级	鬼体16级	魔体16级	妖体16级	佛体16级	16560	22	47	3200	1600	16000
17	仙体17级	鬼体17级	魔体17级	妖体17级	佛体17级	20250	24	51	3400	1700	17000
18	仙体18级	鬼体18级	魔体18级	妖体18级	佛体18级	24300	26	55	3600	1800	18000
19	仙体19级	鬼体19级	魔体19级	妖体19级	佛体19级	31320	28	59	3800	1900	19000
20	仙体20级	鬼体20级	魔体20级	妖体20级	佛体20级	41850	30	63	4000	2000	20000
21	仙体21级	鬼体21级	魔体21级	妖体21级	佛体21级	70200	50	80	4200	2100	21000
22	仙体22级	鬼体22级	魔体22级	妖体22级	佛体22级	113400	60	120	4400	2200	22000
23	仙体23级	鬼体23级	魔体23级	妖体23级	佛体23级	165600	70	160	4600	2300	23000
