ID_XBXXZ	Name_XBXXZ	Job_XBXXZ	Icon_XBXXZ	FiveElements_XBXXZ	LearnLevel_XBXXZ	NeedMoQi_XBXXZ	Level_XBXXZ	Effect_XBXXZ	damagevalue_XBXXZ	defencevalue_XBXXZ	bangvalue_XBXXZ	speedvalue_XBXXZ	maxhpvalue_XBXXZ	extradamage_XBXXZ	addexp_XBXXZ	dodgepercent_XBXXZ	bangpercent_XBXXZ	yaopetpercent_XBXXZ	mopetpercent_XBXXZ	guipetpercent_XBXXZ
1	幻仙诀	1	564		1	100000	1	增加5000防御，额外提高10%闪避率		5000						10				
2	低级仙体	1	565		10	400000	1	增加仙气修炼效率50							50					
3	御兽秘诀	1	566		20	1600000	1	增加妖族宠物属性20%										20		
4	清风玉露	1	567		30	6400000	1	增加仙术领悟几率25%												
5	中级仙体	1	568		40	25600000	1	增加仙气修炼效率200							200					
6	五雷正法	1	569		50	51200000	1	增加雷系功法效果100%												
7	斩三尸	1	570		60	102400000	1	斩去三尸，可开启第二元神												
8	高级仙体	1	571		70	204800000	1	增加仙气修炼效率800							800					
9	仙家法相	1	572		80	409600000	1	???未开放												
10	惟我独仙	1	573		100	819200000	1	???未开放												
11	血魔大法	2	574		1	100000	1	增加5000暴击，额外提高10%暴击率			5000						10			
12	低级魔体	2	575		10	400000	1	增加魔气修炼效率50							50					
13	御魔秘诀	2	576		20	1600000	1	增加魔族宠物属性20%											20	
14	血遁术	2	577		30	6400000	1	所有移动类速度增加50点				50								
15	中级魔体	2	578		40	25600000	1	增加魔气修炼效率200							200					
16	魔音摄心	2	579		50	51200000	1	每次攻击附加10000点魔音伤害，无法抵抗						10000						
17	天魔解体	2	580		60	102400000	1	天魔解体后，可开启第二元神												
18	高级魔体	2	581		70	204800000	1	增加魔气修炼效率800							800					
19	无相天魔	2	582		80	409600000	1	???未开放												
20	无上天魔	2	583		100	819200000	1	???未开放												
21	血池肉林	3	584		1	100000	1	增加25000生命，额外提高10%闪避率					25000			10				
22	低级鬼体	3	585		10	400000	1	增加鬼气修炼效率50							50					
23	御鬼秘诀	3	586		20	1600000	1	增加鬼族宠物属性20%												20
24	冥河天尸诀	3	587		30	6400000	1	增加冰系、阴系功法领悟几率25%												
25	中级鬼体	3	588		40	25600000	1	增加鬼气修炼效率200							200					
26	九幽极寒	3	589		50	51200000	1	增加冰系、阴系功法效果100%												
27	生死诀	3	590		60	102400000	1	勘破生死奥秘，可开启第二元神												
28	高级鬼体	3	591		70	204800000	1	增加鬼气修炼效率800							800					
29	太狱真法	3	592		80	409600000	1	???未开放												
30	阴阳合和	3	593		100	819200000	1	???未开放												
